date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,-12,-23,-14,0,-24,0,0,-18,-22,NA,0
2020-02-16,12,0,20,0,-6,0,0,-1,5,NA,0
2020-02-17,7,0,0,0,0,0,0,-15,-9,0,0
2020-02-18,24,0,0,0,0,0,-2,0,9,0,0
2020-02-19,27,-14,0,0,0,0,12,-6,-5,0,0
2020-02-20,34,0,0,0,0,0,-4,-8,-9,0,0
2020-02-21,43,0,0,0,0,0,-64,44,56,-26,0
2020-02-22,-4,-12,1,0,-25,0,0,0,0,NA,0
2020-02-23,8,17,23,0,4,0,0,12,-1,NA,0
2020-02-24,-4,0,0,0,0,0,0,2,0,0,0
2020-02-25,5,0,0,0,0,0,-11,0,10,0,0
2020-02-26,-6,-24,0,0,0,0,-2,-2,-8,0,0
2020-02-27,-15,-26,-28,0,0,0,-2,-19,-15,0,0
2020-02-28,-16,-23,-17,0,-21,0,-6,-19,-12,-9,0
2020-02-29,-14,-23,-16,0,-31,0,0,-12,-22,NA,0
2020-03-01,-2,2,-4,0,-16,0,0,2,-15,NA,0
2020-03-02,-15,0,-30,0,0,0,4,-17,-14,0,0
2020-03-03,-2,0,-22,0,0,0,-4,0,10,0,0
2020-03-04,-1,0,0,0,0,0,8,-2,-6,0,0
2020-03-05,-2,0,0,0,0,0,-2,-9,5,0,0
2020-03-06,-9,-11,-17,0,0,0,6,-7,-11,-13,0
2020-03-07,-30,-33,-39,0,-45,0,0,-37,-43,NA,0
2020-03-08,-24,-35,-15,0,-16,0,0,-18,-40,NA,-28
2020-03-09,-23,0,-32,0,0,0,-11,-37,-23,0,0
2020-03-10,-13,0,-25,0,0,0,-6,-20,-7,0,0
2020-03-11,1,0,0,0,0,0,10,10,-2,0,0
2020-03-12,-15,0,0,0,0,0,-71,-9,5,0,0
2020-03-13,-41,-45,-51,0,-31,0,-43,-49,-45,-11,0
2020-03-14,-30,-38,-42,0,-35,0,0,-24,-36,NA,0
2020-03-15,-15,-2,-11,0,-28,0,0,-20,-19,NA,0
2020-03-16,-20,0,-32,0,0,0,-2,-33,-27,0,0
2020-03-17,-15,0,-22,0,0,0,-21,-9,-7,0,0
2020-03-18,-8,-17,0,0,0,0,-8,-12,-14,0,0
2020-03-19,-26,0,0,0,-35,0,-31,-34,-26,0,0
2020-03-20,-68,-68,-66,0,-74,0,-75,-74,-75,-33,0
2020-03-21,-83,-84,-82,0,-87,0,-71,-88,-90,-49,0
2020-03-22,-88,-88,-91,0,-91,0,0,-92,-94,-53,0
2020-03-23,-83,-80,0,0,0,0,-85,-88,-89,-57,0
2020-03-24,-83,-83,0,0,0,0,0,0,-88,-49,0
2020-03-25,-88,-85,0,0,0,0,0,0,0,-63,0
2020-03-26,-85,-82,0,0,0,0,0,0,0,-51,0
2020-03-27,-84,-80,-80,0,0,0,0,0,-89,-59,0
2020-03-28,-88,-88,-91,0,0,0,0,-93,-93,-56,0
2020-03-29,-88,-88,-90,0,0,0,0,-100,-91,-55,0
2020-03-30,-82,-82,-80,0,0,0,-87,0,-86,-51,0
2020-03-31,-79,-81,-80,0,-83,0,0,0,-84,0,0
2020-04-01,-81,-85,-78,0,0,0,-85,0,-89,-47,0
2020-04-02,-77,-69,-77,0,0,0,-87,-88,-82,-49,0
2020-04-03,-81,-82,-76,0,0,0,-83,-88,-86,-52,0
2020-04-04,-84,-81,-85,0,-89,0,-76,-91,-90,-44,0
2020-04-05,-88,-89,0,0,0,0,0,-100,-94,-50,0
2020-04-06,-77,-71,-78,0,-83,0,-81,-87,-85,-46,0
2020-04-07,-76,-76,-75,0,0,0,-81,-84,-90,0,0
2020-04-08,-78,-74,-78,0,-84,0,-83,-85,-86,0,0
2020-04-09,-77,-74,-77,0,-85,0,-87,0,-86,-41,0
2020-04-10,-79,-75,-71,0,0,0,-83,0,-88,-43,0
2020-04-11,-83,-80,-85,0,-90,-85,-68,-91,-91,-32,-85
