date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,-1,2,5,1,-1,-2,-1,4,1,-1,2,-1,-1,1,0,-1,-2,2,0,-1,1
2020-02-16,2,8,6,0,1,2,-1,6,5,1,3,2,7,3,0,0,1,11,2,6,4
2020-02-17,1,2,8,0,0,-1,-1,2,1,1,-4,-2,1,-1,1,0,-1,6,3,2,2
2020-02-18,1,2,7,-1,-1,-2,-1,1,2,0,1,1,0,0,0,0,-3,4,1,1,1
2020-02-19,-1,-1,7,-2,-1,-1,-2,0,1,-3,0,1,-1,0,0,-1,-1,6,0,0,0
2020-02-20,1,4,4,-1,-1,1,-1,0,1,1,2,0,1,-1,1,-1,0,5,0,0,2
2020-02-21,1,3,9,1,2,-1,1,2,2,0,7,1,0,1,1,0,0,5,1,2,2
2020-02-22,3,6,10,2,1,1,5,10,4,2,6,6,4,0,2,1,1,8,3,4,8
2020-02-23,16,17,30,7,10,9,7,25,15,8,15,30,18,12,15,6,8,26,11,14,17
2020-02-24,23,19,39,14,15,20,18,33,26,18,24,27,25,12,23,5,14,26,25,20,28
2020-02-25,5,7,23,4,0,7,-2,1,3,7,4,3,8,2,3,-1,8,15,12,9,3
2020-02-26,-5,1,9,0,-2,-4,-6,-9,-7,-3,-4,-7,2,-3,-7,-2,-3,2,-5,-1,-7
2020-02-27,-3,3,3,2,2,-1,-1,-6,-4,0,-4,-7,0,-1,-4,0,-1,3,-7,0,-5
2020-02-28,-2,2,18,-1,-2,-3,-1,-5,-5,0,2,-6,-3,1,-3,1,-2,0,-1,1,-4
2020-02-29,-2,2,7,2,1,-1,2,1,-1,0,-4,-5,1,4,-1,1,-2,0,-2,2,-1
2020-03-01,-5,4,11,1,2,1,-1,-5,-13,-6,-8,-9,1,4,-2,1,-1,-6,-11,-1,-8
2020-03-02,-7,3,2,3,3,3,0,-6,-5,-7,-23,-18,-1,-1,-10,0,0,-9,-6,-3,-9
2020-03-03,-1,1,4,0,0,-3,-1,-6,-2,-1,4,-1,-1,-1,1,2,-3,-1,-3,0,-2
2020-03-04,1,5,4,5,4,2,2,-4,0,4,2,-1,0,2,1,4,-1,1,1,4,-2
2020-03-05,0,7,-3,6,6,7,4,-5,1,6,-10,-6,0,5,-3,5,4,1,-1,4,-1
2020-03-06,0,3,9,2,4,-1,-1,-1,-1,2,5,-2,-2,0,0,2,1,-2,1,2,0
2020-03-07,1,6,7,4,2,0,4,5,3,4,3,-1,3,0,2,3,0,2,2,6,2
2020-03-08,3,10,13,3,0,0,0,7,9,4,4,-1,4,4,5,6,-2,4,-3,8,8
2020-03-09,-1,5,4,4,1,0,2,-4,1,2,-8,-9,-3,-7,-2,4,1,-2,-1,0,0
2020-03-10,-2,1,-3,1,-1,-2,-1,-5,9,-2,-2,-8,-1,-11,-7,3,-2,2,-4,2,1
2020-03-11,-14,-18,-24,-15,-17,-22,-17,-11,-6,-15,-15,-13,-14,-19,-14,-19,-17,-16,-17,-16,-6
2020-03-12,-23,-29,-27,-26,-27,-32,-27,-17,-13,-25,-26,-26,-20,-33,-23,-27,-27,-24,-24,-23,-13
2020-03-13,-28,-32,-33,-31,-32,-40,-33,-18,-18,-32,-30,-27,-23,-37,-26,-31,-35,-35,-28,-28,-16
2020-03-14,-43,-42,-54,-38,-37,-47,-42,-37,-38,-43,-43,-46,-38,-44,-44,-40,-41,-54,-45,-41,-37
2020-03-15,-60,-60,-68,-62,-61,-66,-61,-56,-55,-55,-56,-58,-61,-61,-61,-60,-63,-72,-64,-64,-61
2020-03-16,-37,-38,-37,-38,-35,-46,-43,-31,-31,-39,-39,-35,-35,-41,-35,-39,-42,-44,-37,-38,-30
2020-03-17,-41,-43,-43,-44,-45,-51,-45,-36,-34,-43,-40,-39,-41,-47,-38,-42,-49,-48,-42,-44,-34
2020-03-18,-43,-44,-47,-44,-45,-50,-46,-38,-37,-46,-44,-42,-42,-45,-42,-45,-49,-51,-44,-45,-37
2020-03-19,-44,-46,-47,-46,-48,-53,-48,-39,-36,-46,-45,-43,-42,-50,-41,-46,-49,-51,-44,-46,-35
2020-03-20,-40,-42,-45,-42,-45,-50,-45,-33,-30,-45,-39,-40,-37,-46,-37,-42,-46,-49,-42,-42,-29
2020-03-21,-51,-49,-59,-47,-47,-55,-49,-46,-45,-53,-52,-55,-47,-50,-51,-48,-52,-60,-53,-50,-47
2020-03-22,-85,-82,-87,-87,-87,-92,-79,-94,-95,-76,-78,-80,-88,-82,-82,-82,-94,-95,-84,-91,-96
2020-03-23,-45,-44,-47,-46,-46,-53,-52,-39,-39,-47,-46,-47,-42,-49,-45,-45,-51,-53,-46,-46,-37
2020-03-24,-48,-55,-50,-50,-51,-56,-52,-43,-41,-49,-48,-48,-49,-60,-46,-48,-55,-55,-48,-51,-39
2020-03-25,-51,-53,-54,-52,-56,-62,-56,-46,-45,-50,-51,-50,-51,-55,-49,-50,-65,-56,-52,-53,-43
2020-03-26,-52,-58,-53,-55,-58,-60,-57,-51,-46,-55,-54,-51,-52,-60,-49,-50,-52,-58,-53,-52,-44
2020-03-27,-46,-46,-51,-44,-45,-51,-48,-40,-37,-49,-47,-47,-45,-47,-45,-48,-50,-54,-48,-47,-37
2020-03-28,-54,-53,-62,-48,-50,-55,-51,-50,-47,-53,-53,-59,-51,-52,-54,-47,-51,-61,-55,-53,-52
2020-03-29,-85,-84,-88,-85,-84,-92,-78,-94,-94,-76,-80,-81,-88,-82,-82,-92,-93,-94,-84,-89,-95
2020-03-30,-47,-46,-49,-47,-49,-52,-51,-42,-44,-47,-48,-48,-46,-50,-47,-45,-49,-58,-47,-48,-42
2020-03-31,-42,-43,-48,-44,-46,-48,-46,-37,-37,-43,-45,-42,-42,-46,-42,-41,-46,-53,-44,-43,-37
2020-04-01,-41,-39,-46,-45,-47,-48,-43,-35,-36,-43,-43,-40,-39,-42,-40,-40,-45,-54,-41,-41,-36
