date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,-2,-10,3,25,-5,1,-6,4,-9,4
2020-02-16,-10,-2,-3,10,-7,-3,-9,-5,-5,-25
2020-02-17,-10,-12,-10,0,-8,-8,-6,-9,-5,-15
2020-02-18,-8,-20,-6,1,-15,-3,-6,-10,-1,-4
2020-02-19,-7,-9,-9,-5,-22,1,-7,-9,0,7
2020-02-20,-6,-11,-6,1,-7,-5,-8,-9,4,0
2020-02-21,-4,-5,10,0,-6,-10,-6,-9,6,1
2020-02-22,-18,-21,12,-6,-14,-11,-12,-15,-12,-19
2020-02-23,-21,-16,-9,-7,-30,-26,-21,-16,-9,-20
2020-02-24,-10,-13,-13,-4,-10,-15,-8,-13,14,-5
2020-02-25,-5,-14,-3,0,-11,-11,-7,-10,6,8
2020-02-26,-4,-10,-4,1,-9,-9,-10,-3,10,3
2020-02-27,-6,-13,1,5,-8,-12,-6,-7,12,-4
2020-02-28,-6,-12,6,14,-20,-3,-4,-7,19,-10
2020-02-29,-8,-17,5,5,-13,-4,-6,0,-3,4
2020-03-01,-3,-5,2,7,-3,-1,1,-3,13,-4
2020-03-02,-7,-9,0,-8,-3,-7,-2,-9,28,-4
2020-03-03,-1,-10,6,7,-6,-3,-1,-5,17,3
2020-03-04,-1,-3,5,5,-8,-4,-1,1,9,1
2020-03-05,-1,-4,7,5,-3,-7,0,0,17,3
2020-03-06,1,-5,6,14,-6,-2,4,-1,16,5
2020-03-07,-3,-9,15,17,-9,-7,4,6,-3,4
2020-03-08,-12,-11,3,8,-8,-9,-7,-2,0,-27
2020-03-09,-11,-13,-10,-2,-10,-11,-3,-6,7,-16
2020-03-10,-9,-15,-5,2,-13,-11,-4,-6,10,-11
2020-03-11,-7,-8,-10,-3,-12,-10,-5,-6,10,-1
2020-03-12,-6,-7,-5,-1,-7,-13,-6,-8,14,-1
2020-03-13,-5,-4,-2,3,-8,-5,-2,-5,-2,-5
2020-03-14,-10,-13,3,12,-10,-8,-7,-2,-7,-9
2020-03-15,-18,-23,-4,3,-10,-14,-8,-9,-4,-38
2020-03-16,-18,-20,-10,-13,-25,-16,-8,-13,6,-19
2020-03-17,-16,-17,-4,-18,-20,-13,-9,-14,1,-13
2020-03-18,-12,-9,-2,-18,-13,-11,-6,-9,7,-10
2020-03-19,-10,-4,1,-16,-9,-9,-5,-4,11,-8
2020-03-20,-14,-7,-3,-14,-13,-4,-4,-7,6,-22
2020-03-21,-21,-9,-5,-23,-19,-6,-5,-12,-7,-24
2020-03-22,-23,-9,-13,-34,-18,-9,-7,-21,4,-30
2020-03-23,-15,-5,-17,-26,-5,-1,1,-6,9,-23
2020-03-24,-16,-11,-6,-19,-11,0,-5,-6,3,-29
2020-03-25,-13,-1,0,-15,-11,6,-6,-2,18,-32
2020-03-26,-9,-1,6,-8,-7,17,-5,1,16,-29
2020-03-27,-47,-22,-52,-64,-27,-5,-19,-30,-39,-81
2020-03-28,-59,-37,-55,-68,-43,-23,-32,-47,-49,-86
2020-03-29,-55,-35,-47,-64,-41,-16,-27,-41,-37,-87
2020-03-30,-42,-19,-43,-61,-17,3,-13,-19,-30,-78
2020-03-31,-40,-18,-40,-59,-19,7,-13,-18,-22,-77
2020-04-01,-38,-12,-35,-59,-19,11,-11,-15,-23,-75
2020-04-02,-38,-12,-38,-59,-15,7,-12,-21,-23,-75
2020-04-03,-43,-19,-47,-59,-23,2,-13,-28,-36,-78
2020-04-04,-57,-35,-49,-66,-44,-20,-32,-47,-46,-84
2020-04-05,-53,-32,-44,-61,-41,-13,-24,-40,-30,-86
2020-04-06,-41,-17,-45,-57,-18,3,-13,-19,-28,-78
2020-04-07,-41,-21,-40,-57,-22,2,-16,-22,-27,-77
2020-04-08,-40,-13,-40,-60,-23,2,-18,-20,-26,-74
2020-04-09,-39,-16,-38,-58,-19,0,-13,-17,-22,-74
2020-04-10,-48,-26,-53,-62,-29,-6,-23,-35,-49,-81
2020-04-11,-58,-39,-52,-65,-46,-23,-34,-47,-51,-85
