date,PH
2020-02-15,6
2020-02-16,1
2020-02-17,8
2020-02-18,5
2020-02-19,5
2020-02-20,6
2020-02-21,8
2020-02-22,7
2020-02-23,2
2020-02-24,4
2020-02-25,-43
2020-02-26,6
2020-02-27,6
2020-02-28,8
2020-02-29,9
2020-03-01,5
2020-03-02,9
2020-03-03,7
2020-03-04,6
2020-03-05,7
2020-03-06,8
2020-03-07,7
2020-03-08,3
2020-03-09,7
2020-03-10,-4
2020-03-11,-5
2020-03-12,-6
2020-03-13,-9
2020-03-14,-6
2020-03-15,-10
2020-03-16,-31
2020-03-17,-55
2020-03-18,-62
2020-03-19,-65
2020-03-20,-66
2020-03-21,-57
2020-03-22,-50
2020-03-23,-69
2020-03-24,-71
2020-03-25,-72
2020-03-26,-72
2020-03-27,-72
2020-03-28,-62
2020-03-29,-54
2020-03-30,-73
2020-03-31,-74
2020-04-01,-74
2020-04-02,-74
2020-04-03,-73
2020-04-04,-63
2020-04-05,-54
2020-04-06,-72
2020-04-07,-74
2020-04-08,-74
2020-04-09,-80
2020-04-10,-82
2020-04-11,-67
