date,LY
2020-02-15,5
2020-02-16,-11
2020-02-17,-22
2020-02-18,4
2020-02-19,5
2020-02-20,4
2020-02-21,3
2020-02-22,6
2020-02-23,6
2020-02-24,6
2020-02-25,7
2020-02-26,7
2020-02-27,5
2020-02-28,3
2020-02-29,7
2020-03-01,9
2020-03-02,9
2020-03-03,10
2020-03-04,8
2020-03-05,8
2020-03-06,4
2020-03-07,8
2020-03-08,9
2020-03-09,7
2020-03-10,7
2020-03-11,8
2020-03-12,8
2020-03-13,4
2020-03-14,6
2020-03-15,1
2020-03-16,-2
2020-03-17,-2
2020-03-18,-5
2020-03-19,-12
2020-03-20,-9
2020-03-21,-11
2020-03-22,-24
2020-03-23,-28
2020-03-24,-30
2020-03-25,-41
2020-03-26,-39
2020-03-27,-15
2020-03-28,-27
2020-03-29,-36
2020-03-30,-42
2020-03-31,-40
2020-04-01,-39
2020-04-02,-38
2020-04-03,-16
2020-04-04,-30
2020-04-05,-35
2020-04-06,-38
2020-04-07,-39
2020-04-08,-41
2020-04-09,-38
2020-04-10,-23
2020-04-11,-30
