date,total,Australian Capital Territory,New South Wales,South Australia,Tasmania,Victoria,Western Australia
2020-02-29,10.963176552031868,26.181462938729158,15.115722823137784,22.69815291437847,1.2192450170392186,16.314546848568195,0.3889902209776715
2020-03-01,5.537629049978416,20.579869968507943,4.0512991008307795,4.746414603070243,3.662561832657796,6.069270434749616,10.177938712920698
2020-03-02,5.858662626534921,19.083099717154855,7.186669085576542,15.822343796374584,7.0519278301437,13.931295114158553,-29.311275444260843
2020-03-03,9.058590819792652,9.355535058553778,5.678760519727104,12.47148088308244,5.015026020204862,11.019398327550178,9.40570689492069
2020-03-04,6.523946671718102,2.4552030969529746,2.0362550454437427,12.582086289233015,8.53568047558256,10.664713255965289,6.728764339719671
2020-03-05,6.134063001436262,10.684074870608992,1.8781367559301185,16.880308550858324,-0.7838693221186427,9.880926898866255,7.970467114072042
2020-03-06,9.366815076586304,18.830273399810054,5.616091685468656,20.43218476750238,9.251974856139249,12.43040705919579,4.763693050987642
2020-03-07,2.709971712328602,11.876107697633927,4.937340003654075,13.488088833527272,-2.7425772711072214,9.814242239630946,-1.2148758625608065
2020-03-08,0.48115007359216827,1.842844297908713,-6.575406917578753,6.160240229516699,-11.986829276782247,11.767426244189702,-2.4316679331067244
2020-03-09,-9.272346343335265,-24.939441638312854,4.221951157196092,-23.910965237473015,-17.760625355097027,-32.083052646876276,5.319393366670029
2020-03-10,6.0588082478295,8.316351602090911,1.4143873824175996,15.572279399860244,2.375741874056625,9.374510066412624,8.709165292332594
2020-03-11,5.5736552618114406,7.71648992139449,1.6775964863030834,14.138256264464554,4.534278578806976,8.45832083517972,4.772315986920644
2020-03-12,5.815431172335292,15.93478721029464,2.085425976938833,21.20353725213507,9.4025704401916,9.635450037333388,3.7404379869380033
2020-03-13,4.782679766455264,12.319274740584328,1.2649463161089916,20.295611135559934,0.486539579246054,5.305779408722197,1.0625373277444277
2020-03-14,-10.164195231823909,-3.508806305355661,-14.33862927833302,11.534701182294109,1.2192450170392186,-2.4934263887984094,-12.584695942220971
2020-03-15,-12.680425982739358,2.7647471052610633,-17.157762684051534,-0.40395017898470154,-2.996465980118555,-12.22745374847964,-14.758633901330175
2020-03-16,-7.246872655834122,2.0783669129257367,-13.391847813074614,9.578428172639626,0.7838693221186427,-2.801722132219608,-4.667882651732057
2020-03-17,-13.595491763298172,-12.474046744738374,-18.64831680349094,1.3782395392501843,-5.806618192787727,-16.139620423617608,-10.032306906052211
2020-03-18,-18.34374648289077,-14.73121858171785,-21.57543343131632,-5.073421890819764,-8.802118816598256,-23.71751046802394,-13.69801278157086
2020-03-19,-21.522859531533864,-11.770362850075264,-23.732205465718618,-7.891455282308277,-14.365467219762957,-28.55649726209899,-14.437669063823968
2020-03-20,-22.144111540032238,-13.550721556244767,-24.906523006130776,-9.39857416437739,-16.80009582860928,-29.492015380066764,-20.974812605032472
2020-03-21,-27.736980781487958,-19.97327907023961,-25.728930938783954,-18.7904158257717,-26.815667524398588,-31.05282298390763,-28.861924671752153
2020-03-22,-33.706123790977486,-26.10936417903007,-33.93372754708237,-26.56164784052501,-34.96230940784591,-42.381483499215754,-31.834921360652928
2020-03-23,-35.859690676107164,-24.939441638312854,-38.155678704278465,-21.641149946035167,-28.469322880050356,-43.3807869434086,-27.32129345172236
2020-03-24,-44.76857257117147,-43.83123931306613,-47.59938995907082,-32.5910851549419,-32.99105182685297,-56.278953061588275,-31.944145215804294
2020-03-25,-49.897103971223764,-47.17469912951188,-52.82597073622542,-39.167778783269014,-36.54259768408755,-60.65018079667944,-40.27102701510711
2020-03-26,-52.98575119904171,-47.80532294767991,-54.78605904464736,-42.33878768829892,-43.09640165928887,-63.191929402315026,-45.165022209082345
2020-03-27,-52.95933197703082,-49.80486188333464,-53.900982277735736,-43.112063745212495,-44.556985753335056,-62.87783499287338,-49.867396604546414
2020-03-28,-53.24353875926913,-47.50443079053571,-52.103832938385764,-46.976520457499475,-50.88875777768996,-59.59482358095547,-54.176948363062586
2020-03-29,-58.187936187730415,-51.6044469254239,-57.094200417181604,-54.638108852242645,-62.5985297940682,-68.94227320593927,-55.30176245032314
2020-03-30,-58.61144432238974,-54.03657841927317,-60.156296072640565,-49.10014425559048,-52.49897209948047,-66.29228283458839,-51.78264648566554
2020-03-31,-59.526510102948556,-57.864541900896796,-60.75984515334501,-49.88592353232976,-57.80070894316961,-69.31145494257531,-51.62551743088638
2020-04-01,-60.49761665746985,-57.34639214785935,-62.303426747926174,-51.142016231744094,-56.013834417009996,-69.41003226492315,-53.17956210681196
2020-04-02,-62.58393461384455,-63.740110157974556,-63.00917423526747,-49.886885318470206,-66.34218155660034,-72.84960765939353,-55.23182085886656
2020-04-03,-60.7618088775787,-59.83620264946788,-61.57936067826318,-52.85111020330556,-60.13976727752118,-69.28536094548323,-58.16074476410977
2020-04-04,-61.20292982691195,-60.18996723039141,-57.89925390342475,-55.62778679075517,-70.39088591246929,-70.18222128998127,-59.61897904077976
2020-04-05,-62.037136776467754,-61.43391116439969,-59.05814526925022,-58.98057327632819,-70.25766674196143,-74.88880520992245,-60.72942156815198
2020-04-06,-60.58648131332465,-55.54776842256607,-60.68849909588154,-51.08623263559859,-59.55089992962417,-69.13942785063496,-56.37867133795591
2020-04-07,-60.71777684089389,-58.384614287526226,-61.661312230754994,-51.4709470917745,-56.74557449849513,-70.44799348258576,-55.03924195636284
2020-04-08,-61.166103032593746,-59.62663558794253,-62.20122834128932,-50.93907935611131,-56.28027275802569,-69.8082073316615,-57.43737624973011
