date,SV
2020-02-15,4
2020-02-16,0
2020-02-17,5
2020-02-18,4
2020-02-19,3
2020-02-20,3
2020-02-21,8
2020-02-22,4
2020-02-23,1
2020-02-24,5
2020-02-25,4
2020-02-26,4
2020-02-27,3
2020-02-28,9
2020-02-29,6
2020-03-01,4
2020-03-02,7
2020-03-03,6
2020-03-04,5
2020-03-05,5
2020-03-06,10
2020-03-07,5
2020-03-08,2
2020-03-09,6
2020-03-10,5
2020-03-11,5
2020-03-12,-6
2020-03-13,-1
2020-03-14,0
2020-03-15,-3
2020-03-16,-9
2020-03-17,-16
2020-03-18,-20
2020-03-19,-32
2020-03-20,-38
2020-03-21,-35
2020-03-22,-53
2020-03-23,-66
2020-03-24,-68
2020-03-25,-68
2020-03-26,-68
2020-03-27,-65
2020-03-28,-60
2020-03-29,-50
2020-03-30,-64
2020-03-31,-64
2020-04-01,-64
2020-04-02,-65
2020-04-03,-63
2020-04-04,-57
2020-04-05,-48
2020-04-06,-67
2020-04-07,-70
2020-04-08,-72
2020-04-09,-79
2020-04-10,-83
2020-04-11,-72
