date,PE,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao Region,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima Region,Loreto,Madre de Dios,Metropolitan Municipality of Lima,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali
2020-02-15,4,0,2,5,1,2,5,2,1,-1,-3,7,1,5,5,12,-5,-4,2,9,-5,2,-5,7,9,0,-2
2020-02-16,1,-8,2,0,-2,-2,-1,0,0,0,-10,1,-5,0,-4,11,-9,-10,1,10,-21,-1,-13,-2,4,1,1
2020-02-17,0,-6,0,4,0,0,2,-1,-1,0,-10,1,-3,-2,0,6,-7,-5,1,5,-9,-1,-5,-2,2,0,-3
2020-02-18,0,-2,1,0,1,2,2,-2,-2,-16,-8,2,-2,0,3,6,-8,-4,0,6,-9,0,-6,0,2,3,-8
2020-02-19,0,-4,-2,-2,-2,4,6,-3,-3,-7,-8,1,-6,0,0,2,-8,-6,0,3,-4,-2,-8,-4,3,-1,-8
2020-02-20,0,-3,-1,4,-3,10,11,-2,-3,1,-7,1,1,1,0,4,-4,-2,0,3,-8,-1,-7,0,5,1,-2
2020-02-21,-1,-3,-3,4,-12,20,27,-5,-8,11,-10,3,-2,1,-3,3,-2,-18,-1,2,-6,-3,-13,3,-10,-4,-1
2020-02-22,1,-2,-1,10,-3,36,38,-3,1,5,-11,4,0,-1,-2,9,-11,-4,-1,4,-6,-3,-6,5,-1,2,-11
2020-02-23,-1,-2,0,8,-11,54,47,-4,-7,1,-7,1,2,-4,-6,9,-24,-2,-2,4,-21,-4,-6,5,0,-3,-1
2020-02-24,-1,-2,1,2,-11,29,9,-2,-4,7,-1,2,0,-3,-2,5,1,-5,-1,3,-5,-2,-8,3,-1,3,5
2020-02-25,1,-7,1,2,-5,27,27,-2,-1,0,-4,7,5,1,2,5,2,-5,0,6,-1,1,0,6,-2,3,2
2020-02-26,0,-4,2,-1,-7,17,14,-3,-4,0,-7,1,1,2,-2,2,-6,-9,1,-6,-3,-2,-2,1,-6,-4,-3
2020-02-27,0,1,2,2,-1,8,12,-2,-4,-1,-6,2,3,2,0,6,1,-3,0,2,-4,-1,0,-1,-5,2,-3
2020-02-28,2,-3,1,1,-2,8,11,0,-1,13,-3,4,2,3,1,3,2,-4,3,4,-8,0,-1,3,-1,1,0
2020-02-29,6,-4,3,6,1,4,13,8,3,-1,-3,7,3,6,6,8,3,-3,5,2,-11,2,1,5,-1,3,0
2020-03-01,5,-3,3,-3,-2,3,8,9,0,-14,-6,3,5,5,-1,7,-9,3,7,8,-22,2,3,-5,-2,3,-5
2020-03-02,2,-8,0,4,-1,0,6,1,0,9,-8,-1,4,0,-1,1,-1,2,3,1,-4,0,-4,0,-7,-1,9
2020-03-03,2,-5,0,5,1,5,5,0,1,0,-4,-4,1,1,-1,-2,-3,5,4,2,0,-2,7,-1,-6,7,4
2020-03-04,1,-7,-2,2,0,3,3,0,-2,7,-8,-5,-3,1,-4,-4,0,3,3,2,-7,-3,1,-6,-8,-3,1
2020-03-05,0,1,-2,2,1,2,4,0,-1,7,-4,-3,4,1,-3,-5,-1,1,1,3,-4,-2,3,-2,-6,1,2
2020-03-06,0,-7,-3,5,1,0,2,-2,0,8,-7,-6,1,0,-6,-7,-2,3,1,4,1,-4,-3,-5,-3,-1,-4
2020-03-07,3,-2,0,2,4,3,6,-1,5,3,-4,-4,4,5,0,-4,2,3,2,1,3,-1,1,7,1,-2,4
2020-03-08,5,5,4,9,4,5,7,4,4,4,-1,-6,7,3,-4,-1,-2,6,6,13,-12,1,2,7,7,8,4
2020-03-09,-3,-8,-3,2,-3,-2,0,-5,-1,4,-10,-9,0,-4,-6,-4,-10,2,-2,0,-2,-6,-1,-6,-9,-1,-6
2020-03-10,-3,-4,0,2,-2,-2,0,-2,-1,3,-10,-8,0,-2,-6,-4,-6,6,-2,2,1,-6,-23,-4,-9,1,7
2020-03-11,-6,-11,-6,1,-9,3,-3,-8,-6,8,-15,-11,-5,-5,-11,-9,-6,9,-5,-4,-1,-10,-24,-6,-11,-4,-6
2020-03-12,-8,-9,-8,0,-10,0,-3,-7,-5,16,-14,-11,0,-7,-11,-9,-7,4,-8,-6,1,-12,11,-10,-13,-5,-1
2020-03-13,-10,-8,-8,-1,-16,-1,-2,-9,-10,13,-17,-16,-4,-9,-13,-13,-14,-4,-10,-4,5,-11,-3,-5,-13,-5,-6
2020-03-14,-11,-11,-9,3,-16,-4,0,-10,-12,1,-18,-14,-9,-9,-10,-15,-22,1,-13,-4,-1,-11,-6,-3,-13,-9,-2
2020-03-15,-17,-11,-13,-1,-12,-9,1,-13,-16,-4,-19,-21,-10,-19,-24,-17,-13,-6,-21,1,-12,-18,-6,-13,-10,-15,-5
2020-03-16,-49,-36,-37,-14,-40,-27,-20,-43,-54,-4,-40,-39,-38,-50,-46,-17,-43,-23,-57,-20,-22,-42,-18,-38,-49,-28,-24
2020-03-17,-77,-64,-70,-59,-75,-65,-68,-71,-81,-36,-71,-70,-70,-76,-75,-58,-72,-55,-81,-68,-52,-71,-73,-70,-78,-61,-67
2020-03-18,-80,-63,-75,-69,-78,-70,-71,-75,-84,-42,-75,-73,-75,-79,-80,-65,-74,-63,-84,-66,-58,-75,-75,-73,-80,-67,-69
2020-03-19,-83,-69,-76,-70,-81,-72,-74,-79,-85,-47,-77,-75,-76,-83,-81,-69,-77,-69,-87,-71,-58,-77,-78,-76,-84,-68,-72
2020-03-20,-84,-70,-78,-71,-81,-73,-74,-80,-86,-49,-79,-76,-79,-83,-82,-73,-78,-70,-88,-69,-60,-77,-78,-77,-82,-66,-72
2020-03-21,-84,-70,-79,-72,-81,-74,-74,-80,-86,-45,-81,-77,-82,-85,-83,-77,-79,-75,-88,-68,-60,-80,-76,-78,-83,-71,-78
2020-03-22,-84,-70,-79,-73,-81,-73,-74,-82,-84,-46,-83,-80,-82,-85,-84,-79,-79,-70,-87,-72,-59,-81,-73,-77,-81,-74,-78
2020-03-23,-82,-67,-78,-71,-82,-72,-72,-77,-84,-49,-77,-75,-78,-82,-81,-67,-77,-68,-86,-65,-58,-78,-78,-77,-80,-69,-64
2020-03-24,-83,-70,-77,-70,-82,-73,-77,-77,-85,-56,-77,-75,-77,-82,-81,-68,-77,-69,-87,-73,-59,-78,-77,-76,-81,-69,-68
2020-03-25,-83,-67,-78,-72,-82,-72,-75,-78,-85,-53,-76,-75,-78,-82,-81,-68,-76,-70,-86,-71,-59,-78,-77,-74,-81,-70,-69
2020-03-26,-82,-68,-78,-69,-81,-72,-74,-75,-84,-52,-75,-74,-77,-82,-81,-68,-75,-69,-86,-70,-62,-77,-77,-75,-82,-69,-66
2020-03-27,-81,-67,-76,-69,-79,-70,-72,-75,-84,-38,-76,-73,-76,-81,-81,-71,-77,-74,-85,-66,-58,-76,-74,-74,-80,-69,-67
2020-03-28,-82,-70,-78,-68,-79,-72,-73,-76,-85,-49,-78,-75,-79,-83,-82,-75,-79,-75,-86,-67,-62,-77,-74,-77,-82,-70,-69
2020-03-29,-82,-66,-77,-72,-79,-72,-74,-79,-83,-48,-80,-78,-78,-84,-83,-77,-80,-66,-85,-72,-61,-79,-70,-78,-81,-73,-72
2020-03-30,-80,-69,-75,-71,-78,-74,-71,-72,-83,-51,-76,-72,-77,-80,-80,-65,-78,-66,-83,-62,-58,-74,-75,-77,-81,-69,-65
2020-03-31,-81,-70,-75,-73,-78,-73,-73,-74,-83,-47,-76,-71,-74,-81,-80,-66,-79,-70,-84,-70,-58,-74,-74,-77,-82,-67,-65
2020-04-01,-81,-70,-76,-73,-79,-71,-74,-73,-84,-51,-76,-72,-76,-81,-82,-66,-79,-68,-85,-71,-59,-75,-74,-77,-82,-69,-67
2020-04-02,-81,-68,-76,-72,-78,-71,-74,-74,-84,-49,-74,-72,-73,-81,-81,-67,-76,-68,-85,-68,-59,-75,-76,-76,-82,-68,-65
2020-04-03,-83,-73,-78,-75,-81,-75,-77,-77,-84,-54,-78,-75,-77,-83,-82,-73,-80,-72,-86,-71,-60,-77,-76,-78,-82,-70,-72
2020-04-04,-85,-74,-82,-76,-84,-77,-79,-80,-88,-63,-82,-80,-81,-87,-86,-79,-82,-75,-88,-73,-62,-82,-78,-81,-85,-74,-76
2020-04-05,-95,-84,-90,-84,-94,-84,-90,-95,-91,-78,-91,-93,-90,-94,-94,-91,-90,-84,-97,-91,-73,-92,-89,-89,-94,-86,-92
2020-04-06,-80,0,-77,-72,-80,-73,-74,-73,-83,0,-75,-73,-75,-81,-81,-66,-78,-66,-84,-63,0,-75,-75,-76,-81,-73,-69
2020-04-07,-83,0,-79,-72,-81,-73,-77,-77,-85,0,-77,-76,-76,-84,-83,-68,-80,-75,-86,-72,0,-78,-76,-79,-81,-69,-72
2020-04-08,-76,0,-74,-66,-73,-66,-69,-68,-80,0,-70,-69,-70,-79,-77,-61,-75,-59,-80,-62,0,-71,-67,-73,-76,-66,-65
2020-04-09,-95,0,-91,-88,-95,-85,-91,-95,-92,0,-90,-92,-90,-94,-94,-88,-89,-86,-98,-89,0,-92,-91,-89,-96,-88,-93
2020-04-10,-96,0,-92,-89,-95,-86,-92,-96,-93,0,-91,-93,-90,-94,-94,-90,-91,-89,-98,-91,0,-93,-91,-90,-96,-88,-93
2020-04-11,-81,0,-77,-69,-79,-70,-73,-75,-84,0,-76,-74,-76,-82,-82,-75,-81,-64,-84,-65,0,-76,-71,-74,-81,-69,-67
