date,SA,Al Bahah Province,Al Jowf,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-15,2,0,2,1,2,2,2,2,3,2,3,0,1,2
2020-02-16,2,1,1,2,2,2,1,2,3,2,2,2,1,2
2020-02-17,2,2,2,1,1,2,1,2,2,2,2,2,1,2
2020-02-18,2,2,3,1,1,2,1,1,2,2,1,2,2,1
2020-02-19,1,0,2,1,1,1,1,2,2,1,1,1,1,0
2020-02-20,2,0,3,2,1,2,1,2,2,2,1,2,1,2
2020-02-21,2,0,0,4,2,3,2,3,3,3,0,0,2,3
2020-02-22,2,0,2,3,2,4,2,2,4,3,3,3,2,3
2020-02-23,2,2,2,2,2,2,2,3,3,2,2,2,1,2
2020-02-24,2,2,2,1,2,3,1,2,2,2,2,2,2,1
2020-02-25,1,2,2,2,4,1,1,2,1,1,2,2,2,0
2020-02-26,2,0,2,1,4,1,2,1,1,1,2,2,4,1
2020-02-27,1,-1,0,1,0,0,1,0,0,1,3,0,0,-1
2020-02-28,2,0,0,3,1,2,2,1,1,2,0,0,1,1
2020-02-29,1,0,0,1,0,1,1,1,1,1,2,1,0,0
2020-03-01,1,1,2,1,1,1,1,1,2,1,2,3,0,0
2020-03-02,1,1,1,1,1,2,1,1,2,1,1,1,1,1
2020-03-03,1,0,0,1,1,1,1,1,1,1,1,0,1,0
2020-03-04,1,0,1,1,1,1,1,0,1,1,0,1,1,0
2020-03-05,1,0,0,1,1,1,1,0,1,1,1,1,1,0
2020-03-06,2,0,0,4,2,2,2,2,2,3,0,0,2,3
2020-03-07,2,0,3,2,2,2,2,2,2,2,2,0,2,1
2020-03-08,2,1,1,2,2,1,2,2,2,2,2,2,1,1
2020-03-09,5,4,3,5,4,5,6,4,5,5,4,2,5,4
2020-03-10,5,4,2,4,3,3,5,2,4,5,3,2,4,2
2020-03-11,5,3,3,5,4,3,6,3,4,5,3,3,5,1
2020-03-12,7,5,4,6,5,5,8,3,6,7,4,4,6,2
2020-03-13,6,0,0,6,5,4,7,4,4,6,0,0,5,6
2020-03-14,5,0,4,5,3,4,6,3,4,5,3,0,4,1
2020-03-15,7,6,4,7,5,5,8,4,6,7,5,4,6,4
2020-03-16,9,7,6,9,6,8,10,6,8,10,6,5,10,6
2020-03-17,11,8,7,10,8,8,11,6,10,12,7,5,12,7
2020-03-18,13,9,10,12,9,10,13,8,11,14,7,8,14,9
2020-03-19,16,12,11,15,12,12,17,10,14,17,8,10,17,12
2020-03-20,14,0,0,16,11,12,14,9,12,15,0,0,14,11
2020-03-21,14,0,9,14,11,12,13,9,12,16,8,0,14,10
2020-03-22,18,13,12,17,13,13,18,13,16,19,11,11,19,13
2020-03-23,21,16,15,20,17,17,20,15,17,22,14,14,23,17
2020-03-24,22,0,16,20,18,17,21,15,18,23,15,14,24,17
2020-03-25,21,14,15,20,18,16,21,14,17,22,13,15,24,15
2020-03-26,26,0,16,25,20,19,25,15,18,25,15,15,30,17
2020-03-27,21,0,0,24,18,17,20,13,15,22,0,0,23,16
2020-03-28,19,0,10,21,15,15,18,11,14,20,0,0,21,13
2020-03-29,23,16,14,23,16,16,20,13,17,25,14,14,25,15
2020-03-30,22,15,13,23,16,16,20,13,16,24,14,13,26,15
2020-03-31,22,0,14,23,16,15,20,13,16,24,14,13,26,15
2020-04-01,22,14,14,23,17,15,20,12,16,24,12,14,26,15
2020-04-02,26,0,15,26,20,19,25,15,19,27,15,15,29,18
2020-04-03,21,0,0,29,18,16,21,14,16,23,0,0,21,16
2020-04-04,20,0,11,27,15,15,19,11,15,23,0,0,21,14
2020-04-05,23,16,14,28,17,15,22,13,17,25,14,14,24,16
2020-04-06,22,0,14,28,16,16,20,13,16,24,13,13,24,15
2020-04-07,29,0,15,28,17,17,30,13,17,31,16,14,34,23
2020-04-08,29,0,18,28,21,18,29,17,18,29,16,0,33,23
2020-04-09,32,0,20,32,24,22,34,18,21,33,18,0,36,27
2020-04-10,24,0,0,29,20,19,25,16,17,26,0,0,26,23
2020-04-11,25,0,14,27,19,18,25,14,16,27,0,0,27,22
