date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,14,24,14,20,25,14,21,10,14,15,11,7,16,14,20
2020-02-16,9,18,6,18,18,16,17,10,12,9,19,8,5,19,8
2020-02-17,1,4,5,3,12,5,2,3,2,-2,7,-1,9,2,5
2020-02-18,2,6,7,4,8,6,7,3,4,0,7,-1,5,4,4
2020-02-19,-2,0,4,2,4,2,2,1,0,-3,4,-7,-1,2,0
2020-02-20,0,5,8,3,4,5,8,4,4,-1,12,-4,5,6,6
2020-02-21,-1,3,7,9,-4,3,5,8,5,0,2,-9,4,6,6
2020-02-22,11,21,17,20,16,7,14,25,17,11,12,6,12,24,12
2020-02-23,1,1,3,1,-8,6,13,19,4,1,9,6,-4,12,9
2020-02-24,1,2,6,-11,-4,2,0,6,3,-1,5,8,3,7,2
2020-02-25,2,3,2,-10,-3,2,-1,0,6,-1,7,11,-1,6,4
2020-02-26,0,0,6,-14,-9,0,-3,-1,2,-3,3,7,-5,1,1
2020-02-27,-1,1,1,-14,-10,1,1,0,3,-2,4,8,-2,6,2
2020-02-28,0,-1,3,-14,-7,1,2,6,0,-1,-1,7,-3,10,2
2020-02-29,2,-1,4,2,-3,7,3,2,3,1,1,4,-4,6,4
2020-03-01,9,21,6,5,2,9,12,8,8,8,13,12,11,20,8
2020-03-02,0,1,-4,3,-6,0,-1,1,-7,-1,3,8,4,3,-17
2020-03-03,-6,-10,-10,-5,-14,-3,-4,-2,-19,-8,-5,3,-6,2,-21
2020-03-04,0,-1,-3,-3,-10,0,-1,-5,-12,-1,3,6,-1,5,-15
2020-03-05,-1,1,-3,-3,-10,2,2,0,-9,-2,9,6,3,7,-13
2020-03-06,-1,-2,-8,-6,-11,0,1,1,-15,1,2,7,-3,7,-20
2020-03-07,-1,-3,-5,-2,-18,2,1,-4,-5,-3,-7,11,-3,4,-1
2020-03-08,9,27,7,4,-2,7,12,8,5,6,6,19,8,16,9
2020-03-09,-2,0,-1,-4,-19,2,-1,-3,-4,-5,-1,5,3,-7,-1
2020-03-10,-2,0,6,-2,-19,5,7,3,-2,-7,11,10,1,-8,8
2020-03-11,-17,-18,-17,-17,-23,-16,-17,-23,-16,-21,-13,-9,-17,-16,-21
2020-03-12,-18,-10,-24,-17,-28,-16,-21,-27,-19,-22,-13,-9,-14,-12,-22
2020-03-13,-26,-19,-38,-26,-35,-24,-33,-38,-23,-31,-31,-18,-22,-24,-33
