date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,0,0,1,0,0,-1,1,1,0,0,1,1,0,0,0,1,0,0,1,-1,1,1,1,0,1,-1,0,0
2020-02-16,1,2,2,3,1,1,2,3,3,1,2,1,1,2,1,3,1,2,2,1,4,2,2,2,2,0,2,1
2020-02-17,-1,-2,-2,0,0,-1,1,0,0,0,1,0,-1,-1,0,-1,-1,0,1,-2,0,1,-2,-1,-1,-1,0,-1
2020-02-18,-1,-2,-2,-1,0,-2,1,0,-2,-1,-1,0,-1,-1,0,-1,-2,0,2,-2,0,1,-1,-1,-1,-2,0,-1
2020-02-19,-1,-2,-2,-1,0,-1,1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,1,-2,1,0,0,-1,-1,-2,-1,-1
2020-02-20,-2,-3,-1,1,1,-1,0,0,-2,-1,0,-1,0,-2,1,0,-3,-1,1,-3,0,-1,-1,-1,-2,-3,-1,-1
2020-02-21,-1,-3,-1,0,0,-2,2,-1,-2,-2,0,0,-2,-2,0,-1,-3,0,1,1,-1,-1,-1,-2,-2,-2,0,-2
2020-02-22,0,0,-1,0,1,1,0,2,-1,0,0,1,-1,-1,0,0,0,1,1,1,-1,0,1,-1,0,1,0,-2
2020-02-23,1,1,-1,1,-1,0,1,2,3,0,-1,1,0,0,1,2,0,2,1,1,1,3,1,-2,2,0,0,-1
2020-02-24,8,12,4,6,6,6,8,10,9,10,6,5,4,9,6,7,7,9,8,9,7,7,4,4,5,10,7,5
2020-02-25,10,11,6,5,7,10,6,8,6,10,6,10,9,8,8,4,12,7,8,10,4,10,9,6,9,13,4,7
2020-02-26,6,9,5,3,7,9,4,7,5,5,5,4,8,6,5,3,6,5,6,7,3,2,5,5,3,6,4,3
2020-02-27,1,-1,1,1,1,0,1,1,3,0,2,0,-1,1,1,0,-2,1,2,5,1,1,1,0,-1,1,1,0
2020-02-28,1,1,0,2,0,0,2,2,4,1,2,1,-2,2,2,1,-1,2,3,5,2,0,0,0,-1,0,1,0
2020-02-29,3,4,2,3,2,1,4,5,4,4,4,3,2,4,2,3,2,4,5,4,4,2,2,2,2,3,5,3
2020-03-01,5,5,4,5,3,2,5,6,7,4,5,3,3,5,3,6,3,5,6,8,8,4,3,2,4,3,4,3
2020-03-02,0,-1,-4,0,-1,-1,1,0,2,0,0,0,-2,1,0,-1,-1,0,1,3,0,0,-2,-2,-1,-1,0,-1
2020-03-03,-1,-2,-2,0,-1,-3,0,0,-1,0,0,0,-2,0,0,-1,-2,0,1,1,0,-1,0,-2,-1,0,0,-1
2020-03-04,-1,-2,-3,0,-2,-2,1,1,0,-1,0,0,-2,0,0,-1,-2,0,1,0,1,-1,-1,-2,-1,-2,0,-1
2020-03-05,-2,-3,-2,-1,0,-2,0,0,0,-1,0,-1,-2,0,0,-2,-3,-3,1,-1,0,-1,-2,-2,-2,-2,0,-2
2020-03-06,-2,-3,-2,0,-1,-2,1,-1,-1,-2,0,-1,-4,-2,0,-1,-3,10,0,-2,0,-2,-2,-3,-3,-4,0,-2
2020-03-07,0,0,0,1,1,-1,4,3,4,-1,2,0,-1,1,3,2,-1,3,3,0,3,0,0,0,-1,-1,2,0
2020-03-08,1,1,1,3,2,1,5,3,6,0,2,0,0,2,2,3,0,3,3,1,5,2,1,1,1,0,2,1
2020-03-09,-2,-3,-3,0,0,-2,1,0,-1,-2,1,0,-2,-1,3,-1,-2,-1,1,-2,0,-1,-2,-2,-1,-2,0,-2
2020-03-10,-2,-4,-4,-1,-1,-3,0,0,-1,-2,-2,-1,-3,-2,-2,-2,-3,-1,0,-1,0,-1,-2,-2,-3,-2,-1,-1
2020-03-11,-1,-4,-3,-1,-2,-2,0,0,-1,-2,-1,-1,-2,-1,0,-1,-2,-1,0,-1,0,-1,-1,-2,-2,-2,0,-3
2020-03-12,-2,2,-2,0,-1,-1,1,0,0,-1,0,-1,-2,-1,1,-1,-3,-1,0,-1,2,-1,-1,-1,-2,-2,-1,-2
2020-03-13,-2,2,-1,0,-1,-2,1,1,-1,-1,0,-1,-3,-2,0,0,-3,-1,2,-1,2,-1,-1,-2,-2,-2,-1,-2
