date,total,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-29,7.7048656633143375,19.07645055545329,8.628990206150972,11.999749728014015,16.92288,1.617006496275487,8.431683303387938,6.928759800448583,8.038474399217849,NA,10.536192637311162,NA,6.7714007189790335,8.211174623720895,22.666437138936853,NA,-31.74448860549567,NA,-3.868858037793767,NA,3.6822972770957,NA,0.48937403008088043,NA
2020-03-01,8.457068410211594,22.084458447185025,4.205108083410346,17.547234217354884,14.81472,-4.312974698473102,25.99377107634098,7.4908864564353905,7.736864578492031,NA,1.8915279192924201,NA,4.070557127363465,9.08759456724552,24.385205334494476,NA,-30.101165853501147,NA,-12.12415030657337,NA,8.988345286620223,-2.5844500487523083,9.546145463495531,NA
2020-03-02,6.510803946757816,19.293759110369272,12.656949399307152,15.930603907886182,10.447679999999998,-4.698796852409764,20.85893833039614,5.561140958293925,7.316901536975069,NA,4.198618790550599,NA,4.720688763345213,7.210371937119628,11.462005144121475,NA,-38.16691093548706,NA,-12.318121347435703,-6.504663710410045,7.272248540972699,-0.6816871594365277,-7.410521026939047,NA
2020-03-03,8.502777958797035,26.752779947090605,11.737324012741814,17.15661983922929,11.62752,-7.283709546278215,29.57087792571228,7.4708445892440105,20.24412752403355,NA,4.955229958267568,NA,2.727852027531725,9.672193459705722,11.333218569468427,NA,-13.986863260439181,NA,-11.389557008258098,3.0413541667305264,3.3677436695694998,2.0719828329840864,-4.1812270358769545,NA
2020-03-04,8.157951539643708,24.25659088864783,8.592205190688357,20.243518866362944,13.13856,-2.077503905812793,24.132754124119103,6.350408775783041,21.520242493370322,NA,10.475052340929993,NA,4.073450888354482,8.23031043034807,21.778487597907926,NA,-21.940889131510893,NA,-11.113964489805177,3.787001339695185,12.024220471185018,-1.3095316095240492,6.77366441245023,NA
2020-03-05,5.186830881590042,20.949307180058124,2.627224525408766,15.6454839238529,17.16384,-6.4182424813681855,20.61995265679983,4.698386294436416,22.14255136398182,NA,1.7100176644108243,NA,3.7445267223755856,3.065556221673473,3.056986587817141,NA,-31.002558461219238,NA,-11.821670713149434,-4.561549565875528,7.132767583506952,-5.815012609692694,1.1271883236892295,NA
2020-03-06,9.639101298192998,19.154605386607287,12.16131971728457,24.97746100126218,13.72512,3.2809243710693274,24.237370342681345,6.697801140433631,12.2476494289674,NA,24.740803057492474,NA,3.3943816424625672,7.295526276610559,12.043965530335635,NA,-43.51606494866158,NA,-3.4290623114821406,3.671397126832447,0.7531971703150295,-7.02839652395066,-16.191480873928466,NA
2020-03-07,5.9558739884924625,21.743245891659054,11.137147444667594,11.999749728014015,15.38496,-5.390979029323427,13.249788048181045,3.9806965740593725,19.461469128479216,NA,14.829387823826382,NA,1.965828299897332,4.367747862652748,22.666437138936853,NA,-46.55826499971013,NA,-6.631504991065713,-0.9652951774038604,0.5261798878190564,-4.088200002713845,-2.9343288222462185,NA
2020-03-08,4.993567702483178,25.211604801041744,-0.6398656637049353,14.405211993308129,8.14848,-11.859005014425376,29.99318192724793,2.5434083840489636,11.60625132919604,NA,5.675539075008216,NA,4.498833754033933,6.7788594976768275,11.084360301153884,NA,-51.04135641203687,NA,-11.113964489805177,4.6029744088180085,2.6636053187769053,-5.168900097504617,1.909612164346919,NA
2020-03-09,2.457890638848714,22.509544480046987,1.4646244314456383,15.930603907886182,6.71616,-7.832285462421408,30.20913283712412,0.7797240712075059,15.494727309059911,NA,9.657300876831856,NA,-1.7979901624183647,2.7785191222658443,8.02350043289605,NA,-47.41955327530518,NA,-13.304300847265488,NA,9.697293325601294,-8.857125687911557,-11.401169918029122,NA
2020-03-10,5.178811662539966,21.402033336133083,2.8576148854114503,18.843579744759534,10.077119999999999,-14.006397300479797,27.458398136212356,4.596268209223193,22.04424183380853,NA,1.6517433194225226,NA,1.13628348247255,7.506020149509486,7.933446662649932,NA,-54.39484246956434,NA,-12.875067900406759,10.136562731181057,-1.2630241182932742,-7.597590879925871,-7.765819980285439,NA
2020-03-11,9.587778296272504,33.84580742816397,7.012385579241378,29.949953522802605,20.438399999999998,-4.6748624756146855,49.6437549441591,5.7892364944243955,31.41896227421671,NA,12.892004682248086,NA,16.293803553417927,9.428211925209238,37.82452014358985,NA,-36.56846684086833,NA,-7.072260970054876,3.787001339695185,8.416954329829514,-5.237164961143535,1.8473630215773353,NA
2020-03-12,-66.11364953645787,-67.76691036439094,-57.80184363916094,-68.99238333642654,-53.731199999999994,-44.926739994505496,-63.110453684038006,-70.93007673955086,-63.38769434823745,NA,-59.50192750157999,NA,-70.93765693378292,-74.927207639036,-58.0749986076443,NA,-69.75480167269274,NA,-70.01874448791465,-49.262808574574656,-13.925971180907641,-58.80008451692566,-21.980651151499742,NA
