date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-02-15,2,-2,0,-1,4,10,2,-1,-10,4,0,3,-2,5,4,3,3,4,-3,1,7,3
2020-02-16,6,9,8,1,6,10,11,4,5,14,5,13,0,12,7,8,11,12,5,9,6,7
2020-02-17,3,0,8,1,4,6,9,4,4,10,9,5,9,5,3,-1,5,6,5,6,3,2
2020-02-18,-1,1,4,-5,-2,2,6,5,-6,8,1,0,8,-2,4,-2,3,6,3,-1,0,2
2020-02-19,2,4,3,0,1,4,0,-2,0,2,-3,4,5,1,3,3,4,2,4,3,4,3
2020-02-20,2,-2,-1,0,-1,6,1,3,-2,6,2,1,11,4,5,4,2,3,2,3,3,1
2020-02-21,4,2,4,1,4,7,2,3,-6,10,-1,-1,5,7,8,1,5,2,4,-2,8,3
2020-02-22,4,3,2,-2,3,10,4,5,-5,9,3,2,2,16,9,7,5,1,4,7,9,4
2020-02-23,5,10,17,-3,2,8,12,10,9,11,14,13,0,10,15,6,10,16,19,20,3,7
2020-02-24,7,0,6,7,6,14,12,4,13,14,2,4,9,11,8,4,8,6,10,5,5,8
2020-02-25,10,12,12,13,4,11,15,8,-2,12,4,6,6,10,12,7,10,12,12,8,5,17
2020-02-26,1,1,4,-2,5,4,0,-5,-2,0,-1,0,5,2,2,1,6,-1,6,-2,3,5
2020-02-27,0,-2,-2,-1,-2,4,0,0,-4,2,-5,-3,0,-3,5,-2,2,-1,-5,-3,3,-1
2020-02-28,0,-5,-4,-1,-2,5,0,-2,-9,1,-3,-4,-3,0,5,-3,1,-2,1,-5,6,-1
2020-02-29,2,2,5,-1,2,7,3,2,-11,10,-1,5,5,-1,6,1,2,2,7,0,5,1
2020-03-01,-5,1,11,-7,-2,-11,3,4,-10,4,0,4,0,-16,-3,-1,-4,5,0,2,-6,-1
2020-03-02,2,0,6,2,7,2,4,2,2,6,3,6,19,-1,9,2,3,4,13,8,3,3
2020-03-03,-2,0,5,-4,-8,0,3,-3,-11,-1,-7,2,2,-3,4,0,1,-4,2,-1,-1,-1
2020-03-04,2,0,7,-1,1,2,1,0,1,2,0,8,11,-2,5,-4,2,1,5,2,5,2
2020-03-05,2,0,3,1,2,4,3,2,0,5,0,4,7,2,9,-1,4,0,1,4,2,2
2020-03-06,3,2,1,2,-3,5,4,6,-7,2,-5,2,4,0,7,3,-1,0,1,0,6,4
2020-03-07,6,7,7,3,6,11,6,5,-5,17,0,9,4,7,8,6,6,1,12,9,8,3
2020-03-08,11,15,21,8,-1,16,13,13,-1,15,20,29,0,10,15,23,8,17,20,11,8,15
2020-03-09,2,-1,5,2,4,3,5,1,2,9,-1,9,8,5,8,0,4,0,-1,5,3,3
2020-03-10,5,6,10,4,5,12,11,5,-4,10,-1,8,4,5,11,2,7,5,11,6,4,8
2020-03-11,11,5,14,11,10,15,8,4,9,10,0,13,12,8,12,8,13,6,8,10,12,14
2020-03-12,21,9,10,30,19,18,17,12,20,10,4,14,13,19,21,15,20,11,14,14,25,30
2020-03-13,27,25,24,26,25,14,28,24,25,31,22,31,33,21,32,25,28,31,37,24,32,32
2020-03-14,9,12,11,8,15,-4,10,7,1,26,-2,16,13,6,26,5,19,5,14,20,16,2
2020-03-15,3,9,12,-2,14,-20,7,10,8,25,-12,21,0,-3,22,2,17,-1,16,16,5,1
2020-03-16,18,20,24,20,16,-12,21,21,24,23,16,24,36,11,23,17,22,22,31,36,18,25
2020-03-17,-1,6,7,-1,3,-22,2,-1,-9,6,-4,1,0,-4,8,-3,7,0,9,12,-4,2
2020-03-18,7,18,9,8,13,-22,7,10,6,15,3,14,24,-1,14,7,13,4,19,18,-1,14
2020-03-19,-14,-10,-15,-17,-13,-27,-19,-9,-13,-6,-13,-11,-7,-17,-6,-16,-9,-12,-6,2,-14,-12
2020-03-20,-20,-25,-24,-19,-20,-29,-28,-22,-22,-16,-21,-20,-25,-21,-15,-26,-16,-22,-28,-13,-18,-18
2020-03-21,-28,-31,-32,-30,-22,-34,-29,-30,-29,-14,-31,-29,-43,-30,-18,-37,-23,-31,-30,-17,-19,-27
2020-03-22,-49,-41,-54,-58,-41,-46,-47,-46,-45,-32,-51,-43,-40,-48,-41,-51,-46,-46,-44,-41,-39,-50
2020-03-23,-39,-41,-34,-47,-44,-37,-37,-33,-25,-32,-31,-31,-26,-40,-35,-40,-42,-26,-33,-18,-36,-33
2020-03-24,-50,-49,-48,-54,-54,-48,-50,-48,-47,-47,-44,-49,-42,-51,-48,-57,-49,-42,-47,-40,-45,-45
2020-03-25,-49,-45,-47,-53,-51,-48,-51,-48,-41,-53,-50,-47,-40,-51,-46,-49,-49,-44,-45,-41,-44,-44
2020-03-26,-51,-50,-48,-55,-53,-51,-56,-48,-44,-53,-49,-49,-43,-53,-47,-51,-50,-48,-47,-40,-46,-47
2020-03-27,-47,-49,-46,-51,-52,-45,-49,-46,-47,-46,-44,-46,-39,-48,-45,-49,-47,-45,-45,-38,-42,-46
2020-03-28,-51,-51,-49,-54,-47,-49,-52,-53,-54,-44,-55,-50,-57,-51,-45,-58,-48,-54,-57,-41,-42,-55
2020-03-29,-57,-58,-59,-61,-54,-55,-56,-58,-63,-44,-64,-54,-58,-58,-47,-61,-52,-61,-53,-52,-51,-59
2020-03-30,-46,-49,-42,-50,-45,-44,-46,-47,-38,-42,-41,-45,-38,-45,-42,-48,-46,-42,-42,-36,-41,-44
2020-03-31,-45,-38,-41,-48,-48,-45,-42,-47,-44,-45,-40,-41,-40,-46,-44,-46,-47,-36,-42,-35,-45,-42
2020-04-01,-41,-43,-39,-46,-45,-42,-42,-46,-34,-39,-35,-36,-29,-44,-37,-39,-42,-36,-33,-30,-40,-39
2020-04-02,-43,-45,-46,-47,-45,-41,-45,-46,-40,-47,-39,-41,-38,-44,-36,-45,-42,-38,-45,-32,-39,-42
2020-04-03,-38,-42,-36,-43,-40,-38,-41,-41,-37,-37,-34,-35,-37,-39,-32,-40,-39,-36,-32,-26,-33,-36
2020-04-04,-41,-42,-42,-45,-38,-37,-41,-47,-43,-37,-44,-40,-40,-43,-33,-49,-39,-42,-45,-26,-33,-43
2020-04-05,-44,-42,-48,-49,-42,-43,-42,-48,-51,-35,-46,-33,-40,-46,-37,-47,-42,-44,-36,-33,-43,-44
2020-04-06,-35,-37,-27,-41,-36,-35,-31,-39,-33,0,-30,-29,0,-36,-29,-38,-35,-31,0,-21,-35,-33
2020-04-07,-33,-28,-21,-39,-36,-34,-26,-36,-33,0,-23,-27,0,-35,-30,-34,-32,-26,0,-18,-34,-27
2020-04-08,-28,-27,-15,-35,-29,-30,-28,-34,-20,0,-20,-18,0,-33,-25,-24,-30,-21,0,-11,-27,-21
2020-04-09,-16,-18,-7,-22,-23,-17,-15,-21,-5,0,-12,-10,0,-19,-12,-11,-19,-6,0,0,-17,-7
