date,KG
2020-02-15,7
2020-02-16,-1
2020-02-17,1
2020-02-18,-1
2020-02-19,0
2020-02-20,7
2020-02-21,8
2020-02-22,9
2020-02-23,15
2020-02-24,-2
2020-02-25,7
2020-02-26,6
2020-02-27,0
2020-02-28,4
2020-02-29,8
2020-03-01,10
2020-03-02,6
2020-03-03,7
2020-03-04,9
2020-03-05,11
2020-03-06,9
2020-03-07,11
2020-03-08,28
2020-03-09,1
2020-03-10,8
2020-03-11,7
2020-03-12,8
2020-03-13,7
2020-03-14,8
2020-03-15,6
2020-03-16,2
2020-03-17,-3
2020-03-18,-10
2020-03-19,-17
2020-03-20,-23
2020-03-21,-38
2020-03-22,-47
2020-03-23,-51
2020-03-24,-52
2020-03-25,-68
2020-03-26,-71
2020-03-27,-72
2020-03-28,-75
2020-03-29,-74
2020-03-30,-72
2020-03-31,-72
2020-04-01,-76
2020-04-02,-77
2020-04-03,-76
2020-04-04,-77
2020-04-05,-76
2020-04-06,-74
2020-04-07,-76
2020-04-08,-76
2020-04-09,-79
2020-04-10,-75
2020-04-11,-75
