date,BE,Brussels,Flanders,Wallonia
2020-02-15,1,1,1,2
2020-02-16,-3,-5,-3,-2
2020-02-17,4,4,3,2
2020-02-18,4,5,5,4
2020-02-19,4,5,4,4
2020-02-20,3,3,3,1
2020-02-21,2,2,2,1
2020-02-22,-2,-1,-2,-1
2020-02-23,-4,-5,-4,-4
2020-02-24,-24,-18,-24,-29
2020-02-25,-23,-17,-21,-27
2020-02-26,-21,-16,-20,-23
2020-02-27,-23,-18,-23,-25
2020-02-28,-23,-18,-23,-25
2020-02-29,-5,-2,-5,-4
2020-03-01,-1,-4,0,0
2020-03-02,3,2,3,2
2020-03-03,4,3,4,3
2020-03-04,4,3,4,3
2020-03-05,2,2,2,2
2020-03-06,2,0,2,1
2020-03-07,2,1,2,1
2020-03-08,-1,-5,0,-1
2020-03-09,2,0,2,0
2020-03-10,1,0,1,-1
2020-03-11,1,-1,1,0
2020-03-12,-1,-4,-1,-1
2020-03-13,-7,-14,-7,-6
2020-03-14,-27,-33,-27,-24
2020-03-15,-29,-37,-29,-25
2020-03-16,-36,-47,-36,-34
2020-03-17,-45,-55,-43,-44
2020-03-18,-52,-64,-50,-51
2020-03-19,-61,-72,-59,-62
2020-03-20,-62,-72,-60,-63
2020-03-21,-51,-60,-48,-52
2020-03-22,-48,-58,-46,-48
2020-03-23,-65,-75,-63,-66
2020-03-24,-66,-76,-63,-67
2020-03-25,-65,-75,-62,-67
2020-03-26,-66,-76,-64,-68
2020-03-27,-65,-75,-63,-67
2020-03-28,-51,-62,-49,-52
2020-03-29,-52,-62,-50,-52
2020-03-30,-66,-76,-63,-67
2020-03-31,-66,-76,-63,-68
2020-04-01,-64,-75,-62,-66
2020-04-02,-66,-77,-63,-68
2020-04-03,-65,-75,-62,-67
2020-04-04,-50,-61,-48,-50
2020-04-05,-46,-57,-45,-46
2020-04-06,-66,-75,-63,-67
2020-04-07,-66,-75,-63,-68
2020-04-08,-64,-74,-62,-66
2020-04-09,-66,-75,-64,-67
2020-04-10,-66,-75,-63,-67
2020-04-11,-47,-57,-45,-47
