date,BD
2020-02-15,8
2020-02-16,8
2020-02-17,5
2020-02-18,5
2020-02-19,5
2020-02-20,7
2020-02-21,0
2020-02-22,8
2020-02-23,11
2020-02-24,7
2020-02-25,6
2020-02-26,7
2020-02-27,8
2020-02-28,6
2020-02-29,11
2020-03-01,12
2020-03-02,8
2020-03-03,7
2020-03-04,8
2020-03-05,11
2020-03-06,-4
2020-03-07,13
2020-03-08,13
2020-03-09,6
2020-03-10,8
2020-03-11,9
2020-03-12,11
2020-03-13,7
2020-03-14,11
2020-03-15,13
2020-03-16,9
2020-03-17,-33
2020-03-18,0
2020-03-19,1
2020-03-20,4
2020-03-21,0
2020-03-22,-5
2020-03-23,-14
2020-03-24,-20
2020-03-25,-36
2020-03-26,-66
2020-03-27,-38
2020-03-28,-54
2020-03-29,-60
2020-03-30,-61
2020-03-31,-60
2020-04-01,-59
2020-04-02,-59
2020-04-03,-35
2020-04-04,-51
2020-04-05,-54
2020-04-06,-60
2020-04-07,-63
2020-04-08,-63
2020-04-09,-63
2020-04-10,-43
2020-04-11,-58
