date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-03-23,13,8,13,8,15,10,11,10,9,12,12,11,9,18,9,10,12,9,8,13,11,9,9,12,12,9,13,8,16,14,12,10,11,11,9
2020-03-24,13,9,15,9,16,11,11,8,9,11,13,12,11,19,9,10,11,10,11,12,11,10,10,11,12,9,13,8,16,15,11,10,11,12,9
2020-03-25,21,15,37,16,26,15,18,15,17,19,19,18,19,28,15,15,18,16,16,20,20,17,16,22,19,16,19,16,20,23,18,19,17,15,16
2020-03-26,15,12,30,10,18,12,12,9,11,13,14,14,13,20,11,11,14,9,12,14,13,13,11,14,14,11,14,12,16,16,13,12,12,11,13
2020-03-27,16,11,14,12,19,11,14,10,12,15,15,15,14,22,12,13,15,10,13,15,14,14,11,14,14,12,15,12,19,18,14,14,13,12,14
2020-03-28,15,12,15,10,16,11,15,10,12,14,12,10,11,17,11,11,11,11,11,11,17,13,11,15,14,13,13,11,19,15,13,12,14,12,16
2020-03-29,15,13,16,11,15,13,15,11,11,15,13,9,9,17,10,11,11,12,9,12,16,13,11,14,12,13,14,11,19,16,14,13,13,12,14
2020-03-30,16,13,16,11,19,13,14,11,13,14,14,13,15,22,12,12,13,11,13,15,15,15,11,13,14,13,16,12,19,17,13,13,15,15,13
2020-03-31,15,13,16,12,18,14,14,10,12,13,15,13,12,22,12,10,12,12,11,13,14,13,10,13,13,12,15,12,19,17,12,13,14,14,12
2020-04-01,15,13,18,12,18,12,12,9,12,13,14,12,15,21,11,12,13,11,13,14,14,14,10,13,14,10,15,10,16,16,12,13,15,13,13
2020-04-02,16,12,18,13,19,14,14,10,12,14,15,12,13,22,12,13,13,13,10,14,14,14,11,14,13,12,15,12,18,17,14,14,15,13,14
2020-04-03,17,13,19,13,20,12,14,10,12,15,15,13,14,23,11,12,12,12,11,14,14,14,11,15,11,12,16,12,19,18,14,14,15,13,14
2020-04-04,15,12,17,13,16,13,14,9,12,14,12,8,10,18,12,10,9,11,9,12,16,12,11,14,13,12,13,12,18,16,13,13,14,13,14
2020-04-05,14,10,17,13,15,12,14,11,11,13,13,8,9,17,12,11,9,10,7,12,15,12,13,14,11,12,13,13,16,15,14,13,13,10,13
2020-04-06,16,12,18,12,18,15,13,12,12,14,13,12,13,22,11,12,12,13,10,15,15,15,12,13,13,13,15,11,18,17,13,14,14,13,14
2020-04-07,15,9,17,12,18,14,13,11,12,14,13,11,13,21,11,11,12,13,10,14,15,14,10,14,13,12,15,12,17,17,12,13,14,13,11
2020-04-08,15,10,18,12,19,12,13,10,13,13,14,11,14,22,10,12,12,13,11,15,14,14,13,14,12,12,17,12,17,17,12,13,13,12,12
2020-04-09,15,9,17,12,18,12,12,9,11,12,13,11,12,20,11,11,12,12,10,14,14,13,11,13,10,14,14,13,17,17,12,13,13,11,13
2020-04-10,24,13,22,18,30,17,20,14,19,20,19,22,25,34,16,16,20,16,16,26,22,21,17,24,23,17,24,18,24,27,18,18,22,17,20
2020-04-11,17,10,18,13,19,12,15,12,14,15,13,15,18,22,12,12,12,13,11,18,18,14,13,17,20,16,18,14,18,18,15,14,16,16,15
