date,ZM
2020-02-15,-1
2020-02-16,-4
2020-02-17,-8
2020-02-18,-6
2020-02-19,-8
2020-02-20,-10
2020-02-21,-9
2020-02-22,-3
2020-02-23,-6
2020-02-24,-10
2020-02-25,-6
2020-02-26,-4
2020-02-27,2
2020-02-28,2
2020-02-29,14
2020-03-01,13
2020-03-02,6
2020-03-03,5
2020-03-04,6
2020-03-05,7
2020-03-06,7
2020-03-07,12
2020-03-08,11
2020-03-09,1
2020-03-10,0
2020-03-11,5
2020-03-12,-2
2020-03-13,-3
2020-03-14,0
2020-03-15,-4
2020-03-16,-7
2020-03-17,-5
2020-03-18,-3
2020-03-19,-2
2020-03-20,-4
2020-03-21,-6
2020-03-22,-12
2020-03-23,-8
2020-03-24,-5
2020-03-25,-5
2020-03-26,-7
2020-03-27,-16
2020-03-28,-14
2020-03-29,-21
2020-03-30,-11
2020-03-31,-8
2020-04-01,-10
2020-04-02,-13
2020-04-03,-17
2020-04-04,-19
2020-04-05,-24
2020-04-06,-15
2020-04-07,-16
2020-04-08,-16
2020-04-09,-12
2020-04-10,-29
2020-04-11,-26
