date,TT
2020-02-15,3
2020-02-16,10
2020-02-17,13
2020-02-18,16
2020-02-19,29
2020-02-20,16
2020-02-21,19
2020-02-22,29
2020-02-23,17
2020-02-24,-8
2020-02-25,9
2020-02-26,20
2020-02-27,15
2020-02-28,16
2020-02-29,14
2020-03-01,15
2020-03-02,15
2020-03-03,9
2020-03-04,9
2020-03-05,5
2020-03-06,5
2020-03-07,-1
2020-03-08,-7
2020-03-09,-2
2020-03-10,1
2020-03-11,-1
2020-03-12,-3
2020-03-13,-10
2020-03-14,-22
2020-03-15,-28
2020-03-16,-23
2020-03-17,-26
2020-03-18,-35
2020-03-19,-41
2020-03-20,-42
2020-03-21,-49
2020-03-22,-49
2020-03-23,-48
2020-03-24,-51
2020-03-25,-53
2020-03-26,-56
2020-03-27,-54
2020-03-28,-58
2020-03-29,-70
2020-03-30,-86
2020-03-31,-72
2020-04-01,-72
2020-04-02,-74
2020-04-03,-75
2020-04-04,-78
2020-04-05,-82
2020-04-06,-72
2020-04-07,-74
2020-04-08,-73
2020-04-09,-73
2020-04-10,-87
2020-04-11,-77
