date,RW
2020-02-15,5
2020-02-16,6
2020-02-17,7
2020-02-18,4
2020-02-19,2
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,0
2020-02-24,4
2020-02-25,3
2020-02-26,2
2020-02-27,2
2020-02-28,-1
2020-02-29,-10
2020-03-01,-1
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,2
2020-03-06,1
2020-03-07,5
2020-03-08,1
2020-03-09,5
2020-03-10,5
2020-03-11,3
2020-03-12,4
2020-03-13,4
2020-03-14,11
2020-03-15,1
2020-03-16,-14
2020-03-17,-21
2020-03-18,-24
2020-03-19,-24
2020-03-20,-24
2020-03-21,-8
2020-03-22,-24
2020-03-23,-58
2020-03-24,-63
2020-03-25,-64
2020-03-26,-63
2020-03-27,-62
2020-03-28,-43
2020-03-29,-31
2020-03-30,-61
2020-03-31,-61
2020-04-01,-60
2020-04-02,-60
2020-04-03,-59
2020-04-04,-37
2020-04-05,-26
2020-04-06,-58
2020-04-07,-73
2020-04-08,-59
2020-04-09,-60
2020-04-10,-65
2020-04-11,-37
