date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,32,27,26,41,30,36,43,23,37,NA,20
2020-02-16,1,3,0,-2,4,-1,3,-2,2,NA,5
2020-02-17,3,2,4,4,0,3,7,1,4,6,4
2020-02-18,-1,-7,3,0,-5,2,2,-8,1,6,1
2020-02-19,-2,-8,3,-8,-7,-1,3,-4,1,8,1
2020-02-20,-15,-24,-17,-18,-20,-14,-5,-22,-9,0,-20
2020-02-21,-63,-56,-59,-69,-63,-69,-63,-61,-61,-47,-54
2020-02-22,26,17,22,33,23,33,35,16,30,NA,21
2020-02-23,1,1,6,-9,3,3,-2,-2,4,NA,7
2020-02-24,4,8,6,7,4,3,9,4,4,4,7
2020-02-25,3,4,4,5,4,3,5,1,2,6,4
2020-02-26,6,11,7,8,6,6,7,8,4,2,7
2020-02-27,1,4,0,-1,2,1,4,-1,1,4,1
2020-02-28,16,20,14,19,14,15,16,15,18,0,17
2020-02-29,35,30,29,43,34,40,39,24,43,NA,26
2020-03-01,3,6,2,5,4,-1,5,3,7,NA,9
2020-03-02,3,6,1,6,3,2,8,2,3,4,6
2020-03-03,3,4,1,4,5,1,4,1,0,6,3
2020-03-04,6,15,5,7,6,4,7,8,2,6,6
2020-03-05,1,6,0,-1,1,0,3,1,-1,6,5
2020-03-06,17,23,16,19,16,16,19,17,17,0,21
2020-03-07,32,28,25,37,29,39,34,25,35,NA,18
2020-03-08,-1,-8,0,-5,-1,0,1,1,-2,NA,0
2020-03-09,3,7,1,4,2,3,7,2,3,2,4
2020-03-10,-14,-17,-15,-17,-14,-14,-12,-15,-13,6,-15
2020-03-11,-10,-8,-11,-12,-11,-10,-10,-6,-10,-12,-9
2020-03-12,-67,-58,-61,-72,-66,-72,-69,-64,-68,-57,-56
2020-03-13,-10,-16,-15,-10,-9,-10,-12,-6,-9,-7,-9
2020-03-14,29,21,22,37,29,32,34,26,32,NA,20
2020-03-15,0,1,2,-3,1,1,3,4,-1,NA,5
2020-03-16,3,9,3,4,3,3,7,5,1,14,5
2020-03-17,-16,-19,-19,-16,-15,-15,-13,-18,-15,-20,-16
2020-03-18,5,11,7,4,4,4,3,8,2,-29,6
2020-03-19,-21,-22,-23,-23,-19,-22,-18,-19,-21,-16,-20
2020-03-20,-69,-65,-66,-73,-67,-73,-73,-66,-72,-18,-66
2020-03-21,-55,-56,-49,-54,-54,-58,-58,-56,-58,0,-55
2020-03-22,-62,-62,-59,-62,-59,-66,-66,-57,-67,0,-62
2020-03-23,-84,-83,-81,-84,-82,-86,-84,-83,-84,-61,-81
2020-03-24,-87,-87,-85,-88,-86,-90,-88,-85,-89,-61,-85
2020-03-25,-91,-89,-89,-91,-90,-93,-91,-91,-92,-75,-88
2020-03-26,-89,-88,-87,-89,-88,-91,-89,-88,-91,-67,-87
2020-03-27,-87,-86,-85,-86,-85,-90,-86,-86,-88,-62,-86
2020-03-28,-73,-74,-72,-67,-69,-76,-73,-69,-76,0,-74
2020-03-29,-69,-72,-70,-65,-67,-71,-65,-67,-72,0,-69
2020-03-30,-87,-86,-86,-86,-85,-89,-86,-86,-88,-63,-85
2020-03-31,-87,-87,-87,-86,-86,-89,-87,-87,-89,-61,-85
2020-04-01,-86,-86,-85,-85,-84,-88,-87,-84,-87,-63,-85
2020-04-02,-85,-85,-85,-86,-84,-87,-84,-84,-86,-61,-83
2020-04-03,-83,-81,-82,-81,-82,-85,-82,-81,-83,-56,-81
2020-04-04,-65,-70,-64,-59,-63,-67,-64,-64,-65,0,-67
2020-04-05,-69,-73,-75,-68,-67,-72,-66,-67,-72,0,-69
2020-04-06,-84,-83,-84,-84,-83,-86,-82,-84,-85,-57,-83
2020-04-07,-84,-83,-84,-84,-83,-87,-84,-83,-86,-59,-84
2020-04-08,-84,-83,-83,-84,-82,-86,-84,-82,-84,-57,-82
2020-04-09,-84,-84,-83,-84,-82,-87,-84,-84,-86,-57,-83
2020-04-10,-82,-81,-82,-81,-80,-84,-81,-81,-83,-49,-81
2020-04-11,-63,-70,-65,-57,-61,-64,-61,-63,-65,0,-64
