date,total,Blekinge County,Dalarna County,Halland County,Jamtland County,Kronoberg County,Norrbotten County,Skåne County,Stockholm County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County,Örebro County
2020-02-29,4.590522194171881,9.739523066226683,21.739134684309498,8.729311176415935,25.693159901850834,5.1283199999999995,12.500387191579678,4.880390330897496,0.5629847191333566,0.9995326644844134,5.44075565379845,12.80001659562827,4.6476071561371555,4.239846771481996,3.301765001230765
2020-03-01,-5.61747740627667,9.01800369963997,15.743817169987294,-7.972292625000972,-5.641033545737213,-7.54752,6.34379857475992,-2.2106670430709463,-6.387526796300094,-4.785407351199508,8.47723539488394,-6.137190992443505,-5.160225191148516,-9.216722651817745,-4.972219315724219
2020-03-02,-2.8832496491270105,-4.679992055874097,0.7936416403047978,6.00234534719171,-0.4498690822963473,-5.53344,0.3191299283021428,-3.0081800106548338,-1.8826899551256882,-2.1611517069933264,-10.062023036834317,-15.419572688502752,-2.05630839850857,-1.5087873380199868,-0.2622623059661663
2020-03-03,-4.192050613449833,NA,-2.155147557724235,-0.2926131557838387,1.8596499007027354,-2.92896,-7.144048394970461,-2.9060594477325066,-4.703368079437786,0.7554382975784707,-7.788941302039263,-11.792789618397293,-6.203942746304475,-2.4908496846340187,-6.30212406873922
2020-03-04,-5.345350473100638,-4.21149865893971,-4.495999440150332,-1.1336400003109364,-0.9169306135976506,-6.425279999999999,-6.93452844204261,-1.4929053722454477,-6.489190135700666,-3.615105109867854,-10.885314037391623,-18.16359599339247,-6.794377560824202,-4.74920720273171,-4.620905256612825
2020-03-05,-3.7206878899127775,1.3787938580663917,-1.7856936906857948,3.955941083516348,4.522569224359246,-3.6144,-7.545628304748841,-1.384949348584702,-5.544488349761387,-4.902148135371916,-10.491731503637899,-15.583294944307408,-0.8910021253707902,-2.741671109113045,-6.5516646956846385
2020-03-06,-0.7604975900365907,-1.3145489829593555,7.413512120334841,1.8453507082496925,8.493069808448238,7.1424,-6.499968539673735,-3.0957119217311138,0.46228046784033705,-2.2692092923429925,-10.576342241570464,-11.081411629725604,1.96487368258624,-0.7592171579422824,-1.9650101133584397
2020-03-07,5.951156860052043,4.8697615331133415,2.1737179901944215,19.297365667241284,24.599529117924472,16.025280000000002,9.895937776712646,7.32155807313598,2.5857015379617194,-0.4997663322422067,4.353174932507969,6.933781149341008,10.690080084961773,5.813268861194654,4.952647501846147
2020-03-08,-5.831291425200695,3.7578310024146386,-12.94554621408503,-7.529597237702198,2.0516322479247435,1.8864,-0.45298989822826957,-1.8420604397608324,-2.909873318314487,-10.05032023738816,-2.3120597151909545,-9.205786488665257,-7.0365822870439905,-14.630606629418875,-7.872762132454506
2020-03-09,-4.832682768635076,-10.295982522923012,-0.5287686298089848,-3.7161870784547513,2.701124765889746,-9.485759999999999,2.5501294270709223,-6.517237068023937,-5.135916815943994,-2.1611517069933264,-0.7947705270968906,-0.32840195170173514,-2.6428523740528784,-5.248920656116846,-5.779556638194693
