date,TG
2020-02-15,-2
2020-02-16,-6
2020-02-17,-4
2020-02-18,-7
2020-02-19,-2
2020-02-20,-10
2020-02-21,-5
2020-02-22,-27
2020-02-23,-15
2020-02-24,-10
2020-02-25,-6
2020-02-26,-4
2020-02-27,-5
2020-02-28,-4
2020-02-29,-1
2020-03-01,-8
2020-03-02,-1
2020-03-03,-4
2020-03-04,-4
2020-03-05,1
2020-03-06,2
2020-03-07,-2
2020-03-08,-4
2020-03-09,-1
2020-03-10,-6
2020-03-11,-6
2020-03-12,0
2020-03-13,-3
2020-03-14,-7
2020-03-15,-9
2020-03-16,-4
2020-03-17,-9
2020-03-18,-5
2020-03-19,-3
2020-03-20,-10
2020-03-21,-18
2020-03-22,-35
2020-03-23,-26
2020-03-24,-30
2020-03-25,-31
2020-03-26,-30
2020-03-27,-32
2020-03-28,-34
2020-03-29,-41
2020-03-30,-39
2020-03-31,-34
2020-04-01,-36
2020-04-02,-38
2020-04-03,-43
2020-04-04,-51
2020-04-05,-53
2020-04-06,-42
2020-04-07,-39
2020-04-08,-42
2020-04-09,-39
2020-04-10,-43
2020-04-11,-47
