date,MZ
2020-02-15,1
2020-02-16,-3
2020-02-17,19
2020-02-18,15
2020-02-19,13
2020-02-20,13
2020-02-21,17
2020-02-22,2
2020-02-23,-5
2020-02-24,20
2020-02-25,17
2020-02-26,17
2020-02-27,16
2020-02-28,18
2020-02-29,2
2020-03-01,-1
2020-03-02,24
2020-03-03,21
2020-03-04,20
2020-03-05,20
2020-03-06,22
2020-03-07,6
2020-03-08,1
2020-03-09,26
2020-03-10,22
2020-03-11,21
2020-03-12,19
2020-03-13,21
2020-03-14,4
2020-03-15,-3
2020-03-16,24
2020-03-17,20
2020-03-18,19
2020-03-19,17
2020-03-20,20
2020-03-21,2
2020-03-22,-1
2020-03-23,8
2020-03-24,1
2020-03-25,-2
2020-03-26,-6
2020-03-27,-4
2020-03-28,-2
2020-03-29,1
2020-03-30,-4
2020-03-31,-9
2020-04-01,-13
2020-04-02,-17
2020-04-03,-13
2020-04-04,-6
2020-04-05,-2
2020-04-06,-13
2020-04-07,-63
2020-04-08,-17
2020-04-09,-19
2020-04-10,-56
2020-04-11,-6
