date,LY
2020-02-15,4
2020-02-16,6
2020-02-17,-2
2020-02-18,3
2020-02-19,2
2020-02-20,2
2020-02-21,3
2020-02-22,3
2020-02-23,6
2020-02-24,5
2020-02-25,5
2020-02-26,4
2020-02-27,3
2020-02-28,4
2020-02-29,3
2020-03-01,7
2020-03-02,4
2020-03-03,6
2020-03-04,4
2020-03-05,3
2020-03-06,5
2020-03-07,3
2020-03-08,4
2020-03-09,4
2020-03-10,3
2020-03-11,4
2020-03-12,4
2020-03-13,7
2020-03-14,2
2020-03-15,1
2020-03-16,-7
2020-03-17,-10
2020-03-18,-14
2020-03-19,-27
2020-03-20,-35
2020-03-21,-29
2020-03-22,-37
2020-03-23,-39
2020-03-24,-34
2020-03-25,-53
2020-03-26,-53
2020-03-27,-50
2020-03-28,-49
2020-03-29,-49
2020-03-30,-54
2020-03-31,-51
2020-04-01,-51
2020-04-02,-52
2020-04-03,-50
2020-04-04,-48
2020-04-05,-44
2020-04-06,-47
2020-04-07,-47
2020-04-08,-52
2020-04-09,-49
2020-04-10,-53
2020-04-11,-46
