date,total,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Savanne District
2020-02-29,35.130951327366105,30.288720051257833,28.786009480992263,43.58834587018134,33.499819999602266,39.99973863998311,38.302731289099064,26.12218254339612
2020-03-01,2.5298386530720607,6.051967394857175,2.4164844079361396,4.642831408401424,3.5533440848142464,-0.8238548394449644,5.455748803293112,8.557463856694046
2020-03-02,2.8582850899813534,6.343686472273931,1.1264090666475233,5.874031501103548,2.9095392694473636,1.6457870304898239,8.27561687251223,6.090284132308646
2020-03-03,2.540252808388697,4.385413853575315,1.4970650415699989,3.937909002383737,4.601198509825329,1.452560866279278,4.401396509663515,2.9198295386314648
2020-03-04,5.979327329490141,14.553219716936217,5.462602601844486,6.6562056776437215,5.7254689366603735,4.326920224436155,7.313734897582519,5.514704157983123
2020-03-05,1.2288703273630595,5.951839394687728,NA,-0.7087849945438114,0.7622496181940238,NA,3.2555271995886734,4.755205417027092
2020-03-06,17.3700099792785,23.412622193467516,16.012338116650948,18.704584937756984,16.400784391467905,16.053152816676153,19.230013080557164,21.22212918581029
2020-03-07,32.22620308289515,28.26883020168571,25.071747789431456,36.881926541698,28.999872692193687,39.17203850373793,34.04623672214052,18.2860995485637
2020-03-08,-1.0702547310019865,-7.781100936244941,NA,-4.642831408401424,-0.7106688169628492,-0.41240808182250843,1.0915310815604775,NA
2020-03-09,2.883919933837688,6.645996011247069,0.7509393777650156,3.6713903940811594,1.9400112463058425,3.2915740609796478,6.563486023182435,3.6535987111987716
2020-03-10,-14.132809853545693,-16.95821725946775,-15.342269133414472,-17.540014497130507,-13.803595529475988,-13.756549302750805,-12.103125424883688,-15.18139829632437
2020-03-11,-9.948722682869514,-7.909149244153944,-10.926167946480977,-12.203848448289765,-11.055485063881743,-9.97854519654461,-10.126929851019172,-8.578428690195969
2020-03-12,-66.99986877401358,-58.328411175632695,-61.28531791075332,-72.2535809696814,-65.57066076509643,-72.29350249234564,-68.91517329003361,-55.87414012355701
2020-03-13,-10.33484751845556,-15.72490987276523,-14.748256830746506,-9.559906602157675,-9.184248219217467,-9.886258073339574,-11.663653085495582,-8.899571821566335
2020-03-14,28.56122150030975,21.53811049798757,22.285570149364847,36.881926541698,28.500303080269532,31.999598647146474,33.33697984468987,19.59163690754709
2020-03-15,0.2915963488658107,0.8645667706938822,2.4164844079361396,-3.0948990565571055,0.7106688169628492,0.8238548394449644,3.273639942426795,5.134478314016427
2020-03-16,3.4446821431950165,9.062546784567386,3.0047202538520685,3.6713903940811594,2.9095392694473636,2.5119401347370967,7.133560771455942,4.871464948265029
2020-03-17,-15.892802102057193,-19.297746494196186,-18.709943419852966,-16.107959801069917,-15.337646766092028,-14.695763046202067,-13.203236226735907,-16.3497112905679
2020-03-18,4.5173401408085345,11.38956001927464,6.633297836924304,4.068271365140433,4.343294503669456,3.6203469373975916,3.3756432836730577,6.127449064425692
2020-03-19,-20.84513349955291,-22.021420652651635,-23.028807584793814,-23.021993262832435,-19.2520564595245,-21.798987560389744,-18.178520693691482,-19.615460581981093
2020-03-20,-69.42075934069622,-64.99558810999253,-66.15487095272185,-73.15549539053141,-67.13527840244207,-73.12120262859082,-72.19167313922432,-65.03577236389738
2020-03-21,-55.323998486323504,-55.86564747915725,-49.2144487845767,-54.76474577052204,-54.00032288892575,-57.93131894356178,-57.45362028252128,-54.85734569871374
2020-03-22,-62.57305167557273,-62.24784472072712,-59.20483073722743,-61.9008780725367,-58.989332608007686,-65.93434290899857,-65.47375215079053,-61.612786821219764
2020-03-23,-83.67613579143001,-82.76830814006944,-81.13033508238188,-84.80216544392776,-81.8501347536688,-86.01832809649471,-83.32243026437727,-80.38679522219185
2020-03-24,-87.58785274613263,-87.42329737871634,-84.94375928151933,-88.77580339017814,-85.88872045006521,-90.31256329812908,-86.92400618239954,-84.6674330444936
2020-03-25,-91.04935775560837,-88.8992226119833,-88.96898689489824,-91.34345911291928,-89.82605494404487,-93.51473420850385,-90.01937860320903,-87.62347456826475
2020-03-26,-89.14917495475754,-88.08760814907133,-87.28611249447098,-89.25476436741756,-87.30050608376291,-91.11142370837268,-88.17855194950312,-86.7829753342331
2020-03-27,-86.99344480421387,-86.31129891529604,-85.53777158418731,-86.0401250665506,-85.06724843045761,-89.76172453149903,-85.74667789792164,-85.5736856199631
2020-03-28,-72.61229740080992,-74.71185520335852,-72.42810298543574,-67.0583994020442,-68.99982884694674,-75.8619379229404,-72.34896801123959,-73.14249230030009
2020-03-29,-68.80071655492111,-72.6226459690537,-70.07901057294006,-64.99577712909381,-66.80668959459902,-70.87939459406846,-64.3831743714847,-68.458757906575
2020-03-30,-86.91734136151537,-85.78851522210363,-86.01240378064648,-87.00480655095014,-84.56576841848786,-89.56945969148853,-85.32055179009846,-84.64932705192375
2020-03-31,-87.08476893545206,-86.83889645465044,-87.18887547247834,-86.98549360831952,-85.1216948317572,-89.03015681525909,-86.37395078147343,-84.6674330444936
2020-04-01,-85.95763689464383,-86.05231399178084,-85.45786393245078,-85.79581634227323,-83.70608839796829,-88.48124069702914,-86.08033368704493,-83.94700512960934
2020-04-02,-85.28632442115605,-85.70667983734977,-85.05736293097611,-86.06716318623347,-83.6793427973299,-87.53529768417751,-83.83721348188179,-82.02776991720602
2020-04-03,-82.76609883453011,-81.4185056762467,-82.58792766947961,-81.88397981244083,-82.00583235738513,-85.55304718366932,-81.64843150523299,-80.09709934107438
