date,SG
2020-02-15,-9
2020-02-16,-17
2020-02-17,-6
2020-02-18,-9
2020-02-19,-14
2020-02-20,-13
2020-02-21,-12
2020-02-22,-9
2020-02-23,-12
2020-02-24,-8
2020-02-25,-6
2020-02-26,-13
2020-02-27,-9
2020-02-28,-10
2020-02-29,-7
2020-03-01,-9
2020-03-02,-5
2020-03-03,-5
2020-03-04,-12
2020-03-05,-11
2020-03-06,-9
2020-03-07,-8
2020-03-08,-10
2020-03-09,-7
2020-03-10,-7
2020-03-11,-12
2020-03-12,-9
2020-03-13,-10
2020-03-14,-8
2020-03-15,-10
2020-03-16,-2
2020-03-17,16
2020-03-18,-2
2020-03-19,-1
2020-03-20,-6
2020-03-21,-4
2020-03-22,-8
2020-03-23,-3
2020-03-24,3
2020-03-25,-1
2020-03-26,4
2020-03-27,-1
2020-03-28,3
2020-03-29,-6
2020-03-30,-1
2020-03-31,1
2020-04-01,-9
2020-04-02,-5
2020-04-03,18
2020-04-04,8
2020-04-05,-1
2020-04-06,12
2020-04-07,-6
2020-04-08,-21
2020-04-09,-12
2020-04-10,-13
2020-04-11,-21
