date,SI,Administrative unit Maribor,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Metlika,Mozirje,Municipality of Hrastnik,Murska Sobota,Nova Gorica,Novo Mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2020-02-15,-3,-2,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,-5,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
2020-02-16,-3,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,-4,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-02-17,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,-4,-3,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,-5,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
2020-02-23,-3,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,NA,-4,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-02-24,1,1,0,0,2,0,0,-1,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,NA,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,4,5,0,0,4,0,0,3,0,0,2,0,0,0,0,3,0,3,2,0,0,0,0,0,2,0,0,NA,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
