date,total,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Lovec,Montana Province,Pazardzhik,Pernik,Sliven Province,Smoljan,Varna,Veliko Tarnovo Province
2020-02-29,9.030152703143859,15.413143802926333,8.523090771812695,8.066670964195346,16.9995820733807,22.26326374312677,4.047172288251587,17.897531810003667,15.000480943561682,7.2729599999999985,NA,4.84633959489334,11.064183327583168
2020-03-01,8.033466269160577,20.233389567806583,3.7781898452895493,8.344962150540525,12.724102557935046,30.491418705456823,5.206425627767605,17.213406732365165,16.49289343910345,4.943039999999999,NA,3.3407288708603287,16.128938842374406
2020-03-02,6.452814703627313,17.00398713891037,7.831774457135401,-1.505602486125105,21.963861510762367,18.377555132528983,2.9245610822643267,16.94307485432541,8.639134658577998,3.9062399999999995,NA,4.2121370552380375,14.870052091004727
2020-03-03,-2.0636065121664946,1.3207721517707909,-5.170253802265928,-10.178853900557568,-7.284551174417535,2.9516062626001918,0.08009386709383398,-0.5084581532805448,6.307797929661919,-9.411839999999998,NA,-3.083673381391278,10.397255698280592
2020-03-04,-0.1483587090964822,-0.40844687930483997,6.840541924085147,-1.5593740034867158,8.199671070703948,4.693103069119372,-0.4872106692651237,8.00455618657779,3.359663478335888,NA,NA,6.8323165617951584,6.237963972177521
2020-03-05,5.117586321758973,7.8740542082809215,3.03877375974112,1.1603327430663402,11.826694659641275,7.7223056361273565,1.9676501438274678,9.70657349813493,8.263304535115985,2.8223999999999996,NA,4.850309563842669,11.268642892770819
2020-03-06,4.898993968462561,-0.8522034187365003,6.556658962669232,4.367756585688744,12.511558582023364,3.3828059794991883,0.827204271078423,7.162330877017118,3.2961987609175005,6.74112,NA,6.125662088814601,8.609694928354273
2020-03-07,7.107013479377227,9.178603002696148,13.234038918897392,5.49978853014371,19.00005384666057,15.157799615456293,3.813700287006402,16.70494857908462,7.840867509799843,11.272319999999999,NA,12.461732531943637,11.617197770566909
2020-03-08,13.119486908133066,4.838377752512941,9.121036943034255,12.329714595022006,25.448205115870092,23.715984429444802,4.190498155682658,20.786276788334593,14.322201776152665,14.575679999999998,NA,16.333444749776717,20.527740344840154
2020-03-09,5.287251866736334,-1.8685490413057866,10.481034386096544,7.529899150532949,5.229959407271268,4.470136472909641,-1.7547690760254355,3.683149847371931,2.2539891045624185,10.93728,NA,11.443435496440756,5.909855050900196
2020-03-10,2.828285177669107,-0.18895439743541664,5.283429733727423,1.957471903953379,NA,1.4753120154494137,-0.8803840046953815,4.3204304118483146,7.885491139234646,1.176,NA,5.436872476106025,4.90410871357237
2020-03-11,8.73895927943853,9.389506648318505,10.378232915019021,NA,7.61419113705834,3.2855650410641073,1.0554880056292695,9.606052980307874,16.375880366363297,9.54336,NA,11.111943089171788,7.848326452274543
