date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,0,0,-1,-2,-1,-1,-1,0,-2,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1
2020-02-16,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,-1,-1,-1,0,-1,-1,0,-1,-2,-1,-2,0,0,-1,-1,-1,0,-1,-1,-1
2020-02-17,-2,-2,-2,-2,-4,-3,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-3,-4,-2,-2,-3,-3,-2
2020-02-18,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-1,-1,-2,-1,-2,-1,-1,-2,-3,-2,-2,-2,-2,-2
2020-02-19,-1,-1,-2,-2,-3,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-1,-2,1,-1,-1,-2,-1,-1,-1,-1,-2,-3,-1,-2,-2,-2,-2
2020-02-20,-1,-2,-2,-2,-2,-1,-2,0,-1,-2,-1,-1,-2,-1,-1,-2,-1,0,1,-1,-1,-2,-1,-2,-1,-1,-2,-3,0,-2,-2,-2,-2
2020-02-21,-1,-2,-3,-2,-3,-1,-1,1,-2,-2,-1,-1,-2,-1,-1,-2,-2,-2,0,-1,-2,-1,-2,-1,-2,-1,-2,-3,0,-3,-1,-2,-2
2020-02-22,0,-1,2,-1,-2,2,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,2,0,-1,1,-1,0
2020-02-23,-1,-1,0,-1,-1,1,1,0,1,0,0,1,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,-2,0,-1,0,0,0,-1,0,0
2020-02-24,-1,-2,-2,-2,3,-2,-2,-2,-2,-2,-3,0,-3,-2,-2,-2,-2,-2,-2,-1,-2,-1,2,-2,1,1,-2,-4,-2,-2,0,2,-2
2020-02-25,-1,-2,-2,-2,4,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,2,-2,2,-1,-2,-2,-2,-2,0,6,-1
2020-02-26,-1,-1,-2,-1,3,-1,-2,0,-2,-2,-1,-2,-1,-1,-1,-2,-2,-1,0,-1,0,-2,-1,-1,0,-1,-2,-3,0,-2,5,-1,-2
2020-02-27,-1,-2,-2,0,1,0,-2,0,-2,-2,-1,-1,-2,-1,-1,-2,-2,0,0,0,0,-1,1,-1,-1,-1,-2,7,0,0,-1,1,-1
2020-02-28,-2,-2,-3,-3,0,-2,-3,-2,-3,-3,-2,-2,-3,-2,-2,-2,-3,-2,-3,-1,-1,-2,-1,-2,-1,-2,-3,-2,-3,-2,-1,-2,-3
2020-02-29,-1,-2,-2,-1,1,0,-1,-2,0,-1,0,0,-1,-2,-1,0,0,0,-3,0,0,-2,0,-2,0,-1,-1,0,-1,-1,0,0,-1
2020-03-01,-1,-2,1,-1,1,0,0,-1,0,0,0,0,-2,-1,-1,-1,0,-1,-2,0,-1,-2,1,-2,0,-1,-1,-1,-1,0,0,1,-1
2020-03-02,-2,-2,0,-2,-3,-3,-2,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,-1,-5,-3,-2,-3,-3,-2
2020-03-03,-2,-1,-3,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,0,-1,-1,-2,0,1,-2,-3,-2,-2,-2,-1,-1
2020-03-04,-1,-1,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-1,-1,-1,-2,-2,-1,-1,-1,-1,-2,-1,-2,0,-1,-2,-3,-2,-2,-3,-2,-1
2020-03-05,-1,-2,-3,-1,-1,-1,-3,-1,-1,-2,-1,-1,-2,-1,-1,-2,-2,-1,-1,-1,0,-1,0,-2,0,-2,-2,-2,-2,-1,-1,-1,-1
2020-03-06,-1,-2,-3,-2,-1,-1,-2,-2,-2,-3,-1,-1,-2,-1,-1,-2,-2,-2,-3,-2,-1,-1,0,-1,0,-1,-2,-2,-3,-2,-2,-2,-1
2020-03-07,0,-1,-1,0,1,1,-2,-1,1,-1,0,1,0,-1,0,0,1,-1,-2,0,0,-1,0,-1,0,-1,0,1,-1,0,0,0,0
2020-03-08,0,-1,0,0,2,1,0,-1,1,0,0,1,0,0,-1,0,0,0,-1,1,0,-1,1,-1,1,2,0,1,-1,0,1,1,0
2020-03-09,7,6,4,5,5,3,5,6,5,6,5,4,5,7,10,4,6,6,7,3,8,8,6,6,7,5,7,2,3,6,3,7,5
2020-03-10,-2,-2,6,-2,-2,-2,-3,-2,-2,-3,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-1,-2,-1,-1,-2,-3,-2,-2,-2,-2,-1
