date,TT
2020-02-15,4
2020-02-16,9
2020-02-17,8
2020-02-18,5
2020-02-19,8
2020-02-20,8
2020-02-21,15
2020-02-22,12
2020-02-23,27
2020-02-24,-15
2020-02-25,-27
2020-02-26,10
2020-02-27,10
2020-02-28,12
2020-02-29,14
2020-03-01,15
2020-03-02,17
2020-03-03,15
2020-03-04,12
2020-03-05,4
2020-03-06,6
2020-03-07,6
2020-03-08,7
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,24
2020-03-13,26
2020-03-14,12
2020-03-15,-1
2020-03-16,22
2020-03-17,6
2020-03-18,8
2020-03-19,-4
2020-03-20,0
2020-03-21,-7
2020-03-22,-18
2020-03-23,-9
2020-03-24,-9
2020-03-25,-8
2020-03-26,7
2020-03-27,20
2020-03-28,10
2020-03-29,10
2020-03-30,-72
2020-03-31,-33
2020-04-01,-31
2020-04-02,-32
2020-04-03,-29
2020-04-04,-37
2020-04-05,-41
2020-04-06,-21
2020-04-07,-29
2020-04-08,-28
2020-04-09,-17
2020-04-10,-60
2020-04-11,-32
