date,HK
2020-02-15,-26
2020-02-16,-35
2020-02-17,-14
2020-02-18,-11
2020-02-19,-11
2020-02-20,-12
2020-02-21,-14
2020-02-22,-5
2020-02-23,-7
2020-02-24,-10
2020-02-25,-9
2020-02-26,-8
2020-02-27,-14
2020-02-28,-13
2020-02-29,-6
2020-03-01,-5
2020-03-02,-14
2020-03-03,-9
2020-03-04,-21
2020-03-05,-18
2020-03-06,-12
2020-03-07,-4
2020-03-08,-10
2020-03-09,-13
2020-03-10,-3
2020-03-11,-14
2020-03-12,-13
2020-03-13,-12
2020-03-14,-4
2020-03-15,1
2020-03-16,-1
2020-03-17,-7
2020-03-18,-25
2020-03-19,-23
2020-03-20,-20
2020-03-21,-20
2020-03-22,-11
2020-03-23,-10
2020-03-24,-12
2020-03-25,-12
2020-03-26,-21
2020-03-27,-16
2020-03-28,-38
2020-03-29,-43
2020-03-30,-39
2020-03-31,-38
2020-04-01,-24
2020-04-02,-23
2020-04-03,-25
2020-04-04,-25
2020-04-05,-52
2020-04-06,-43
2020-04-07,-18
2020-04-08,-13
2020-04-09,-7
2020-04-10,0
2020-04-11,-21
