date,GB,Aberdeen City,Aberdeenshire,Angus council,Antrim And Newtownabbey,Ards And North Down,Argyll and Bute Council,Bath and North East Somerset,Bedford,Belfast,Blackburn with Darwen,Blackpool,Blaenau Gwent,Borough of Halton,Bracknell Forest,Bridgend County Borough,Brighton and Hove,Buckinghamshire,Caerphilly County Borough,Cambridgeshire,Cardiff,Carmarthenshire,Causeway Coast and Glens,Central Bedfordshire,Ceredigion,Cheshire East,Cheshire West and Chester,City of Bristol,Clackmannanshire,Conwy Principal Area,Cornwall,County Durham,Cumbria,Darlington,Denbighshire,Derby,Derbyshire,Derry And Strabane,Devon,Dorset,Dumfries and Galloway,Dundee City Council,East Ayrshire Council,East Dunbartonshire Council,East Lothian Council,East Renfrewshire Council,East Riding of Yorkshire,East Sussex,Edinburgh,Essex,Falkirk,Fermanagh And Omagh,Fife,Flintshire,Glasgow City,Gloucestershire,Greater London,Greater Manchester,Gwynedd,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Highland Council,Inverclyde,Isle of Anglesey,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Lisburn and Castlereagh,Luton,Medway,Merseyside,Merthyr Tydfil County Borough,Mid And East Antrim,Mid Ulster,Middlesbrough,Midlothian,Milton Keynes,Monmouthshire,Moray,Na h-Eileanan an Iar,Neath Port Talbot Principle Area,Newport,Norfolk,North Ayrshire Council,North East Lincolnshire,North Lanarkshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Orkney,Oxfordshire,Pembrokeshire,Perth and Kinross,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redcar and Cleveland,Renfrewshire,Rhondda Cynon Taff,Rutland,Scottish Borders,Shetland Islands,Shropshire,Slough,Somerset,South Ayrshire Council,South Gloucestershire,South Lanarkshire,South Yorkshire,Southampton,Southend-on-Sea,Staffordshire,Stirling,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swansea,Swindon,Thurrock,Torbay,Torfaen Principal Area,Tyne and Wear,Vale of Glamorgan,Warrington,Warwickshire,West Berkshire,West Dunbartonshire Council,West Lothian,West Midlands,West Sussex,West Yorkshire,Wiltshire,Windsor and Maidenhead,Wokingham,Worcestershire,Wrexham Principal Area,York
2020-02-15,-35,-32,-25,-31,-51,-32,-21,-48,-50,-35,0,4,0,-51,-40,-25,-39,-25,-52,-32,-29,-49,-27,-43,-28,-53,-37,-48,0,-53,-38,-37,-27,-45,-47,-41,-43,-25,-46,-43,-21,-27,0,0,-27,0,-29,-30,-29,-27,-40,-28,-27,-36,-31,-49,-34,-35,-37,-40,-20,-38,-34,0,0,-35,-21,-39,-29,-29,-28,-43,-25,-67,-50,-31,-33,0,-35,0,-35,-35,-34,-50,0,0,-55,-52,-23,-33,-40,0,-35,-53,-36,-27,-23,-34,-40,0,-46,-37,-39,-37,-44,-37,-39,-47,-47,-36,-50,0,-22,0,-43,-22,-35,-25,-47,-32,-41,-40,-40,-46,-42,-37,-36,-32,-46,-54,-50,0,-51,0,-27,-43,-50,-44,-32,0,-38,-32,-39,-39,-46,-44,-49,-48,-44,-27
2020-02-16,-28,-13,-6,-22,-33,-10,20,-26,-54,-21,0,42,0,-12,-56,16,-49,-40,-48,-38,-15,-21,8,-49,2,-39,-22,-34,0,-22,-4,-15,16,0,-24,-52,-29,-28,-24,-41,19,-26,0,0,-3,0,-28,-46,7,-45,-12,-39,-11,-25,-1,-40,-41,-8,25,-43,0,-19,-27,7,0,7,-31,-50,-26,2,-22,-44,-26,-49,-35,-61,-17,0,-15,0,-20,-25,-29,-15,6,NA,-31,-37,-28,-4,-33,0,-31,-37,2,-28,-4,-42,-43,NA,-41,0,-8,-40,-31,-50,-7,-37,-18,-4,-22,0,6,NA,-34,-34,-27,-8,-41,-2,-34,-42,-66,-42,-13,-9,-33,-47,-44,-27,-53,-22,-26,0,-11,-36,-26,-38,-32,0,0,-30,-46,-31,-38,-49,-52,-33,-34,-8
2020-02-17,24,24,28,10,0,3,29,32,0,-1,0,0,0,0,0,0,20,10,0,22,4,38,0,3,55,21,30,11,0,43,62,21,46,0,40,13,38,2,44,58,34,-4,0,0,0,0,26,21,25,23,0,0,4,0,2,20,28,7,79,26,0,23,26,36,0,0,71,20,-7,31,11,16,30,0,0,17,28,0,0,0,0,0,40,22,14,0,0,0,59,0,39,0,-1,26,41,17,53,41,19,0,22,68,17,0,25,10,24,0,0,0,11,0,15,0,27,12,36,0,14,9,12,14,33,22,15,22,20,36,24,68,0,0,72,0,18,30,0,19,19,0,0,8,29,6,25,44,0,37,0,54
2020-02-18,20,26,23,0,0,17,41,38,0,7,0,0,0,0,0,0,30,5,-12,15,8,10,0,3,48,22,24,12,0,37,71,9,46,0,30,-12,43,8,47,40,18,-7,0,0,0,0,38,38,19,15,0,0,-1,0,9,12,11,4,76,23,0,24,22,35,0,0,65,26,6,29,5,17,31,0,0,26,17,0,0,0,0,0,21,18,0,0,-2,0,56,0,50,0,3,29,49,11,49,23,14,0,15,50,-10,0,3,16,16,16,0,0,16,0,20,0,36,-9,42,0,10,-3,19,8,39,22,21,5,18,41,11,24,0,0,71,0,18,11,0,11,10,0,-11,-5,22,-5,21,27,0,8,0,52
2020-02-19,8,9,13,6,0,-26,27,32,-2,-21,0,0,0,-27,0,0,13,-2,-22,10,-12,-17,0,-4,30,-7,3,-16,0,32,46,16,24,0,22,-25,5,-9,25,14,7,2,0,0,0,0,38,28,24,10,0,0,-2,-14,3,11,3,-13,26,8,0,4,6,46,0,10,37,16,-5,2,-7,-1,22,-55,0,12,-6,0,-22,0,0,0,14,12,9,0,-31,-11,57,0,34,0,0,6,44,3,46,5,1,0,0,27,1,0,3,-9,10,-6,0,-11,-20,0,13,0,16,-16,26,-6,-7,-10,-1,0,6,-1,17,17,-16,41,7,-16,0,0,26,0,18,-3,-13,5,13,0,0,-10,16,-9,6,12,-13,2,4,36
2020-02-20,4,-1,10,16,0,10,21,17,-17,3,0,0,0,0,0,0,12,-3,0,-5,-1,12,0,-16,41,-16,-6,3,0,8,56,7,32,0,0,-16,0,-9,31,25,22,4,0,0,0,0,17,13,21,0,-5,0,0,-7,7,6,-4,-12,59,4,0,5,-4,29,0,48,41,-3,-22,14,-12,-8,11,0,0,-14,-1,0,0,0,-28,0,15,6,5,0,16,-11,28,-16,3,0,-7,17,27,4,34,-3,-9,0,1,50,3,0,15,-15,8,-8,0,-2,6,0,-1,0,4,-7,22,-2,0,-3,-13,-1,-8,-5,7,4,-11,9,-9,36,0,0,46,0,-4,35,-18,1,-2,0,0,-10,6,-19,3,10,-19,2,-2,38
2020-02-21,10,-10,1,2,0,-3,-1,37,9,-16,0,0,0,0,0,0,23,8,-15,15,14,7,15,1,25,-7,3,12,0,-11,47,-1,0,0,1,-7,4,-6,46,47,-3,-14,0,0,-4,0,20,29,-9,22,-4,0,-20,-8,-14,17,10,-13,28,22,0,9,23,11,0,10,48,26,-11,-3,7,6,20,0,0,43,-5,0,-19,0,-14,0,22,8,-2,0,5,4,42,-26,19,0,-9,23,17,11,13,7,4,0,19,34,-14,0,19,17,14,7,9,-24,-4,0,-10,0,14,7,45,-15,18,-16,-4,15,26,11,-19,0,3,36,20,13,0,4,57,0,5,15,-24,19,15,0,-16,-1,17,-25,28,28,-8,8,0,25
2020-02-22,-7,0,-1,-13,-44,-20,-20,-4,-3,-23,0,35,0,-17,-7,-5,-10,-2,-15,6,43,-6,4,-6,0,-18,-7,-8,0,-13,7,-26,-3,-30,-21,-23,-12,-13,3,11,4,-20,0,0,-33,-62,-3,-10,-29,-4,-29,-11,-31,-25,-24,2,-7,-17,0,-2,0,-8,-8,-4,0,-1,8,-8,-4,0,1,-12,2,-57,-4,12,-13,0,-23,0,-29,-48,3,-8,-8,0,-4,-17,7,-21,4,0,-15,-14,-11,-3,-17,66,-8,0,-1,11,-33,0,13,-11,-12,-7,-29,-22,-22,0,-27,0,-9,20,8,-28,-6,-22,-16,5,-7,-13,-35,-25,-1,-1,-13,-17,-17,13,2,0,-21,-16,-24,-2,-1,0,-29,-5,-13,-18,0,-8,-17,-8,-11,1
2020-02-23,-5,4,15,33,7,5,20,-2,-20,6,0,36,0,2,-24,30,18,0,-24,-7,11,-4,-5,-16,14,-22,-15,6,0,-10,-9,-10,11,-28,-17,-25,-2,-2,-2,-6,13,9,0,0,1,-59,-6,-22,15,-15,14,-6,21,-17,3,-6,-9,0,22,-9,0,-4,-8,13,0,14,-6,-19,-15,6,2,-16,-2,-34,-15,-4,-10,0,7,0,-6,-9,-11,-9,5,NA,3,-2,-10,-4,-2,0,-1,-6,4,-5,-1,8,-14,NA,-9,3,21,-14,-7,-12,-4,-3,-24,10,-10,0,2,NA,-5,-9,-4,8,-13,6,-5,-7,-22,-10,10,-14,-5,-15,-18,-6,-13,-12,-5,0,-12,-6,-7,-13,-2,0,0,3,-12,-11,-7,-15,-17,-11,-2,-10
2020-02-24,-9,-33,-13,-22,0,-13,8,-14,0,-17,0,0,0,0,0,0,-18,-7,0,-11,-12,-11,0,-20,0,-14,-7,-15,0,-17,3,-3,-12,0,-11,-15,-7,-6,-2,-2,-2,-29,0,0,0,0,-11,-17,-12,-6,0,0,-24,0,-3,-6,-1,-10,10,-8,0,-5,-2,6,0,-2,-8,-11,-16,-5,-12,-9,-6,0,0,-10,0,0,0,0,0,0,4,-6,-4,0,-7,-9,-9,0,-12,0,-20,-21,-10,-6,-19,-9,-15,0,-9,1,-9,0,-2,-14,-1,-13,0,0,-6,0,-17,0,2,-12,-4,0,-16,-3,-16,-12,-16,-10,-8,-20,-11,-16,-8,-6,0,0,-4,0,-19,-18,0,-16,-4,0,0,-9,-13,-17,-7,-10,0,-12,0,-10
