date,YE
2020-02-15,4
2020-02-16,6
2020-02-17,5
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,-1
2020-02-22,5
2020-02-23,2
2020-02-24,6
2020-02-25,8
2020-02-26,6
2020-02-27,10
2020-02-28,5
2020-02-29,9
2020-03-01,2
2020-03-02,6
2020-03-03,5
2020-03-04,4
2020-03-05,10
2020-03-06,7
2020-03-07,7
2020-03-08,6
2020-03-09,6
2020-03-10,4
2020-03-11,5
2020-03-12,2
2020-03-13,-1
2020-03-14,0
2020-03-15,-1
2020-03-16,-1
2020-03-17,-4
2020-03-18,-9
2020-03-19,-4
2020-03-20,-3
2020-03-21,-5
2020-03-22,-6
2020-03-23,-10
2020-03-24,-11
2020-03-25,-24
2020-03-26,-19
2020-03-27,-16
2020-03-28,-10
2020-03-29,-9
2020-03-30,-13
2020-03-31,-14
2020-04-01,-16
2020-04-02,-20
2020-04-03,-15
2020-04-04,-12
2020-04-05,-12
2020-04-06,-16
2020-04-07,-14
2020-04-08,-17
2020-04-09,-10
2020-04-10,-18
2020-04-11,-12
