date,PG
2020-02-15,7
2020-02-16,12
2020-02-17,4
2020-02-18,4
2020-02-19,-4
2020-02-20,-4
2020-02-21,6
2020-02-22,5
2020-02-23,9
2020-02-24,0
2020-02-25,5
2020-02-26,8
2020-02-27,6
2020-02-28,11
2020-02-29,14
2020-03-01,19
2020-03-02,3
2020-03-03,7
2020-03-04,3
2020-03-05,1
2020-03-06,5
2020-03-07,9
2020-03-08,14
2020-03-09,0
2020-03-10,7
2020-03-11,13
2020-03-12,12
2020-03-13,13
2020-03-14,20
2020-03-15,14
2020-03-16,7
2020-03-17,12
2020-03-18,7
2020-03-19,2
2020-03-20,5
2020-03-21,9
2020-03-22,13
2020-03-23,26
2020-03-24,-11
2020-03-25,-14
2020-03-26,-13
2020-03-27,-14
2020-03-28,-21
2020-03-29,-9
2020-03-30,-18
2020-03-31,-11
2020-04-01,-16
2020-04-02,-19
2020-04-03,-9
2020-04-04,-8
2020-04-05,-6
2020-04-06,-3
2020-04-07,2
2020-04-08,-1
2020-04-09,11
2020-04-10,-18
2020-04-11,-9
