date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,-3,6,0,-4,-35,-24,-7,-31,0,-27,-2,4,21,0,-24,17,-15,-6,7,-1,-4,-2,7,-28,-7
2020-02-16,-14,-15,-15,-13,-12,-13,-25,-22,-31,-27,-9,-1,1,-2,-40,29,-14,-14,0,-12,0,-29,2,7,4
2020-02-17,-23,-27,-32,-7,2,-28,-26,-10,-25,4,1,-14,-9,-1,-7,-16,-17,-5,1,-20,4,-24,-4,-20,-3
2020-02-18,-2,23,-6,-4,-21,-4,-6,-27,-8,-21,-14,-2,9,-1,-25,4,1,-19,9,-2,4,4,0,-8,-10
2020-02-19,10,29,10,2,15,-9,-6,10,4,-12,1,-4,12,-1,-1,-4,-8,8,4,-5,7,22,3,-6,10
2020-02-20,-8,-2,-14,-2,4,-11,-10,-1,-5,2,-4,-7,3,-4,-2,-6,-11,-11,3,-13,56,0,0,12,-4
2020-02-21,-9,-2,-18,-7,-3,-13,-6,-10,-4,-5,5,-16,-7,-2,-3,-13,-10,-3,3,-14,73,-4,-2,20,-4
2020-02-22,4,3,0,-6,-7,3,8,-2,25,-8,49,-6,-3,4,3,1,2,-4,9,2,66,4,9,22,-3
2020-02-23,18,17,15,-6,-1,4,17,12,56,-8,73,8,0,13,13,-3,16,-7,9,18,0,18,26,-17,22
2020-02-24,26,18,34,2,-6,-15,32,30,127,3,84,10,-5,17,7,-14,3,3,1,15,-29,33,3,-4,22
2020-02-25,1,5,7,-15,-17,8,-10,-9,42,-38,12,-6,-18,-5,-40,5,-3,-15,-17,-6,-26,6,-8,-8,-14
