date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,4,6,3,5,-1,13,4,6,5,10,7,4,6,-1,5,1,3,0,3,1,4
2020-02-16,-3,-8,3,8,-2,13,7,-3,11,12,5,1,-4,-3,9,-6,-1,-2,-12,0,2
2020-02-17,0,-3,1,-2,1,5,7,2,1,7,-2,2,0,-1,-1,-1,1,-1,2,2,1
2020-02-18,2,1,1,4,-1,5,6,5,3,8,3,3,0,-1,2,1,2,2,1,3,3
2020-02-19,4,3,-3,6,-2,6,8,5,4,7,0,4,3,-2,3,2,4,3,2,4,1
2020-02-20,6,5,5,6,4,4,6,6,5,9,6,5,6,-2,7,5,6,3,5,4,3
2020-02-21,4,8,8,11,3,5,11,5,8,12,13,6,0,-3,12,0,8,6,4,2,4
2020-02-22,4,10,8,21,-2,53,11,6,11,19,22,5,-2,2,17,1,7,4,7,8,10
2020-02-23,8,9,13,31,6,87,25,9,24,32,49,13,0,-5,29,7,12,9,16,20,19
2020-02-24,18,28,25,26,29,48,35,20,28,31,43,26,8,5,29,18,21,22,27,28,25
2020-02-25,-2,0,-7,5,-5,19,6,-1,7,16,1,-4,-7,-6,10,-9,-3,13,-2,-2,-2
2020-02-26,0,-2,-3,2,-3,1,5,2,3,7,-2,-1,-3,-5,-2,-2,-2,0,0,0,-1
2020-02-27,4,1,-2,4,0,2,2,4,0,8,2,2,6,-4,2,5,1,3,0,1,0
2020-02-28,2,2,-2,10,3,-1,5,1,3,17,1,-1,1,-2,8,-2,2,4,1,-3,0
2020-02-29,0,-1,0,13,-5,6,3,-2,0,12,-1,-2,0,-3,4,-1,-1,-2,-5,-5,-3
2020-03-01,-8,-17,4,18,-9,6,-6,-12,-2,12,-5,-9,-8,-4,5,-11,-6,-7,-12,-7,-10
2020-03-02,3,-1,2,7,-1,5,3,3,4,11,-3,2,5,-3,4,-1,2,3,0,-1,1
2020-03-03,-1,-2,1,2,-6,2,3,0,-1,10,-3,1,-2,-1,0,-5,1,1,-5,-1,-3
2020-03-04,2,0,1,6,-5,2,6,3,3,9,-3,3,1,0,3,-2,3,4,-2,-2,-2
2020-03-05,3,3,2,2,1,-2,4,4,1,9,1,5,2,1,2,2,3,2,1,0,0
2020-03-06,0,3,-1,2,4,-2,4,0,0,10,-2,1,-3,-1,6,-3,2,1,4,-4,-2
2020-03-07,3,6,1,8,2,11,5,5,6,11,10,4,-2,0,12,4,6,4,6,1,6
2020-03-08,-1,-8,6,10,-8,25,5,0,16,16,12,2,0,-1,16,-10,9,7,-7,0,3
2020-03-09,0,-2,3,3,-1,3,5,3,1,8,-2,1,-1,-2,3,-2,2,2,1,0,2
2020-03-10,0,0,4,5,-4,4,6,2,4,8,2,2,-2,-1,2,-4,1,4,1,1,1
2020-03-11,-1,-2,0,4,-9,3,6,-1,0,4,-3,0,-3,-3,0,-6,1,2,-2,-2,0
2020-03-12,-9,-8,-3,-2,-9,-4,1,-11,-4,-2,-3,-5,-13,-7,-5,-13,-5,-7,-7,-8,-7
2020-03-13,-27,-26,-12,-17,-25,-19,-18,-29,-20,-14,-18,-23,-33,-17,-21,-33,-22,-24,-20,-24,-21
2020-03-14,-47,-49,-32,-37,-50,-40,-40,-49,-44,-35,-43,-47,-52,-35,-45,-52,-44,-47,-46,-48,-43
2020-03-15,-62,-68,-46,-50,-67,-59,-55,-65,-56,-48,-59,-63,-64,-49,-57,-68,-58,-60,-69,-63,-59
