date,AW
2020-02-15,26
2020-02-16,1
2020-02-17,-4
2020-02-18,2
2020-02-19,4
2020-02-20,29
2020-02-21,1
2020-02-22,13
2020-02-23,16
2020-02-24,-18
2020-02-25,13
2020-02-26,0
2020-02-27,5
2020-02-28,5
2020-02-29,2
2020-03-01,3
2020-03-02,5
2020-03-03,10
2020-03-04,5
2020-03-05,4
2020-03-06,6
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,-1
2020-03-11,1
2020-03-12,1
2020-03-13,-5
2020-03-14,-19
2020-03-15,-18
2020-03-16,-18
2020-03-17,-27
2020-03-18,-49
2020-03-19,-40
2020-03-20,-45
2020-03-21,-54
2020-03-22,-62
2020-03-23,-60
2020-03-24,-57
2020-03-25,-60
2020-03-26,-61
2020-03-27,-55
2020-03-28,-60
2020-03-29,-88
2020-03-30,-77
2020-03-31,-73
2020-04-01,-71
2020-04-02,-72
2020-04-03,-72
2020-04-04,-78
2020-04-05,-77
2020-04-06,-72
2020-04-07,-70
2020-04-08,-68
2020-04-09,-66
2020-04-10,-92
2020-04-11,-76
