date,IL
2020-02-15,14
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,-2
2020-02-20,0
2020-02-21,6
2020-02-22,-3
2020-02-23,0
2020-02-24,-2
2020-02-25,-2
2020-02-26,2
2020-02-27,3
2020-02-28,11
2020-02-29,0
2020-03-01,3
2020-03-02,-5
2020-03-03,1
2020-03-04,4
2020-03-05,0
2020-03-06,-5
2020-03-07,3
2020-03-08,1
2020-03-09,-6
2020-03-10,-8
2020-03-11,-8
2020-03-12,-14
2020-03-13,-25
2020-03-14,-18
2020-03-15,-29
2020-03-16,-31
2020-03-17,-44
2020-03-18,-50
2020-03-19,-54
2020-03-20,-59
2020-03-21,-53
2020-03-22,-55
2020-03-23,-52
2020-03-24,-53
2020-03-25,-55
2020-03-26,-64
2020-03-27,-63
2020-03-28,-65
2020-03-29,-61
2020-03-30,-61
2020-03-31,-60
2020-04-01,-61
2020-04-02,-59
2020-04-03,-55
2020-04-04,-58
2020-04-05,-57
2020-04-06,-52
2020-04-07,-49
2020-04-08,-73
2020-04-09,-84
2020-04-10,-64
2020-04-11,-59
