date,DK,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region of Southern Denmark,Region Zealand
2020-02-15,-1,-3,-2,3,-2,0
2020-02-16,-7,-7,-6,-8,-7,-7
2020-02-17,-1,-1,-2,-2,0,-2
2020-02-18,1,2,1,-1,0,0
2020-02-19,0,-2,1,1,0,-1
2020-02-20,-1,-2,0,-2,-1,-2
2020-02-21,1,1,1,-3,0,0
2020-02-22,-3,-5,0,-3,-3,-3
2020-02-23,-2,-1,0,0,-2,-2
2020-02-24,-1,-1,0,1,-2,-1
2020-02-25,-3,-2,-3,-1,-4,-2
2020-02-26,-2,-2,-2,-2,-3,-1
2020-02-27,1,2,1,0,1,2
2020-02-28,1,-2,-1,4,1,4
2020-02-29,-4,-7,-3,-2,-2,-1
2020-03-01,-7,-9,-8,-5,-6,-4
2020-03-02,-5,-7,-7,0,-5,-4
2020-03-03,-5,-6,-7,-3,-5,-2
2020-03-04,-5,-7,-6,-2,-5,-4
2020-03-05,-3,-5,-5,1,-3,-1
2020-03-06,-3,-5,-5,0,-5,-2
2020-03-07,-2,-4,-2,1,-2,1
2020-03-08,-8,-8,-10,-6,-8,-4
2020-03-09,-5,-9,-7,-1,-5,-4
2020-03-10,-4,-4,-5,0,-5,-3
2020-03-11,5,7,3,6,3,6
2020-03-12,22,22,21,29,22,23
2020-03-13,-7,-8,-10,-5,-8,-6
2020-03-14,-9,-10,-11,-4,-9,-6
2020-03-15,-24,-25,-27,-19,-24,-19
2020-03-16,-14,-16,-16,-8,-14,-11
2020-03-17,-4,-3,-8,-2,-6,-1
2020-03-18,-21,-24,-21,-15,-20,-19
2020-03-19,-20,-21,-22,-16,-21,-18
2020-03-20,-22,-23,-25,-19,-23,-21
2020-03-21,-21,-23,-23,-16,-20,-17
2020-03-22,-25,-27,-27,-19,-25,-22
2020-03-23,-20,-22,-21,-16,-20,-19
2020-03-24,-18,-20,-21,-16,-17,-16
2020-03-25,-18,-20,-19,-15,-18,-16
2020-03-26,-17,-19,-19,-12,-16,-14
2020-03-27,-18,-19,-20,-14,-18,-16
2020-03-28,-14,-18,-15,-10,-12,-10
2020-03-29,-22,-24,-23,-16,-22,-17
2020-03-30,-18,-21,-20,-13,-18,-16
2020-03-31,-4,-9,-6,1,-1,0
2020-04-01,-12,-17,-13,-6,-10,-10
2020-04-02,-13,-17,-14,-10,-12,-10
2020-04-03,-10,-12,-12,-7,-10,-9
2020-04-04,-8,-11,-9,-5,-8,-5
2020-04-05,-12,-14,-12,-6,-11,-8
2020-04-06,-5,-10,-6,2,-4,-3
2020-04-07,4,-2,4,11,5,7
2020-04-08,11,3,12,19,12,16
2020-04-09,-16,-23,-16,-8,-13,-14
2020-04-10,-36,-41,-39,-28,-35,-34
2020-04-11,4,1,3,5,7,9
