date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-15,9,-7,9,3,0,5,0,14,11,-32,11,-1,11,6,4,5,3,3,10,6,0,0,3,0,-4,21,-1,10
2020-02-16,4,-4,7,0,2,3,0,6,6,-40,7,-8,12,6,-2,3,6,6,1,8,0,0,-4,0,-6,5,0,5
2020-02-17,6,-5,5,1,0,-3,0,9,6,-41,1,-9,8,-4,0,5,4,14,-1,0,0,0,-7,0,-3,16,6,0
2020-02-18,2,-5,2,1,0,-2,0,5,6,-45,2,1,5,-1,-1,-1,9,8,-4,0,0,0,-9,0,-1,9,6,-5
2020-02-19,0,-6,1,-10,0,-4,0,9,-1,-50,0,-1,-12,-7,-12,-10,-9,4,-2,0,0,0,-18,0,-2,1,-4,-18
2020-02-20,-5,-10,-7,-7,0,-2,0,-3,2,-46,-6,-7,-3,-3,-2,-7,-10,-1,-4,-6,0,0,-13,0,3,-4,8,-22
2020-02-21,15,0,13,6,0,10,0,22,11,-19,0,2,17,7,13,15,-3,14,8,0,0,0,7,0,7,4,4,12
2020-02-22,5,-10,5,-5,0,8,0,10,3,-31,3,-11,-2,4,-1,1,12,4,2,2,0,0,-2,0,-5,12,-8,6
2020-02-23,-1,-1,-2,-2,2,-3,0,2,-1,-25,-12,-15,1,-3,-8,0,10,6,2,4,0,0,-9,0,-5,3,-8,-3
2020-02-24,-2,-15,-2,-8,0,-5,0,3,-6,-34,-4,-29,-12,-9,-6,5,13,7,-15,-24,0,0,-12,0,-3,3,0,-9
2020-02-25,-9,-13,-4,-5,0,-5,0,-16,-4,-39,-5,-6,-5,-16,-7,-6,4,5,-14,0,0,0,-16,0,-7,12,7,-14
2020-02-26,4,15,6,3,0,-5,0,5,6,-33,8,-1,1,-1,-4,4,-5,10,6,0,0,0,-5,0,0,-1,16,-12
2020-02-27,1,-4,-1,0,0,-5,0,4,3,-6,0,-3,0,2,1,1,-1,5,4,11,0,0,-12,0,7,1,17,-20
2020-02-28,23,6,27,15,0,8,0,27,15,57,11,12,32,8,29,39,-4,18,18,0,0,0,27,0,5,2,6,23
