date,LT,Alytus County,Kaunas County,Klaipėda County,Marijampolė County,Panevėžys County,Šiauliai County,Tauragė County,Telšiai County,Utena County,Vilnius County
2020-02-15,2,10,2,16,2,0,-2,4,-1,5,0
2020-02-16,9,14,11,15,11,15,3,14,15,6,6
2020-02-17,2,9,3,2,3,2,-2,6,-3,3,2
2020-02-18,3,9,1,3,6,3,-1,7,0,3,4
2020-02-19,3,9,4,-1,1,1,0,2,-4,7,4
2020-02-20,2,10,4,5,1,0,4,4,2,-1,2
2020-02-21,-3,5,-3,-3,0,-2,-6,0,-7,-3,-2
2020-02-22,-6,5,-4,-12,-1,-1,-2,0,-7,-5,-5
2020-02-23,0,7,0,2,7,11,3,4,1,-2,-3
2020-02-24,3,3,2,2,3,1,2,3,0,-2,4
2020-02-25,-2,-2,-4,0,2,-6,-3,2,-4,-6,-1
2020-02-26,2,0,6,-2,1,-2,1,2,-3,-2,2
2020-02-27,-2,5,-1,0,1,-6,-2,3,-3,-5,1
2020-02-28,-4,2,0,-1,-3,-5,-8,5,-1,-3,-6
2020-02-29,-8,0,-6,-2,-1,-5,-13,8,1,1,-10
2020-03-01,-4,3,-9,9,-2,-2,-7,13,7,-8,-7
2020-03-02,-2,-1,-3,-2,-1,-4,-5,-2,-3,0,-1
2020-03-03,1,-1,5,0,-1,-5,-7,2,-2,-5,1
2020-03-04,-2,3,-2,-2,0,-4,-5,4,-6,0,-1
2020-03-05,-1,2,1,3,3,-4,-2,4,1,2,0
2020-03-06,1,6,0,1,0,-2,-4,6,0,0,3
2020-03-07,1,4,6,3,6,-1,-5,10,4,7,1
2020-03-08,13,23,6,29,12,12,12,30,34,21,8
2020-03-09,0,2,1,3,0,-2,-1,5,0,0,-1
2020-03-10,14,18,12,16,19,16,12,27,16,13,15
2020-03-11,-14,-11,-13,-10,-32,-19,-25,-23,-28,-17,-10
2020-03-12,-5,3,-6,0,0,-3,-3,7,3,5,-8
2020-03-13,-16,-3,-17,-15,-7,-11,-16,-4,-12,-6,-19
2020-03-14,-28,-17,-30,-26,-12,-20,-23,1,-18,-12,-35
2020-03-15,-13,1,-19,-12,8,-2,-8,22,8,13,-19
2020-03-16,-46,-41,-49,-46,-38,-44,-45,-32,-41,-32,-49
2020-03-17,-50,-45,-54,-49,-45,-50,-50,-36,-49,-39,-52
2020-03-18,-54,-46,-56,-55,-46,-54,-55,-42,-55,-44,-56
2020-03-19,-55,-50,-57,-50,-50,-54,-53,-39,-50,-42,-58
2020-03-20,-62,-59,-63,-62,-58,-60,-60,-49,-62,-51,-65
2020-03-21,-69,-68,-69,-67,-62,-66,-66,-53,-65,-60,-72
2020-03-22,-68,-65,-69,-66,-58,-65,-66,-47,-59,-57,-72
2020-03-23,-62,-61,-62,-61,-61,-60,-59,-48,-59,-51,-65
2020-03-24,-63,-61,-64,-61,-60,-63,-61,-50,-60,-52,-66
2020-03-25,-64,-62,-65,-64,-63,-64,-62,-55,-64,-54,-67
2020-03-26,-64,-63,-64,-62,-62,-64,-62,-52,-63,-52,-67
2020-03-27,-64,-64,-64,-63,-63,-63,-63,-53,-61,-55,-67
2020-03-28,-67,-68,-68,-65,-61,-67,-67,-52,-64,-58,-70
2020-03-29,-72,-71,-74,-73,-64,-70,-73,-60,-67,-63,-74
2020-03-30,-64,-64,-64,-64,-61,-61,-62,-52,-63,-53,-67
2020-03-31,-63,-63,-64,-62,-60,-60,-62,-52,-62,-54,-66
2020-04-01,-66,-67,-66,-66,-63,-65,-65,-56,-66,-59,-69
2020-04-02,-66,-65,-65,-65,-64,-65,-64,-54,-64,-55,-68
2020-04-03,-65,-63,-64,-64,-63,-62,-64,-55,-63,-57,-67
2020-04-04,-67,-68,-67,-66,-58,-66,-66,-51,-65,-59,-70
2020-04-05,-63,-62,-65,-59,-47,-61,-63,-42,-54,-51,-67
2020-04-06,-58,-57,-59,-57,-56,-56,-58,-47,-58,-48,-61
2020-04-07,-56,-55,-57,-54,-54,-54,-56,-41,-53,-43,-59
2020-04-08,-56,-53,-56,-56,-53,-53,-54,-39,-55,-42,-60
2020-04-09,-53,-47,-53,-51,-49,-48,-50,-31,-45,-37,-58
2020-04-10,-56,-53,-56,-55,-53,-50,-54,-34,-50,-44,-61
2020-04-11,-69,-71,-70,-68,-67,-68,-69,-56,-67,-65,-70
