date,LI
2020-02-15,0
2020-02-16,0
2020-02-17,-4
2020-02-18,2
2020-02-19,3
2020-02-20,-5
2020-02-21,-6
2020-02-22,0
2020-02-23,0
2020-02-24,-26
2020-02-25,-38
2020-02-26,-13
2020-02-27,-11
2020-02-28,-13
2020-02-29,0
2020-03-01,0
2020-03-02,-3
2020-03-03,1
2020-03-04,0
2020-03-05,-4
2020-03-06,-2
2020-03-07,0
2020-03-08,0
2020-03-09,-4
2020-03-10,-2
2020-03-11,1
2020-03-12,-2
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,-19
2020-03-17,-25
2020-03-18,-28
2020-03-19,-70
2020-03-20,-45
2020-03-21,0
2020-03-22,0
2020-03-23,-35
2020-03-24,-35
2020-03-25,-35
2020-03-26,-37
2020-03-27,-37
2020-03-28,0
2020-03-29,0
2020-03-30,-37
2020-03-31,-35
2020-04-01,-36
2020-04-02,-36
2020-04-03,-37
2020-04-04,0
2020-04-05,0
2020-04-06,-37
2020-04-07,-37
2020-04-08,-36
2020-04-09,-37
2020-04-10,-79
2020-04-11,0
