date,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-29,-2.3017539682749018,-2.231341307268623,-1.4934628938424006,-3.8222939645983667,-0.27959743177414775,-1.3431373123738637,-1.36042397730214,-1.8396285139734077,-2.460590027584559,-2.339330504085804
2020-03-01,-1.2028780807937491,-2.4441739493817893,-0.7395375023458516,-0.43780004196284705,-1.121292122582136,-1.0899704232789338,-0.7420494421648037,-0.7155176597623369,-3.1680806937145305,-2.305248797025064
2020-03-02,0.5595156756507117,-0.13702923533313408,0.1525116249973935,1.7714955340350962,-0.5117890706177307,0.8541966792363277,0.5919402038642899,0.9946270954068945,-1.2028288433534988,-0.7043552792552967
2020-03-03,-0.5280731520910896,-0.5646381966563894,-0.6436182413412016,-0.6919753422635727,-0.5359756996639373,0.717950376326461,0.32948505765332886,-0.3731050531468486,-0.850504174276726,-0.48282418336048566
2020-03-04,-0.06610992133048756,0.7949639326418702,0.567842025147528,-0.05605386850738439,0.508886675132186,1.992481394327271,1.017721754012288,1.162476412375271,-0.26424350180757966,-0.4317016227693754
2020-03-05,0.024992775137135537,1.2157700241258917,0.45369810455199455,-0.1604300374521691,-0.24573615110945862,1.3528001707362656,0.5815552880070217,0.45942755901629945,-0.26613772045853007,0.027454708465596243
2020-03-06,-1.4737675145381859,-0.9368523607173139,-0.36257480659757707,-1.6574549050028315,-0.4740579293056485,-0.06377486519185252,-1.3396541455876037,-0.9255690907113339,-1.86106982455876,-2.2247780997983164
2020-03-07,-0.270083215191626,-0.28474869469934955,-1.0656629897616616,-1.8565427828049208,1.4879614189226273,0.32467204097670377,-0.44560729860278286,-1.2181064717133618,-0.5152274730585066,0.7280231313808108
2020-03-08,1.8534964529120839,0.8756265321642115,0.667598056592364,2.135845679333095,2.1148788438003012,3.097912390986048,2.4933238890041305,2.4640279730957686,0.6639236371581123,1.3765222796198944
2020-03-09,0.8416921691345001,1.6501818552883807,0.9937235440081742,0.8833316519956781,0.7565577565653411,1.033925844777003,0.541903791097452,1.0962958245420256,0.55595317405394,0.5330000298665752
2020-03-10,-0.9207015873099607,-0.2303257359854807,-0.1352461580165565,-1.0505268115090833,-0.41117269378551147,0.33336861350286545,-0.7231677769697705,-1.1030097972207606,-0.541746534171812,-1.5289432473082045
2020-03-11,-1.875264353837976,-0.9903034808827208,0.023020622641116005,-1.3385277221159892,-1.3592885523968086,-0.6831640862218141,-1.2386372367941763,-1.0569711274237203,-1.5314757792933917,-3.136463763673116
2020-03-12,-2.242093795366901,-1.3965319941398135,-0.5524949433867841,-1.9667176278021938,-2.3451355523201878,-1.9084145265743748,-1.6342081226301213,-1.864566126780138,-3.5365062213243816,-3.0872346312520467
2020-03-13,-3.6739379451589245,-4.046735715795534,-2.8411285109577338,-2.6983172564244344,-3.169415870214907,-4.334758261373491,-3.90472836233286,-4.600989562841729,-4.970429740093828,-5.231542033823615
2020-03-14,-0.5974079476328205,-1.0622195334689046,-1.974977584085744,-1.7705290880263482,0.3376453414850435,-0.6870292295667748,-0.3691365545628985,-1.6794523086378712,-2.252225975980016,0.49797160872081464
2020-03-15,2.195333119303873,1.7182105536807168,1.2344808891298455,2.6702903221707426,1.9271906024017385,2.413782018927994,2.453672392094561,2.2204066787530965,0.4697662254356972,1.8356786108548662
2020-03-16,3.511081797491138,3.717282447866936,2.3327564276330883,3.8425893307820744,4.638027985900569,2.4968826008446503,2.481050806627359,2.5081483649845993,1.6233453838644858,2.8827443888876054
2020-03-17,4.837311316864943,3.311053934609843,3.5720332798131667,5.9117502355115565,3.8659907867456558,2.8408803585461575,2.604725713654826,3.3378035602854323,2.021131300564068,5.043145930904523
2020-03-18,7.209206299234387,5.456873449613815,4.99355672790208,9.14934436481738,7.005415236943267,5.096191500330761,5.342567166934636,4.484933749395023,2.8754239121426948,6.757645138876758
2020-03-19,9.21910915139177,7.249915571526102,7.229434701920471,10.664731706534253,7.820988368381352,6.641282552478824,7.13160494416403,6.423353575641247,4.4315245338984415,9.65269681086963
2020-03-20,8.907102571453981,6.050666802724063,6.870696665763081,10.408623514216032,8.281501785421126,5.149337221323971,6.082728442579937,5.771139086849841,2.9710819540156894,9.173659483849226
2020-03-21,8.554785063875652,5.166293723623694,5.559480367829515,7.7412325300715334,9.298307670523648,6.752405423646446,7.153318859138317,6.583529780976783,4.855829511711329,10.331490809829372
2020-03-22,8.615251455336463,4.528767635832659,5.804074483391372,10.556489753554477,8.36760618482562,6.872224867340229,7.560218744091282,8.345468039667686,4.424894768620115,7.21680147011173
2020-03-23,11.274160242506559,8.017668024811037,9.095064328460914,13.470324469929718,8.929703443859461,7.174672334083408,6.590645236326329,7.847674922487186,5.7423238403561125,11.606714682352067
2020-03-24,9.354553868263988,6.0496949641756,6.649123172842339,10.910208992756248,7.124413451850603,5.55227841503613,5.165079514101325,5.159208434130845,4.2818812604733605,10.846503272080557
2020-03-25,7.512344475091256,4.398541270338758,5.655399628834164,9.380324960908153,5.503909305754764,4.47776856513704,3.6573785482779257,3.827923565833092,1.4765434384158302,8.96159552880462
2020-03-26,6.190952267034316,4.37424530662721,3.256458911107868,7.793420614543926,4.117531728826204,2.1171322672022557,1.675747786059194,1.8309962633864627,1.0673922098105457,7.512176264638144
2020-03-27,40.66002027390827,36.11643597649122,36.89246616760849,43.915306637509424,37.45154388030808,36.31978572676002,34.233403081854895,36.99494859878431,35.773266332523626,39.76577842720361
