date,TT
2020-02-15,23
2020-02-16,16
2020-02-17,11
2020-02-18,40
2020-02-19,28
2020-02-20,37
2020-02-21,34
2020-02-22,70
2020-02-23,49
2020-02-24,153
2020-02-25,122
2020-02-26,15
2020-02-27,10
2020-02-28,9
2020-02-29,10
2020-03-01,15
2020-03-02,4
2020-03-03,3
2020-03-04,1
2020-03-05,2
2020-03-06,5
2020-03-07,4
2020-03-08,14
2020-03-09,-1
2020-03-10,1
2020-03-11,0
2020-03-12,1
2020-03-13,-5
2020-03-14,-15
2020-03-15,-23
2020-03-16,-18
2020-03-17,-20
2020-03-18,-20
2020-03-19,-24
2020-03-20,-27
2020-03-21,-40
2020-03-22,-42
2020-03-23,-29
2020-03-24,-30
2020-03-25,-34
2020-03-26,-32
2020-03-27,-27
2020-03-28,-37
2020-03-29,-40
2020-03-30,-77
2020-03-31,-63
2020-04-01,-60
2020-04-02,-58
2020-04-03,-57
2020-04-04,-64
2020-04-05,-67
2020-04-06,-54
2020-04-07,-58
2020-04-08,-58
2020-04-09,-53
2020-04-10,-68
2020-04-11,-63
