date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-02-15,4,-6,0,NA,NA,NA,NA,NA,-1,0,NA,9,-5,10,NA,0,NA,NA,NA,8,NA,0,NA,6,NA,2,NA,2,NA,NA,NA,NA,NA,5,NA,0,21,2,0,NA,NA,NA,NA,-13,NA,4,NA,NA,3,17,NA,0,0,NA,-2,0,6,-3,NA
2020-02-16,5,0,NA,NA,NA,NA,NA,NA,5,NA,NA,0,-1,8,NA,0,NA,NA,NA,NA,NA,2,NA,6,NA,6,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,-12,NA,6,NA,NA,-1,0,NA,0,NA,NA,0,0,7,-3,NA
2020-02-17,-1,-6,0,NA,0,0,NA,NA,0,NA,0,-2,-2,6,NA,0,0,0,NA,2,NA,-12,NA,-2,NA,-5,0,-1,NA,0,NA,NA,NA,0,NA,0,0,-2,0,0,0,NA,NA,-17,0,1,NA,NA,-8,0,NA,0,0,0,0,0,-1,-8,NA
2020-02-18,2,2,0,NA,0,0,NA,NA,3,NA,0,7,-4,4,NA,0,0,0,NA,0,NA,-4,NA,-5,NA,1,0,2,NA,0,NA,NA,NA,0,NA,0,-2,-4,0,0,0,NA,NA,-8,0,2,NA,NA,7,0,NA,0,0,0,0,6,-4,-3,NA
2020-02-19,-1,0,0,NA,0,0,NA,NA,-3,NA,0,-2,-3,5,NA,0,0,0,NA,0,NA,-2,NA,3,NA,-2,0,0,NA,0,NA,NA,NA,0,NA,0,-2,-9,0,0,0,NA,NA,-4,0,0,NA,NA,-3,0,NA,0,0,0,2,0,-1,-1,NA
2020-02-20,2,0,0,NA,NA,0,NA,NA,7,NA,0,9,1,7,NA,0,0,0,NA,-4,NA,6,NA,-3,NA,-7,0,2,NA,0,NA,NA,NA,0,NA,0,-2,0,0,0,0,NA,NA,-7,0,2,NA,NA,0,0,NA,0,0,0,2,4,-3,5,NA
2020-02-21,1,2,0,0,NA,0,NA,NA,6,NA,0,0,-6,11,NA,0,0,0,NA,6,NA,-3,NA,4,NA,2,0,-3,NA,0,0,NA,NA,0,NA,0,0,-4,0,0,0,NA,NA,-18,0,3,NA,NA,-4,5,NA,0,0,-7,-8,9,2,6,NA
2020-02-22,-3,-2,0,NA,NA,NA,NA,NA,-3,0,NA,-4,-19,9,NA,0,NA,NA,NA,2,NA,-4,NA,0,NA,1,NA,-9,NA,NA,0,NA,0,-18,NA,0,0,-9,-22,NA,NA,NA,NA,-8,NA,0,NA,NA,2,8,NA,0,0,NA,-11,-4,-2,-20,NA
2020-02-23,7,-2,NA,NA,NA,NA,NA,NA,5,NA,NA,0,5,15,NA,0,NA,NA,NA,NA,NA,-2,NA,-2,0,7,NA,11,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,-12,NA,10,NA,NA,0,0,NA,0,NA,NA,0,0,1,15,NA
2020-02-24,0,-6,0,NA,0,0,NA,NA,1,NA,0,-2,0,12,NA,0,0,0,NA,-4,NA,2,NA,0,NA,-3,0,1,NA,0,NA,NA,NA,0,NA,0,-9,-5,0,0,0,NA,NA,-22,0,1,NA,NA,-6,0,NA,0,0,0,-6,0,-1,4,NA
