date,total,Christ Church,Saint George
2020-02-29,9.838242760408543,7.416772085078483,NA
2020-03-01,18.883610073399495,11.372894990777409,NA
2020-03-02,-4.488944275754302,-1.9196013033224193,NA
2020-03-03,1.3688548757847763,4.388344666956244,NA
2020-03-04,1.2845064239318411,4.147795527099067,NA
2020-03-05,2.7417263445149302,2.928757654994165,NA
2020-03-06,2.3472969172788245,2.387282499538765,NA
2020-03-07,-0.26268517862771235,1.403043588649037,NA
2020-03-08,4.7211033479971425,22.325068577581504,NA
2020-03-09,-7.245933673461668,-7.130221516085271,NA
2020-03-10,-1.288523016877219,-1.9196013033224193,NA
2020-03-11,1.2845064239318411,1.3829179634020223,NA
2020-03-12,1.5664712486973673,1.331166355623984,NA
2020-03-13,0.7824323057596081,-3.9062880241348874,NA
2020-03-14,-2.8204515662443366,-5.813430607066297,NA
2020-03-15,-1.0210179267150532,-2.94888328024118,NA
2020-03-16,-8.190636334214542,-7.405271727794474,NA
2020-03-17,-5.395087644231548,-10.422198788632704,NA
2020-03-18,-13.564837695130125,-14.93321393328504,NA
2020-03-19,-15.27349633409387,-15.173763073142217,NA
2020-03-20,-21.38675079695898,-27.779113019522537,NA
2020-03-21,-26.760148839285485,-31.672942323266415,NA
2020-03-22,-37.257112842736,-44.228457388082695,NA
2020-03-23,-29.612733149092847,-33.73342300331794,NA
2020-03-24,-26.17051299490402,-32.08791354859772,NA
2020-03-25,-30.10034753266172,-34.29023196848535,NA
2020-03-26,-27.414050170793,-34.075558632517186,NA
2020-03-27,-25.103705908611655,-34.50586366756051,NA
2020-03-28,-39.09028586300646,-46.50648649342338,NA
2020-03-29,-70.17550198587483,-80.87434587357579,NA
2020-03-30,-67.33737741067083,-74.59802588582815,NA
2020-03-31,-66.43284067937172,-74.04888382551675,NA
2020-04-01,-64.29440659525255,-70.24034883829593,NA
2020-04-02,-60.546925377215004,-67.28475701630573,NA
2020-04-03,-64.81335040379538,-75.52284628408383,NA
2020-04-04,-95.75798577357553,-99.8298097669428,NA
2020-04-05,-88.03809413255927,-92.6689206314335,NA
2020-04-06,-89.94035255149022,-93.52186379666414,NA
2020-04-07,-87.36973306644839,-91.87635434194391,NA
2020-04-08,-82.75627440938737,-88.49141584801741,NA
2020-04-09,-77.54354008487599,-86.25267963006377,NA
2020-04-10,-93.24199195259082,-95.48938325533659,NA
2020-04-11,-76.99969340007182,-87.00020285352431,NA
