date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-15,0,0,0,0,-1,1,0,0,0,0,-1,1,-1,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0
2020-02-16,-1,-2,-1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,1,-1,-2,0,0,-1,-1,1,-1,0,-1
2020-02-17,-1,-1,0,-2,-1,0,-2,-1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-1,-1,-2,0,0,-1,0,0,0,0,-1
2020-02-18,-1,-1,1,-2,-1,-1,-3,0,-1,-2,-1,-2,-1,-1,-1,-1,-1,0,-2,-1,0,0,-1,-1,0,-1,0,-1
2020-02-19,0,-1,0,-1,-1,-1,-2,0,0,-1,-1,-1,0,0,0,-1,0,-2,-1,1,0,0,1,-1,1,-1,0,-1
2020-02-20,0,0,0,0,-1,0,-1,0,0,-1,-1,-2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
2020-02-21,2,2,1,2,3,1,1,2,2,2,2,1,2,2,2,2,1,0,2,2,0,0,2,1,1,1,1,2
2020-02-22,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
2020-02-23,-1,-1,0,-1,-1,0,-2,-1,-1,-1,0,-1,0,0,-1,0,0,2,-2,-1,0,0,-1,0,1,-1,1,-1
2020-02-24,1,1,0,0,-1,0,-1,1,1,-1,1,0,2,1,-1,0,0,0,0,2,0,0,-1,-1,1,0,1,0
2020-02-25,6,9,4,5,4,3,1,8,3,3,2,3,3,8,4,2,2,2,3,5,0,0,3,2,3,2,2,5
2020-02-26,-1,0,-1,-2,-1,-1,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-1,-2,-2,0,0,-2,-2,0,-2,0,-1
2020-02-27,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,0,-1,-1,-2,0,0,-1,0,0,-1,-1,-2
2020-02-28,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1
2020-02-29,-1,-1,0,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,1,1,-1,0,0,1,0,0,0,0,-1
2020-03-01,-2,-2,-1,-2,-2,-2,-3,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,0,-2,-3,0,0,-2,-1,0,-1,0,-2
2020-03-02,-1,-2,0,-2,-1,0,-2,-1,-1,-2,-1,-3,-1,-1,-2,-2,-1,-2,-2,-3,0,0,-1,-1,1,-1,0,-2
2020-03-03,-2,-2,-1,-2,-2,-1,-4,-1,-2,-2,-3,-4,-2,-2,-2,-3,-2,-1,-3,-3,0,0,-2,-2,-1,-2,-2,-2
2020-03-04,-2,-2,-1,-2,-2,-2,-3,-1,-2,-2,-2,-3,-2,-1,-2,-3,-2,-1,-2,-2,0,0,-2,-2,0,-2,0,-2
2020-03-05,-2,-2,-1,-2,-2,-1,-3,-1,-2,-3,-3,-3,-2,-1,-2,-2,-1,-1,-2,-3,0,0,-2,0,0,-1,0,-2
2020-03-06,1,1,0,1,2,1,1,1,2,1,1,1,2,1,1,1,0,0,2,1,0,0,1,0,2,1,2,0
2020-03-07,-1,-1,0,0,-1,1,-1,-1,0,-1,-1,0,-1,0,-1,-1,1,1,1,-1,0,0,0,0,1,0,1,-1
2020-03-08,-1,-2,0,-2,-1,0,-2,-1,-1,-2,-2,-2,-1,-1,-2,-2,0,0,-2,-2,0,0,-2,-1,0,0,0,-1
2020-03-09,-1,-2,0,-1,-1,0,-2,0,-1,-1,-1,-2,-1,0,-1,-2,1,1,-1,-2,0,0,-1,0,0,-1,1,-1
2020-03-10,-1,-2,0,-2,-1,0,-3,-1,-1,-2,-2,-2,-2,-1,-1,-2,-1,0,-2,-2,0,0,-1,-1,0,-1,0,-1
2020-03-11,-3,-4,-3,-4,-3,-2,-5,-3,-4,-3,-4,-4,-4,-3,-4,-5,-2,-2,-4,-5,0,0,-4,-2,0,-3,-2,-4
2020-03-12,20,23,19,13,12,12,6,27,14,14,13,7,17,25,18,13,14,0,8,12,0,0,21,2,12,6,10,19
2020-03-13,10,11,8,2,6,5,3,14,8,7,4,3,11,13,9,6,0,0,6,-3,0,0,16,2,7,4,8,5
2020-03-14,5,7,3,6,2,3,2,6,6,2,2,0,6,7,3,2,4,0,4,8,0,0,8,2,2,3,2,1
2020-03-15,2,2,4,2,1,2,1,3,3,2,1,1,2,3,2,1,1,1,1,3,0,0,3,0,2,2,1,1
2020-03-16,3,2,5,2,2,3,1,4,3,2,3,1,3,3,2,2,2,1,2,2,0,0,3,2,4,2,0,2
2020-03-17,5,3,7,3,3,3,2,6,5,6,4,2,4,5,5,4,4,4,3,3,0,0,6,3,5,3,3,4
2020-03-18,7,5,8,4,5,5,4,8,6,7,5,5,5,8,7,5,6,3,5,5,0,0,7,4,9,4,5,5
2020-03-19,9,7,11,6,6,6,7,11,7,9,7,5,7,10,9,7,8,5,7,7,0,0,11,6,13,7,11,8
2020-03-20,9,8,10,7,8,6,6,11,8,11,7,6,8,10,10,6,0,0,6,7,0,0,13,6,15,6,0,9
2020-03-21,9,8,11,8,8,8,7,11,8,11,7,7,8,10,10,7,10,0,9,8,0,0,12,8,16,7,15,9
2020-03-22,12,11,13,9,10,9,9,15,9,12,9,9,10,14,12,9,13,0,10,10,0,0,14,9,18,9,15,11
2020-03-23,14,13,15,9,11,11,10,17,10,12,10,9,10,16,13,9,12,0,10,11,0,0,16,10,19,9,16,13
2020-03-24,14,15,15,10,11,10,9,18,10,13,10,9,11,17,13,9,12,0,9,11,0,0,17,10,19,8,14,13
2020-03-25,17,17,18,13,13,12,13,21,12,14,12,12,13,20,16,10,14,0,12,14,0,0,19,11,23,10,18,16
2020-03-26,18,18,19,13,13,13,14,22,12,16,13,12,14,21,17,12,14,0,12,15,0,0,22,11,23,11,0,17
2020-03-27,18,19,19,14,15,15,13,22,13,17,14,14,15,21,18,12,0,0,14,13,0,0,22,12,25,11,0,19
2020-03-28,20,21,22,16,15,17,16,23,15,20,17,16,18,22,20,14,0,0,16,17,0,0,24,15,25,14,0,18
2020-03-29,15,15,16,11,11,11,12,18,10,15,11,11,12,17,15,9,13,0,11,13,0,0,20,9,21,10,0,15
2020-03-30,16,16,17,11,11,12,11,20,10,14,12,9,12,19,15,9,13,0,10,12,0,0,21,9,22,9,0,14
2020-03-31,16,16,17,11,12,12,11,20,10,14,11,9,12,18,15,9,12,0,10,12,0,0,22,9,21,9,0,15
2020-04-01,15,15,16,11,11,10,11,20,10,13,11,11,12,18,15,9,12,0,10,13,0,0,21,9,22,8,0,14
2020-04-02,16,15,17,11,11,11,13,20,10,14,12,10,12,19,16,10,13,0,10,13,0,0,23,9,23,9,0,14
2020-04-03,16,16,17,11,12,12,12,19,11,15,12,12,13,18,16,10,0,0,11,12,0,0,21,10,23,10,0,15
2020-04-04,17,18,20,14,13,15,15,20,14,18,15,15,16,19,18,13,0,0,14,15,0,0,24,13,23,13,0,16
2020-04-05,15,15,16,11,12,12,13,19,11,15,11,12,12,18,15,10,14,0,11,14,0,0,21,10,21,10,0,15
2020-04-06,16,15,17,11,12,13,13,19,11,15,12,11,12,18,14,10,14,0,11,13,0,0,21,10,22,10,0,14
2020-04-07,16,15,17,12,12,13,12,20,11,15,12,10,12,18,15,10,14,0,10,13,0,0,20,10,22,9,0,15
2020-04-08,15,15,16,12,12,12,13,19,11,14,11,11,12,18,14,9,14,0,10,14,0,0,20,10,22,9,0,15
2020-04-09,16,15,17,12,12,13,14,19,11,15,12,11,12,19,14,11,15,0,11,14,0,0,21,11,23,10,0,14
2020-04-10,15,15,15,11,12,13,12,18,11,15,12,12,13,17,14,10,0,0,11,12,0,0,20,10,23,10,0,14
2020-04-11,16,17,18,14,13,15,14,18,13,17,14,14,15,18,16,12,0,0,13,15,0,0,21,13,23,12,0,15
