date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-02-15,3,1,9,6,5,17,3,9,7,4,7,4,0,8,5,11,-5,6,0
2020-02-16,-3,4,-8,13,2,22,3,7,9,1,4,3,-5,1,11,13,-9,-1,-9
2020-02-17,3,4,-1,21,3,27,2,9,8,4,5,3,7,4,4,7,10,1,1
2020-02-18,2,4,-2,18,2,30,4,8,7,11,7,4,5,3,6,7,6,2,-2
2020-02-19,4,4,-2,16,4,24,3,8,8,4,8,5,5,8,7,9,4,6,2
2020-02-20,0,3,3,12,2,27,3,3,5,6,4,4,0,4,7,10,5,2,-5
2020-02-21,1,6,1,9,1,21,2,8,8,3,2,7,1,5,5,8,-1,2,-6
2020-02-22,-2,6,0,18,1,35,2,16,11,-1,4,-3,-4,1,2,8,-7,-2,-12
2020-02-23,5,5,-9,14,7,38,2,12,10,4,-2,2,3,5,6,11,6,-1,3
2020-02-24,5,2,-3,17,3,34,-1,6,6,2,3,4,4,3,8,1,7,-1,7
2020-02-25,4,0,-7,20,-2,36,0,8,4,3,0,5,4,-2,7,-4,7,0,5
2020-02-26,5,-1,-5,12,-1,28,2,12,8,0,4,0,5,-1,10,0,5,1,7
2020-02-27,3,-4,-1,18,-4,30,2,8,5,2,1,3,6,-1,6,-3,4,1,3
2020-02-28,4,-2,-7,14,1,24,0,10,8,-5,2,-2,8,-6,0,-2,6,0,5
2020-02-29,2,-3,-10,17,-7,25,-1,8,-2,-13,4,-7,5,-1,1,-5,3,-2,4
2020-03-01,-3,0,-6,14,-5,27,-9,2,-1,-6,-4,-8,-4,-4,5,4,-4,-9,-4
2020-03-02,3,3,3,28,4,34,3,11,6,-3,3,1,5,2,-1,4,8,2,3
2020-03-03,2,-1,2,22,-1,31,-3,7,0,2,2,1,8,3,1,2,4,2,2
2020-03-04,-1,-1,0,19,1,24,-1,5,-1,-2,3,-4,-2,3,0,1,0,-4,-3
2020-03-05,0,-1,0,21,-1,24,-4,1,-3,-1,1,4,4,2,0,3,5,2,-1
2020-03-06,3,6,0,12,0,16,-6,-4,-2,5,2,3,6,1,4,5,6,1,3
2020-03-07,3,5,0,9,-1,19,-6,-3,-9,6,2,5,4,4,5,11,6,4,1
2020-03-08,7,11,-3,8,17,22,6,1,0,1,7,8,7,14,7,15,8,8,6
2020-03-09,-2,-4,-2,9,0,16,-2,2,-2,0,-4,-3,1,3,-2,-1,1,-4,-2
2020-03-10,-3,-6,-1,6,-2,19,-3,4,-5,5,-4,-2,1,2,0,-3,0,-3,-5
2020-03-11,-3,-4,-4,1,-7,12,-2,3,-3,0,0,-6,-2,-4,-3,1,-2,-4,-4
2020-03-12,-4,-2,-1,4,-5,10,-6,-2,-1,-3,-2,-3,-2,-3,1,-3,-4,-2,-5
2020-03-13,-9,-6,-8,-1,-4,1,-10,-11,-8,-9,-6,-11,-7,-6,-6,-5,-11,-6,-11
2020-03-14,-22,-21,-23,-8,-17,1,-22,-21,-19,-21,-19,-27,-24,-19,-23,-17,-27,-17,-25
2020-03-15,-24,-18,-29,-12,-10,-2,-19,-23,-18,-32,-21,-23,-27,-19,-24,-14,-29,-24,-27
2020-03-16,-19,-14,-19,-3,-16,0,-14,-14,-14,-14,-15,-16,-16,-14,-14,-16,-17,-19,-24
2020-03-17,-29,-28,-27,-13,-22,-10,-21,-28,-29,-24,-26,-30,-26,-22,-22,-30,-27,-25,-32
2020-03-18,-36,-32,-35,-33,-37,-18,-38,-32,-36,-31,-33,-36,-34,-35,-33,-35,-38,-33,-39
2020-03-19,-38,-37,-34,-34,-37,-25,-36,-36,-39,-32,-36,-36,-35,-39,-35,-41,-37,-36,-39
2020-03-20,-38,-37,-38,-38,-36,-32,-40,-38,-39,-36,-37,-37,-35,-40,-36,-39,-39,-35,-40
2020-03-21,-47,-44,-41,-40,-47,-39,-48,-44,-49,-43,-45,-49,-45,-49,-47,-46,-51,-44,-49
2020-03-22,-44,-41,-44,-39,-40,-47,-47,-45,-45,-43,-46,-45,-44,-44,-43,-45,-46,-45,-44
2020-03-23,-41,-38,-36,-36,-39,-38,-39,-38,-40,-38,-39,-39,-39,-40,-39,-41,-39,-39,-42
