date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,9,9,12,2,0,3,10,7,10,9,8,8,9,4,4,4,1,12,13,14,18
2020-02-16,11,26,14,12,13,8,17,5,12,8,2,2,20,25,7,8,7,15,11,22,27
2020-02-17,3,7,5,4,1,5,5,5,1,3,-2,1,5,6,0,3,2,4,3,5,6
2020-02-18,4,5,9,5,-1,5,5,2,4,2,3,4,3,7,3,1,5,10,2,6,7
2020-02-19,3,1,3,3,0,0,2,2,1,0,1,4,1,-1,0,1,3,7,0,3,7
2020-02-20,5,5,8,2,-4,3,6,5,3,5,4,4,6,0,4,5,4,11,3,4,10
2020-02-21,5,7,16,5,0,0,8,4,7,6,6,3,7,7,5,3,1,6,6,8,13
2020-02-22,8,8,24,4,-4,0,10,8,16,11,8,1,10,10,5,6,4,17,15,16,17
2020-02-23,6,20,36,26,32,2,17,-3,11,9,-3,-13,18,30,3,19,9,24,9,26,8
2020-02-24,-15,2,19,-1,-8,-5,-5,-18,-20,-3,-13,-32,3,0,-21,-3,-7,-3,0,4,-21
2020-02-25,-18,-3,27,-2,-7,-7,-7,-23,-23,-7,-18,-37,1,-4,-26,1,-9,-12,-6,1,-26
2020-02-26,-23,-11,-2,-10,-10,-14,-11,-31,-26,-10,-18,-40,-18,-4,-29,-5,-17,-16,-15,-6,-29
2020-02-27,-22,-8,-1,-13,-10,-15,-15,-29,-22,-9,-18,-39,-16,-2,-26,-4,-16,-12,-13,-5,-29
2020-02-28,-20,-11,9,-16,-10,-21,-16,-28,-21,-7,-11,-37,-18,-4,-22,-4,-19,-12,-8,-1,-28
2020-02-29,-16,-7,3,-10,8,-14,-5,-23,-16,-6,-21,-34,-10,1,-18,4,-13,-9,-7,0,-26
2020-03-01,-26,-11,-2,-11,-1,-13,-14,-38,-40,-22,-31,-40,-17,-2,-14,0,-11,-27,-30,-11,-42
2020-03-02,-25,-7,-10,-9,-8,-12,-10,-31,-29,-13,-30,-44,-13,1,-29,-8,-13,-14,-14,-9,-36
2020-03-03,-21,-10,-1,-10,-8,-16,-11,-31,-24,-14,-12,-35,-13,-1,-20,-9,-12,-9,-14,-8,-33
2020-03-04,-19,-11,-2,-11,-3,-17,-9,-30,-23,-11,-11,-34,-22,-4,-21,-3,-13,-2,-11,-4,-27
2020-03-05,-28,-16,-18,-21,-16,-19,-17,-32,-24,-22,-26,-42,-20,-16,-27,-15,-19,-21,-26,-14,-32
2020-03-06,-29,-22,-9,-29,-24,-28,-27,-34,-28,-26,-15,-40,-25,-21,-25,-20,-24,-21,-26,-19,-33
2020-03-07,-24,-31,-7,-34,-37,-34,-28,-31,-16,-23,-10,-31,-27,-25,-17,-23,-27,-9,-23,-17,-27
2020-03-08,-27,-32,-23,-36,-26,-40,-29,-33,-7,-30,-18,-42,-22,-18,-25,-16,-34,-8,-21,-6,-26
2020-03-09,-42,-38,-32,-39,-29,-40,-37,-45,-31,-39,-38,-57,-35,-27,-42,-35,-37,-34,-38,-25,-45
2020-03-10,-51,-51,-51,-50,-41,-47,-50,-50,-41,-52,-42,-61,-45,-37,-51,-41,-47,-41,-45,-36,-50
2020-03-11,-57,-60,-51,-58,-46,-58,-59,-54,-48,-60,-50,-65,-48,-45,-56,-50,-55,-47,-52,-40,-55
