date,GA
2020-02-15,-1
2020-02-16,-4
2020-02-17,-9
2020-02-18,-6
2020-02-19,-1
2020-02-20,-3
2020-02-21,-12
2020-02-22,-15
2020-02-23,-19
2020-02-24,-11
2020-02-25,-12
2020-02-26,-14
2020-02-27,-4
2020-02-28,1
2020-02-29,-3
2020-03-01,-4
2020-03-02,-3
2020-03-03,1
2020-03-04,-6
2020-03-05,0
2020-03-06,-7
2020-03-07,-8
2020-03-08,-10
2020-03-09,-12
2020-03-10,-10
2020-03-11,-13
2020-03-12,-6
2020-03-13,-7
2020-03-14,-10
2020-03-15,-11
2020-03-16,-9
2020-03-17,-3
2020-03-18,-6
2020-03-19,-4
2020-03-20,-12
2020-03-21,-24
2020-03-22,-32
2020-03-23,-24
2020-03-24,-21
2020-03-25,-20
2020-03-26,-13
2020-03-27,-16
2020-03-28,-22
2020-03-29,-25
2020-03-30,-14
2020-03-31,-10
2020-04-01,-13
2020-04-02,-12
2020-04-03,-19
2020-04-04,-18
2020-04-05,-21
2020-04-06,-15
2020-04-07,-12
2020-04-08,-14
2020-04-09,-14
2020-04-10,-12
2020-04-11,-23
