date,LI
2020-02-15,17
2020-02-16,5
2020-02-17,0
2020-02-18,11
2020-02-19,7
2020-02-20,8
2020-02-21,12
2020-02-22,36
2020-02-23,60
2020-02-24,15
2020-02-25,-14
2020-02-26,-12
2020-02-27,-12
2020-02-28,-10
2020-02-29,-8
2020-03-01,1
2020-03-02,0
2020-03-03,5
2020-03-04,5
2020-03-05,-12
2020-03-06,-5
2020-03-07,-12
2020-03-08,-5
2020-03-09,-6
2020-03-10,0
2020-03-11,-1
2020-03-12,-8
2020-03-13,-17
2020-03-14,-32
2020-03-15,-22
2020-03-16,-26
2020-03-17,-55
2020-03-18,-45
2020-03-19,-80
2020-03-20,-66
2020-03-21,-83
2020-03-22,-89
2020-03-23,-66
2020-03-24,-67
2020-03-25,-70
2020-03-26,-72
2020-03-27,-64
2020-03-28,-77
2020-03-29,-90
2020-03-30,-69
2020-03-31,-69
2020-04-01,-56
2020-04-02,-68
2020-04-03,-66
2020-04-04,-77
2020-04-05,-74
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
