date,AF
2020-02-15,-28
2020-02-16,4
2020-02-17,5
2020-02-18,6
2020-02-19,5
2020-02-20,6
2020-02-21,6
2020-02-22,6
2020-02-23,6
2020-02-24,7
2020-02-25,7
2020-02-26,5
2020-02-27,7
2020-02-28,5
2020-02-29,6
2020-03-01,9
2020-03-02,8
2020-03-03,8
2020-03-04,7
2020-03-05,10
2020-03-06,8
2020-03-07,7
2020-03-08,7
2020-03-09,-22
2020-03-10,6
2020-03-11,3
2020-03-12,6
2020-03-13,5
2020-03-14,3
2020-03-15,3
2020-03-16,1
2020-03-17,1
2020-03-18,-1
2020-03-19,-2
2020-03-20,-7
2020-03-21,-36
2020-03-22,-6
2020-03-23,-3
2020-03-24,-5
2020-03-25,-10
2020-03-26,-10
2020-03-27,-2
2020-03-28,-27
2020-03-29,-33
2020-03-30,-37
2020-03-31,-38
2020-04-01,-37
2020-04-02,-35
2020-04-03,-12
2020-04-04,-34
2020-04-05,-38
2020-04-06,-40
2020-04-07,-39
2020-04-08,-42
2020-04-09,-40
2020-04-10,-16
2020-04-11,-38
