date,BH
2020-02-15,3
2020-02-16,7
2020-02-17,5
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,3
2020-02-22,3
2020-02-23,7
2020-02-24,5
2020-02-25,4
2020-02-26,-3
2020-02-27,-4
2020-02-28,1
2020-02-29,3
2020-03-01,-2
2020-03-02,-3
2020-03-03,-4
2020-03-04,-3
2020-03-05,-4
2020-03-06,0
2020-03-07,3
2020-03-08,3
2020-03-09,1
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,-2
2020-03-14,-1
2020-03-15,0
2020-03-16,-2
2020-03-17,-3
2020-03-18,-7
2020-03-19,-10
2020-03-20,-18
2020-03-21,-12
2020-03-22,-11
2020-03-23,-16
2020-03-24,-19
2020-03-25,-20
2020-03-26,-24
2020-03-27,-36
2020-03-28,-26
2020-03-29,-25
2020-03-30,-26
2020-03-31,-26
2020-04-01,-26
2020-04-02,-26
2020-04-03,-33
2020-04-04,-22
2020-04-05,-24
2020-04-06,-26
2020-04-07,-26
2020-04-08,-26
2020-04-09,-26
2020-04-10,-29
2020-04-11,-20
