date,GT
2020-02-15,3
2020-02-16,2
2020-02-17,-2
2020-02-18,1
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,-1
2020-02-23,2
2020-02-24,-4
2020-02-25,-1
2020-02-26,2
2020-02-27,3
2020-02-28,2
2020-02-29,5
2020-03-01,4
2020-03-02,-1
2020-03-03,3
2020-03-04,3
2020-03-05,2
2020-03-06,3
2020-03-07,3
2020-03-08,5
2020-03-09,-4
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,3
2020-03-14,0
2020-03-15,-13
2020-03-16,-12
2020-03-17,-29
2020-03-18,-37
2020-03-19,-40
2020-03-20,-44
2020-03-21,-53
2020-03-22,-62
2020-03-23,-54
2020-03-24,-53
2020-03-25,-51
2020-03-26,-52
2020-03-27,-50
2020-03-28,-50
2020-03-29,-53
2020-03-30,-45
2020-03-31,-42
2020-04-01,-42
2020-04-02,-44
2020-04-03,-44
2020-04-04,-47
2020-04-05,-51
2020-04-06,-47
2020-04-07,-46
2020-04-08,-47
2020-04-09,-56
2020-04-10,-66
2020-04-11,-66
