date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,7,20,13,16,15,4,7,20,-7,1,4,8,13,13,13,9,4
2020-02-16,12,10,6,22,12,14,14,9,1,12,9,13,2,21,14,7,0
2020-02-17,6,6,5,10,7,6,3,9,3,8,3,5,8,9,11,6,8
2020-02-18,3,3,3,7,6,5,0,5,0,3,-2,4,8,3,8,2,4
2020-02-19,5,5,4,8,5,6,2,5,4,5,3,4,7,5,10,3,5
2020-02-20,7,9,8,11,4,9,2,10,4,6,3,5,11,7,7,7,9
2020-02-21,1,3,2,3,6,-1,-1,4,-4,-3,-1,1,7,0,1,4,0
2020-02-22,3,13,6,7,9,-2,5,11,-4,2,0,3,6,5,6,2,-3
2020-02-23,-7,-4,-7,-6,-7,-13,-4,-12,-6,-3,-9,3,-9,-10,-13,-5,-14
2020-02-24,1,3,2,0,2,1,-3,3,2,5,-5,2,3,2,0,3,2
2020-02-25,1,3,2,1,2,1,-2,2,2,1,-6,2,6,-1,0,1,3
2020-02-26,-2,-1,1,-6,0,1,-5,-1,1,-2,-9,-5,-1,-4,-2,0,0
2020-02-27,3,5,6,3,6,5,1,5,5,2,1,1,5,1,2,5,3
2020-02-28,3,4,4,2,7,2,0,5,3,2,-1,4,6,1,-1,5,2
2020-02-29,4,11,8,4,9,1,4,11,4,4,-1,2,6,5,3,4,1
2020-03-01,7,8,5,-3,16,11,1,5,8,11,-4,2,5,9,-3,4,3
2020-03-02,2,5,2,0,4,3,-2,5,3,7,0,3,5,4,3,2,4
2020-03-03,1,2,3,-1,2,-2,3,-1,4,0,-3,5,3,-1,3,3,2
2020-03-04,4,8,8,-3,7,7,0,5,6,7,-3,2,8,4,2,5,5
2020-03-05,5,7,7,3,6,6,4,5,8,5,4,4,7,4,4,8,6
2020-03-06,4,5,3,-1,7,3,3,2,4,5,2,0,7,4,1,6,1
2020-03-07,7,16,11,3,13,0,13,8,6,6,6,11,9,8,8,11,4
2020-03-08,24,38,27,10,30,26,26,29,17,42,22,17,28,24,9,24,24
2020-03-09,4,5,4,0,10,2,3,1,6,8,4,5,4,6,10,7,3
2020-03-10,4,6,8,-2,10,3,4,4,5,8,1,6,10,6,3,7,3
2020-03-11,3,4,8,-4,9,4,-2,7,5,8,1,5,3,2,6,5,7
2020-03-12,-14,-15,-9,-18,-9,-13,-23,-9,-13,-12,-18,-14,-12,-12,-13,-12,-12
2020-03-13,-28,-29,-24,-34,-23,-28,-38,-19,-30,-25,-34,-28,-22,-25,-30,-24,-23
2020-03-14,-52,-48,-44,-58,-48,-51,-60,-33,-56,-48,-57,-52,-49,-51,-53,-50,-42
2020-03-15,-70,-69,-68,-78,-67,-69,-72,-59,-70,-69,-70,-70,-71,-68,-72,-67,-67
2020-03-16,-50,-47,-43,-55,-47,-49,-57,-38,-52,-45,-53,-48,-50,-49,-48,-45,-45
2020-03-17,-53,-51,-48,-59,-50,-52,-60,-44,-55,-49,-59,-52,-51,-51,-53,-49,-49
2020-03-18,-51,-48,-46,-58,-48,-49,-58,-40,-54,-46,-55,-51,-52,-49,-50,-47,-48
2020-03-19,-52,-51,-49,-57,-50,-52,-57,-41,-56,-47,-54,-54,-53,-49,-52,-50,-50
2020-03-20,-55,-53,-51,-61,-52,-58,-60,-48,-58,-52,-58,-55,-56,-54,-57,-50,-53
2020-03-21,-64,-60,-59,-70,-60,-66,-66,-56,-65,-63,-67,-64,-64,-65,-64,-59,-61
2020-03-22,-76,-72,-72,-84,-73,-78,-77,-68,-76,-76,-75,-72,-75,-77,-76,-70,-70
2020-03-23,-53,-49,-48,-61,-49,-54,-56,-44,-54,-46,-58,-50,-52,-52,-52,-46,-48
2020-03-24,-52,-48,-46,-59,-49,-53,-56,-44,-54,-48,-58,-49,-50,-51,-52,-47,-48
2020-03-25,-58,-55,-53,-66,-55,-59,-62,-52,-60,-54,-62,-57,-58,-58,-58,-53,-55
2020-03-26,-58,-56,-53,-65,-55,-60,-62,-51,-60,-55,-62,-57,-58,-57,-59,-52,-55
2020-03-27,-58,-56,-53,-65,-53,-59,-61,-51,-59,-54,-61,-58,-57,-57,-59,-52,-55
2020-03-28,-63,-60,-58,-69,-58,-65,-65,-57,-64,-61,-66,-63,-62,-62,-64,-58,-63
