date,PA
2020-02-15,7
2020-02-16,2
2020-02-17,0
2020-02-18,2
2020-02-19,-1
2020-02-20,0
2020-02-21,7
2020-02-22,14
2020-02-23,34
2020-02-24,56
2020-02-25,34
2020-02-26,-8
2020-02-27,-6
2020-02-28,-6
2020-02-29,-5
2020-03-01,-12
2020-03-02,-3
2020-03-03,-2
2020-03-04,-2
2020-03-05,-4
2020-03-06,-2
2020-03-07,-7
2020-03-08,-11
2020-03-09,-4
2020-03-10,-6
2020-03-11,-15
2020-03-12,-20
2020-03-13,-20
2020-03-14,-29
2020-03-15,-43
2020-03-16,-28
2020-03-17,-36
2020-03-18,-39
2020-03-19,-45
2020-03-20,-48
2020-03-21,-61
2020-03-22,-67
2020-03-23,-56
2020-03-24,-62
2020-03-25,-71
2020-03-26,-71
2020-03-27,-71
2020-03-28,-75
2020-03-29,-78
2020-03-30,-69
2020-03-31,-69
2020-04-01,-73
2020-04-02,-70
2020-04-03,-74
2020-04-04,-75
2020-04-05,-86
2020-04-06,-72
2020-04-07,-68
2020-04-08,-71
2020-04-09,-68
2020-04-10,-79
2020-04-11,-86
