date,LY
2020-02-15,5
2020-02-16,9
2020-02-17,0
2020-02-18,6
2020-02-19,4
2020-02-20,5
2020-02-21,4
2020-02-22,4
2020-02-23,7
2020-02-24,7
2020-02-25,7
2020-02-26,5
2020-02-27,7
2020-02-28,4
2020-02-29,6
2020-03-01,9
2020-03-02,8
2020-03-03,7
2020-03-04,7
2020-03-05,7
2020-03-06,6
2020-03-07,7
2020-03-08,9
2020-03-09,7
2020-03-10,5
2020-03-11,9
2020-03-12,10
2020-03-13,8
2020-03-14,10
2020-03-15,14
2020-03-16,9
2020-03-17,6
2020-03-18,3
2020-03-19,-9
2020-03-20,-14
2020-03-21,-9
2020-03-22,-18
2020-03-23,-17
2020-03-24,-6
2020-03-25,-32
2020-03-26,-32
2020-03-27,-33
2020-03-28,-28
2020-03-29,-28
2020-03-30,-32
2020-03-31,-29
2020-04-01,-29
2020-04-02,-30
2020-04-03,-29
2020-04-04,-27
2020-04-05,-21
2020-04-06,-27
2020-04-07,-26
2020-04-08,-33
2020-04-09,-28
2020-04-10,-29
2020-04-11,-23
