date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,9,2,31,3,12,0,9,37,13,32,2,20,19,19,-9,11,16
2020-02-16,5,-3,23,-1,8,-11,4,29,6,25,2,17,13,13,-12,18,10
2020-02-17,11,-4,28,-3,14,7,0,40,31,56,-3,19,21,17,-10,-2,21
2020-02-18,13,-4,31,-5,9,13,9,37,23,48,-13,19,26,17,-10,-5,22
2020-02-19,11,-5,22,2,9,9,7,32,27,43,8,24,22,21,-10,-5,21
2020-02-20,11,-4,26,-6,11,24,12,32,39,44,16,20,32,22,-11,-2,18
2020-02-21,10,-3,27,-18,16,18,0,40,37,58,28,17,21,31,-12,0,19
2020-02-22,9,-1,25,-3,16,13,-5,26,50,45,16,21,14,23,-7,9,10
2020-02-23,-3,-14,13,-13,3,-6,-16,11,1,20,-13,8,2,10,-12,-1,2
2020-02-24,-4,-14,3,-4,-5,2,-12,2,-2,8,-7,-3,4,0,-10,-9,5
2020-02-25,1,-13,3,-9,-6,12,-4,-4,7,6,-5,-3,6,-1,-1,-11,8
2020-02-26,-3,-10,-7,-9,-9,-2,-7,-9,-2,-3,-4,-2,1,-2,-2,-14,5
2020-02-27,-4,-11,-11,-20,-2,4,-7,-14,-2,-7,-9,-6,2,-8,2,-7,-1
2020-02-28,-2,-10,-7,-15,-7,7,-7,-9,-2,7,6,-1,3,1,1,-1,-2
2020-02-29,-8,-8,-11,-18,0,-5,-4,-18,5,25,-4,-7,-6,-6,-1,1,-17
2020-03-01,-15,-13,-19,-24,-12,-14,-19,-34,-15,-6,9,-14,-17,-10,1,-12,-29
2020-03-02,-15,-15,-19,-25,-25,-4,-20,-38,-15,-28,-9,-10,-10,-14,4,-19,-26
2020-03-03,-14,-18,-21,-28,-22,1,-16,-41,-14,-35,-13,-15,-11,-19,3,-25,-28
2020-03-04,-16,-20,-29,-30,-22,-5,-19,-42,-21,-41,-1,-17,-15,-19,7,-25,-26
2020-03-05,-15,-18,-30,-36,-19,-1,-17,-43,-21,-44,16,-19,-5,-18,9,-24,-27
2020-03-06,-12,-14,-22,-27,-15,-11,-17,-34,-26,-41,-8,-16,-11,-9,10,-17,-24
2020-03-07,-20,-15,-29,-26,-25,-25,-24,-40,-22,-41,-12,-23,-18,-13,7,-19,-34
2020-03-08,-8,-12,-31,-28,-26,-21,-25,-40,-29,-45,14,-24,-25,-18,49,5,-33
2020-03-09,-13,-18,-22,-20,-20,-7,-16,-45,-19,-42,-2,-18,-14,-21,17,-27,-29
2020-03-10,-17,-19,-31,-37,-24,-7,-20,-48,-25,-48,-2,-19,-15,-22,7,-29,-30
2020-03-11,-19,-18,-36,-28,-24,-10,-21,-46,-30,-51,-16,-19,-20,-24,10,-28,-35
2020-03-12,-21,-12,-36,-36,-17,-21,-23,-47,-35,-57,-8,-22,-18,-27,5,-32,-33
2020-03-13,-17,-6,-32,-31,-21,-22,-27,-42,-32,-47,7,-21,-16,3,5,-24,-28
2020-03-14,-21,-6,-36,-31,-26,-26,-28,-46,-28,-46,-10,-28,-27,10,6,-26,-36
2020-03-15,-29,-14,-43,-37,-38,-37,-38,-57,-40,-52,-14,-31,-33,-10,-5,-32,-42
2020-03-16,-34,-29,-42,-39,-35,-31,-38,-58,-40,-53,-21,-31,-24,-33,-18,-39,-44
2020-03-17,-39,-34,-48,-46,-39,-29,-41,-60,-41,-59,-31,-35,-29,-36,-28,-43,-49
2020-03-18,-45,-42,-56,-52,-43,-43,-46,-63,-50,-63,-39,-41,-37,-39,-33,-47,-54
2020-03-19,-50,-49,-59,-60,-41,-51,-52,-67,-51,-67,-46,-46,-44,-47,-39,-53,-58
2020-03-20,-54,-56,-57,-61,-42,-48,-59,-66,-55,-64,-48,-49,-48,-49,-46,-50,-60
2020-03-21,-66,-66,-70,-71,-57,-67,-71,-77,-64,-74,-65,-62,-64,-64,-53,-62,-76
2020-03-22,-72,-70,-74,-79,-63,-72,-77,-82,-74,-79,-68,-69,-69,-69,-59,-67,-81
2020-03-23,-61,-58,-65,-66,-48,-62,-66,-74,-68,-73,-61,-51,-52,-52,-52,-67,-66
2020-03-24,-61,-60,-67,-69,-51,-59,-67,-76,-60,-71,-58,-54,-57,-53,-54,-68,-68
2020-03-25,-61,-61,-69,-66,-50,-56,-64,-76,-62,-71,-58,-54,-55,-54,-52,-71,-69
2020-03-26,-59,-60,-66,-70,-44,-58,-64,-75,-60,-72,-62,-55,-53,-55,-46,-70,-68
2020-03-27,-64,-61,-63,-69,-47,-60,-65,-73,-64,-68,-58,-57,-56,-55,-65,-67,-68
2020-03-28,-69,-67,-71,-71,-57,-66,-73,-79,-66,-76,-65,-64,-67,-64,-61,-74,-78
2020-03-29,-72,-69,-76,-75,-62,-70,-76,-82,-71,-78,-70,-68,-67,-67,-62,-72,-82
2020-03-30,-60,-57,-67,-65,-48,-57,-61,-74,-58,-67,-59,-50,-44,-50,-58,-64,-65
2020-03-31,-57,-54,-66,-65,-48,-51,-56,-73,-58,-69,-48,-44,-54,-44,-53,-62,-62
2020-04-01,-59,-54,-69,-63,-50,-58,-58,-74,-61,-70,-44,-49,-59,-50,-54,-62,-63
2020-04-02,-60,-54,-69,-65,-44,-57,-59,-74,-60,-72,-82,-51,-58,-52,-55,-63,-64
2020-04-03,-61,-57,-67,-66,-48,-63,-61,-71,-66,-68,-80,-53,-58,-51,-58,-62,-65
2020-04-04,-67,-63,-73,-70,-54,-68,-68,-77,-65,-74,-86,-61,-68,-61,-57,-70,-76
2020-04-05,-70,-64,-76,-75,-57,-71,-73,-81,-77,-80,-87,-65,-72,-65,-58,-70,-80
2020-04-06,-60,-53,-66,-64,-49,-59,-58,-73,-59,-68,-79,-48,-56,-48,-56,-60,-64
2020-04-07,-59,-54,-66,-66,-52,-58,-59,-74,-59,-70,-75,-49,-54,-49,-56,-66,-63
2020-04-08,-61,-55,-68,-62,-52,-58,-62,-75,-62,-71,-71,-50,-55,-49,-56,-65,-67
2020-04-09,-59,-55,-67,-60,-41,-53,-58,-73,-58,-71,-71,-49,-53,-47,-53,-65,-64
2020-04-10,-75,-64,-77,-72,-63,-77,-76,-78,-76,-79,-85,-72,-70,-67,-73,-83,-79
2020-04-11,-74,-69,-78,-76,-63,-73,-77,-81,-71,-79,-82,-71,-73,-69,-64,-78,-82
