date,CM
2020-02-15,4
2020-02-16,0
2020-02-17,-2
2020-02-18,-1
2020-02-19,-1
2020-02-20,-2
2020-02-21,1
2020-02-22,-1
2020-02-23,-5
2020-02-24,-5
2020-02-25,-1
2020-02-26,1
2020-02-27,2
2020-02-28,5
2020-02-29,1
2020-03-01,1
2020-03-02,-1
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,5
2020-03-07,4
2020-03-08,8
2020-03-09,-4
2020-03-10,-1
2020-03-11,1
2020-03-12,0
2020-03-13,2
2020-03-14,1
2020-03-15,-2
2020-03-16,0
2020-03-17,-1
2020-03-18,-2
2020-03-19,-10
2020-03-20,-15
2020-03-21,-17
2020-03-22,-20
2020-03-23,-18
2020-03-24,-21
2020-03-25,-15
2020-03-26,-16
2020-03-27,-15
2020-03-28,-18
2020-03-29,-19
2020-03-30,-19
2020-03-31,-17
2020-04-01,-19
2020-04-02,-19
2020-04-03,-18
2020-04-04,-21
2020-04-05,-22
2020-04-06,-20
2020-04-07,-19
2020-04-08,-21
2020-04-09,-19
2020-04-10,-26
2020-04-11,-23
