date,AT,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-15,1,-3,-1,1,6,-3,3,-2,5,2
2020-02-16,21,0,14,18,23,10,26,24,20,44
2020-02-17,5,6,8,5,14,0,14,-1,4,8
2020-02-18,5,5,8,5,12,0,10,-1,4,7
2020-02-19,2,4,4,3,11,-2,10,-6,1,2
2020-02-20,1,4,5,3,7,-2,5,-4,3,1
2020-02-21,4,8,7,4,8,2,8,-1,1,7
2020-02-22,3,1,4,2,12,-2,10,-1,4,5
2020-02-23,23,0,18,20,24,26,31,23,12,47
2020-02-24,10,8,13,8,16,10,19,10,6,10
2020-02-25,10,6,13,10,11,4,14,8,9,7
2020-02-26,10,11,4,11,12,10,14,7,11,7
2020-02-27,7,8,7,9,9,7,9,6,9,6
2020-02-28,9,13,8,11,6,9,7,6,9,11
2020-02-29,3,1,0,3,7,3,4,2,5,6
2020-03-01,8,0,-12,7,4,5,9,19,11,29
2020-03-02,6,8,3,8,7,7,5,7,6,4
2020-03-03,4,6,-1,4,5,3,4,3,3,3
2020-03-04,5,4,2,5,4,5,2,3,5,2
2020-03-05,3,2,2,5,3,4,3,2,5,-1
2020-03-06,3,2,-3,4,3,1,2,4,3,4
2020-03-07,0,-3,-1,0,2,-1,0,0,3,3
2020-03-08,14,0,7,16,4,20,11,29,16,12
2020-03-09,4,6,2,6,2,4,4,5,5,2
2020-03-10,10,9,8,13,4,11,4,13,13,0
2020-03-11,17,20,11,22,13,17,9,21,17,15
2020-03-12,24,30,20,33,13,24,15,31,27,18
2020-03-13,46,52,44,55,35,49,32,46,52,42
2020-03-14,-7,-13,-7,-3,-12,-8,-19,-6,-1,-9
2020-03-15,-32,0,-35,-3,-46,-24,-54,-16,-26,-18
2020-03-16,-14,-8,-15,-6,-24,-16,-37,-9,-8,-14
2020-03-17,-32,-30,-34,-25,-39,-35,-46,-30,-28,-29
2020-03-18,-30,-30,-33,-24,-37,-32,-44,-30,-24,-29
2020-03-19,-29,-27,-30,-20,-38,-31,-44,-26,-25,-28
2020-03-20,-28,-30,-31,-21,-38,-30,-45,-25,-22,-27
2020-03-21,-39,-43,-39,-34,-48,-41,-54,-37,-33,-37
2020-03-22,-69,-58,-70,-50,-81,-67,-87,-52,-61,-67
2020-03-23,-31,-31,-33,-25,-38,-33,-44,-26,-30,-24
2020-03-24,-32,-34,-36,-26,-40,-36,-47,-30,-29,-30
2020-03-25,-34,-36,-35,-28,-42,-35,-46,-31,-33,-31
2020-03-26,-31,-29,-35,-22,-41,-34,-46,-28,-29,-31
2020-03-27,-26,-30,-29,-20,-37,-27,-43,-24,-22,-25
2020-03-28,-31,-36,-34,-25,-38,-34,-47,-28,-21,-31
2020-03-29,-64,0,-62,-36,-86,-61,-86,-44,-52,-70
2020-03-30,-31,-29,-33,-23,-41,-32,-47,-26,-28,-30
2020-03-31,-24,-25,-24,-17,-34,-26,-41,-21,-23,-18
2020-04-01,-30,-30,-32,-25,-39,-32,-46,-28,-25,-29
2020-04-02,-29,-26,-29,-21,-39,-30,-44,-26,-26,-27
2020-04-03,-25,-28,-26,-19,-36,-25,-40,-21,-23,-21
2020-04-04,-30,-37,-32,-26,-39,-34,-47,-28,-21,-29
2020-04-05,-55,0,-55,-21,-79,-50,-82,-28,-44,-53
2020-04-06,-26,-25,-24,-19,-35,-28,-42,-22,-23,-23
2020-04-07,-24,-23,-23,-18,-35,-26,-38,-21,-22,-22
2020-04-08,-21,-20,-20,-14,-32,-20,-36,-19,-21,-21
2020-04-09,-15,-8,-13,-4,-27,-13,-30,-11,-16,-14
2020-04-10,-16,-20,-16,-10,-28,-17,-31,-13,-15,-15
2020-04-11,-27,-33,-49,-18,-33,-42,-37,-18,-16,-23
