date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,1,-1,-1,2,-1,2,-2,-3,-1,0
2020-02-16,-1,-1,-3,0,-2,2,-1,-4,-2,-2
2020-02-17,4,1,7,5,4,5,3,2,2,4
2020-02-18,4,2,5,5,4,6,2,2,3,4
2020-02-19,3,4,4,4,2,4,2,2,1,4
2020-02-20,3,3,3,4,4,4,-1,0,0,3
2020-02-21,3,3,2,4,3,3,1,0,0,4
2020-02-22,2,2,-2,2,2,6,2,-1,-2,1
2020-02-23,-1,-1,-2,-1,-3,2,0,-2,-2,0
2020-02-24,5,5,6,5,5,5,3,2,2,4
2020-02-25,5,5,7,5,6,8,3,4,3,5
2020-02-26,5,4,7,5,5,6,3,4,3,5
2020-02-27,5,4,6,5,6,4,1,3,1,4
2020-02-28,4,4,6,4,3,4,0,2,3,6
2020-02-29,5,9,5,4,4,7,2,1,4,7
2020-03-01,7,12,6,6,7,12,7,5,7,6
2020-03-02,7,7,11,6,9,9,5,6,8,8
2020-03-03,9,9,13,9,9,10,7,8,9,8
2020-03-04,8,8,11,8,9,10,7,8,8,7
2020-03-05,8,7,10,8,10,10,6,7,7,6
2020-03-06,8,7,8,8,7,10,5,6,8,8
2020-03-07,6,7,5,7,5,12,6,6,4,4
2020-03-08,3,4,3,4,2,10,4,2,3,0
2020-03-09,6,5,9,7,6,8,6,5,5,5
2020-03-10,5,4,9,6,4,2,3,4,4,5
2020-03-11,4,2,5,4,4,3,1,2,3,3
2020-03-12,3,2,4,4,4,2,0,0,2,2
2020-03-13,3,3,2,3,3,4,1,0,2,2
2020-03-14,4,4,5,4,3,6,3,1,2,3
2020-03-15,2,1,2,2,0,8,3,-1,1,-1
2020-03-16,2,2,6,1,0,6,3,3,3,0
2020-03-17,-3,0,3,-4,-1,1,0,-1,1,-5
2020-03-18,-8,-4,-3,-11,-6,-3,-5,-3,-2,-10
2020-03-19,-14,-11,-13,-15,-10,-12,-11,-11,-6,-16
2020-03-20,-15,-13,-15,-17,-13,-14,-12,-12,-7,-16
2020-03-21,-18,-15,-18,-17,-20,-20,-16,-18,-12,-19
2020-03-22,-11,-8,-10,-12,-11,-7,-6,-10,-5,-15
2020-03-23,-21,-18,-19,-24,-17,-18,-15,-16,-14,-25
2020-03-24,-22,-17,-18,-24,-17,-18,-14,-14,-14,-26
2020-03-25,-24,-19,-21,-28,-18,-21,-16,-17,-16,-28
2020-03-26,-32,-27,-26,-36,-25,-28,-24,-24,-25,-35
2020-03-27,-75,-71,-67,-79,-72,-69,-66,-69,-67,-78
2020-03-28,-58,-54,-48,-60,-59,-50,-46,-52,-44,-65
2020-03-29,-49,-45,-37,-51,-48,-38,-35,-42,-34,-58
2020-03-30,-74,-69,-66,-78,-70,-67,-64,-68,-66,-77
2020-03-31,-74,-68,-65,-78,-70,-67,-63,-67,-65,-77
2020-04-01,-73,-68,-64,-77,-70,-65,-62,-66,-62,-76
2020-04-02,-73,-68,-65,-77,-69,-65,-63,-67,-64,-77
2020-04-03,-73,-67,-65,-77,-69,-63,-61,-66,-62,-76
2020-04-04,-55,-50,-44,-58,-55,-45,-43,-48,-38,-61
2020-04-05,-44,-41,-31,-46,-44,-33,-30,-36,-28,-55
2020-04-06,-73,-69,-65,-77,-70,-66,-62,-66,-63,-77
2020-04-07,-73,-70,-65,-77,-71,-66,-63,-67,-63,-77
2020-04-08,-74,-69,-66,-77,-70,-66,-63,-67,-64,-76
2020-04-09,-74,-69,-66,-78,-71,-67,-63,-67,-64,-76
2020-04-10,-85,-83,-81,-87,-82,-80,-78,-80,-78,-88
2020-04-11,-56,-53,-47,-58,-56,-49,-45,-49,-41,-62
