date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,0,-1,-1,6,1,-5,2
2020-02-16,4,-3,1,11,8,7,-2
2020-02-17,3,3,3,3,3,2,4
2020-02-18,3,4,1,5,4,7,4
2020-02-19,5,5,4,7,6,15,4
2020-02-20,2,2,2,5,4,2,0
2020-02-21,-5,-6,-6,-17,-2,-3,-7
2020-02-22,-4,-2,-6,-1,-3,-1,-5
2020-02-23,7,-2,2,16,15,4,-2
2020-02-24,3,1,4,0,2,4,2
2020-02-25,4,4,3,4,6,7,4
2020-02-26,12,5,14,12,17,7,13
2020-02-27,22,18,23,23,21,7,25
2020-02-28,18,16,17,18,14,27,22
2020-02-29,20,25,12,29,17,27,37
2020-03-01,31,24,22,44,22,30,57
2020-03-02,-57,-43,-65,-57,-59,-45,-48
2020-03-03,7,8,4,10,10,8,9
2020-03-04,4,6,3,5,3,11,6
2020-03-05,7,5,5,7,8,10,7
2020-03-06,4,4,3,1,5,14,3
2020-03-07,2,5,2,2,2,-16,2
2020-03-08,2,7,3,1,-3,10,0
2020-03-09,1,2,-1,6,3,10,4
2020-03-10,13,12,15,12,13,18,13
2020-03-11,16,14,19,9,16,26,15
2020-03-12,21,21,25,17,20,26,20
2020-03-13,29,25,35,23,29,23,28
2020-03-14,11,14,9,5,13,19,17
2020-03-15,-14,-5,-7,-26,-38,6,-20
2020-03-16,-2,-10,-2,-8,0,-1,0
2020-03-17,-14,-17,-12,-23,-16,-13,-13
2020-03-18,-20,-21,-20,-25,-20,-11,-17
2020-03-19,-15,-21,-16,-20,-15,-12,-12
2020-03-20,-12,-17,-11,-18,-12,-12,-10
2020-03-21,-24,-19,-28,-26,-23,-13,-19
2020-03-22,59,31,80,45,48,31,44
2020-03-23,-29,-31,-31,-32,-28,-22,-23
2020-03-24,-12,-15,-12,-17,-13,-13,-7
2020-03-25,-85,-79,-86,-88,-88,-77,-87
2020-03-26,-20,-19,-22,-22,-20,-13,-17
2020-03-27,-23,-20,-25,-26,-24,-21,-19
2020-03-28,-24,-22,-25,-26,-25,-17,-19
2020-03-29,-41,-48,-37,-48,-48,-39,-49
2020-03-30,-17,-19,-18,-23,-17,-16,-13
2020-03-31,-18,-22,-18,-21,-17,-19,-12
2020-04-01,-23,-20,-22,-32,-28,-14,-21
2020-04-02,-18,-22,-16,-23,-21,-17,-13
2020-04-03,-16,-19,-16,-23,-15,-16,-15
2020-04-04,-28,-22,-32,-26,-27,-19,-23
2020-04-05,-45,-43,-38,-54,-59,-36,-56
2020-04-06,-17,-17,-19,-21,-14,-16,-13
2020-04-07,-19,-26,-23,-22,-14,-18,-13
2020-04-08,-16,-24,-16,-20,-14,-13,-11
2020-04-09,-10,-15,-10,-15,-9,-9,-5
2020-04-10,-8,-12,-7,-13,-6,-10,-3
2020-04-11,-14,-11,-18,-14,-11,-8,-10
