date,LY
2020-02-15,9
2020-02-16,14
2020-02-17,28
2020-02-18,11
2020-02-19,9
2020-02-20,8
2020-02-21,6
2020-02-22,3
2020-02-23,12
2020-02-24,9
2020-02-25,15
2020-02-26,11
2020-02-27,13
2020-02-28,9
2020-02-29,10
2020-03-01,13
2020-03-02,13
2020-03-03,12
2020-03-04,8
2020-03-05,10
2020-03-06,16
2020-03-07,16
2020-03-08,13
2020-03-09,14
2020-03-10,15
2020-03-11,14
2020-03-12,16
2020-03-13,20
2020-03-14,16
2020-03-15,14
2020-03-16,9
2020-03-17,5
2020-03-18,1
2020-03-19,-11
2020-03-20,-21
2020-03-21,-18
2020-03-22,-23
2020-03-23,-24
2020-03-24,-18
2020-03-25,-36
2020-03-26,-35
2020-03-27,-36
2020-03-28,-29
2020-03-29,-32
2020-03-30,-36
2020-03-31,-32
2020-04-01,-30
2020-04-02,-34
2020-04-03,-37
2020-04-04,-32
2020-04-05,-27
2020-04-06,-30
2020-04-07,-29
2020-04-08,-34
2020-04-09,-32
2020-04-10,-38
2020-04-11,-29
